                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.06987      	1.134         	0.3215       	1.769           	0.07482       	--           	0.07215      	--           	0            	1            	-0.002675    	0.07255      	0.06987      	0.06987      	0.2          	0.2003         	--             	--            
FirstTries                            	2852         	0.3115       	1.123         	1.09         	6.204           	0.1848        	0.1447       	0.2474       	--           	0            	1.063        	0.06264      	0.2488       	0.3115       	0.3115       	0.7013       	0.2003         	--             	--            
SomeoneTries                          	2957         	0.3033       	1.154         	1.087        	5.984           	0.186         	0.1455       	0.244        	--           	0            	1.06         	0.05797      	0.2453       	0.3033       	0.3033       	0.6764       	0.2003         	--             	--            
NooneTries                            	7043         	-0.02814     	1.126         	0            	0               	0.02814       	--           	0            	--           	0            	0.975        	-0.02814     	0            	-0.02814     	-0.02814     	0            	0.2003         	--             	--            
InventionOccurs                       	2167         	0.483        	1.164         	1.112        	6.263           	0.1847        	0.141        	0.3329       	--           	0            	1.145        	0.1482       	0.3348       	0.483        	0.483        	0.9229       	0.2003         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2166         	0.4832       	1.164         	1.112        	6.263           	0.1848        	0.141        	0.3331       	--           	0            	1.145        	0.1483       	0.3349       	0.4832       	0.4832       	0.9229       	0.2003         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2166         	0.4832       	1.164         	1.112        	6.263           	0.1848        	0.141        	0.3331       	--           	0            	1.145        	0.1483       	0.3349       	0.4832       	0.4832       	0.9229       	0.2003         	--             	--            
AllHighValue                          	1992         	0.2115       	1.119         	0.5868       	3.227           	0.1374        	--           	0.1702       	--           	0            	1.034        	0.03283      	0.1787       	0.2115       	0.2115       	0.3604       	0.2003         	--             	--            
FirstTriesHighValue                   	1049         	0.422        	1.122         	1.087        	6.128           	0.2294        	0.1864       	0.3177       	--           	0            	1.088        	0.08829      	0.3338       	0.422        	0.422        	0.6845       	0.2003         	--             	--            
SomeoneTriesHighValue                 	1078         	0.4139       	1.146         	1.084        	5.963           	0.2308        	0.1876       	0.3145       	--           	0            	1.084        	0.08375      	0.3302       	0.4139       	0.4139       	0.666        	0.2003         	--             	--            
NooneTriesHighValue                   	914          	-0.02722     	1.089         	0            	0               	0.02722       	--           	0            	--           	0            	0.975        	-0.02722     	0            	-0.02722     	-0.02722     	0            	0.2003         	--             	--            
InventionOccursHighValue              	770          	0.6726       	1.157         	1.114        	6.286           	0.23          	0.1817       	0.4404       	--           	0            	1.204        	0.2104       	0.4623       	0.6726       	0.6726       	0.9325       	0.2003         	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	770          	0.6726       	1.157         	1.114        	6.286           	0.23          	0.1817       	0.4404       	--           	0            	1.204        	0.2104       	0.4623       	0.6726       	0.6726       	0.9325       	0.2003         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	770          	0.6726       	1.157         	1.114        	6.286           	0.23          	0.1817       	0.4404       	--           	0            	1.204        	0.2104       	0.4623       	0.6726       	0.6726       	0.9325       	0.2003         	--             	--            
