                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.2196       	1             	0.786        	3.064           	0.2187        	--           	0.2389       	0.3151       	0            	1.02         	0.02021      	0.1993       	0.2196       	0.2196       	0.7651       	0.7658         	--             	--            
FirstTries                            	7860         	0.2861       	1             	1            	3.898           	0.2714        	0.2464       	0.3039       	0.3151       	0            	1.033        	0.03252      	0.2536       	0.2861       	0.2861       	0.9734       	0.7658         	0.9668         	0.9668        
SomeoneTries                          	7860         	0.2861       	1             	1            	3.898           	0.2714        	0.2464       	0.3039       	0.3151       	0            	1.033        	0.03252      	0.2536       	0.2861       	0.2861       	0.9734       	0.7658         	0.9668         	0.9668        
NooneTries                            	2140         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.7658         	--             	--            
InventionOccurs                       	7651         	0.3005       	1             	1            	3.923           	0.2722        	0.2472       	0.3122       	0.3151       	0            	1.04         	0.03998      	0.2606       	0.3005       	0.3005       	1            	0.7658         	0.9669         	0.9669        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	7638         	0.3015       	1             	1            	3.927           	0.2722        	0.2472       	0.3127       	0.3151       	0            	1.041        	0.04052      	0.261        	0.3015       	0.3015       	1            	0.7658         	0.967          	0.967         
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	7638         	0.3015       	1             	1            	3.927           	0.2722        	0.2472       	0.3127       	0.3151       	0            	1.041        	0.04052      	0.261        	0.3015       	0.3015       	1            	0.7658         	0.967          	0.967         
AllHighValue                          	1971         	0.4382       	1             	0.9833       	5.94            	0.4309        	--           	0.4846       	0.4997       	0            	1.054        	0.05371      	0.3845       	0.4382       	0.4382       	0.9645       	0.7658         	--             	--            
FirstTriesHighValue                   	1938         	0.4461       	1             	1            	6.041           	0.4378        	0.4128       	0.4929       	0.4997       	0            	1.055        	0.05505      	0.391        	0.4461       	0.4461       	0.9809       	0.7658         	0.9764         	0.9764        
SomeoneTriesHighValue                 	1938         	0.4461       	1             	1            	6.041           	0.4378        	0.4128       	0.4929       	0.4997       	0            	1.055        	0.05505      	0.391        	0.4461       	0.4461       	0.9809       	0.7658         	0.9764         	0.9764        
NooneTriesHighValue                   	33           	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.7658         	--             	--            
InventionOccursHighValue              	1901         	0.4635       	1             	1            	6.046           	0.4376        	0.4126       	0.5025       	0.4997       	0            	1.065        	0.06486      	0.3986       	0.4635       	0.4635       	1            	0.7658         	0.9764         	0.9764        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1901         	0.4635       	1             	1            	6.046           	0.4376        	0.4126       	0.5025       	0.4997       	0            	1.065        	0.06486      	0.3986       	0.4635       	0.4635       	1            	0.7658         	0.9764         	0.9764        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1901         	0.4635       	1             	1            	6.046           	0.4376        	0.4126       	0.5025       	0.4997       	0            	1.065        	0.06486      	0.3986       	0.4635       	0.4635       	1            	0.7658         	0.9764         	0.9764        
