                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.207        	2.796         	2.226        	3.407           	0.2112        	--           	0.2082       	--           	0            	1            	-0.003063    	0.21         	0.207        	0.207        	0.2703       	0.2708         	--             	--            
FirstTries                            	7950         	0.2703       	2.794         	2.654        	4.285           	0.2417        	0.06351      	0.2548       	--           	0            	1.006        	0.01312      	0.2571       	0.2703       	0.2703       	0.34         	0.2708         	--             	--            
SomeoneTries                          	8840         	0.2432       	2.799         	2.518        	3.854           	0.2299        	0.06111      	0.2355       	--           	0            	1.004        	0.005611     	0.2376       	0.2432       	0.2432       	0.3058       	0.2708         	--             	--            
NooneTries                            	1160         	-0.06916     	2.766         	0            	0               	0.06916       	--           	0            	--           	0            	0.975        	-0.06916     	0            	-0.06916     	-0.06916     	0            	0.2708         	--             	--            
InventionOccurs                       	7310         	0.3319       	2.814         	2.639        	4.301           	0.2402        	0.06286      	0.2848       	--           	0            	1.018        	0.04457      	0.2873       	0.3319       	0.3319       	0.3698       	0.2708         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	7308         	0.332        	2.814         	2.639        	4.301           	0.2403        	0.06287      	0.2849       	--           	0            	1.018        	0.04461      	0.2874       	0.332        	0.332        	0.3697       	0.2708         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	7308         	0.332        	2.814         	2.639        	4.301           	0.2403        	0.06287      	0.2849       	--           	0            	1.018        	0.04461      	0.2874       	0.332        	0.332        	0.3697       	0.2708         	--             	--            
AllHighValue                          	1887         	0.5057       	2.806         	2.806        	5.157           	0.3257        	0.09118      	0.4059       	0.4275       	0            	1.031        	0.08015      	0.4255       	0.5057       	0.5057       	0.3402       	0.2708         	0.3347         	0.9218        
FirstTriesHighValue                   	1887         	0.5057       	2.806         	2.806        	5.157           	0.3257        	0.09118      	0.4059       	0.4275       	0            	1.031        	0.08015      	0.4255       	0.5057       	0.5057       	0.3402       	0.2708         	0.3347         	0.9218        
SomeoneTriesHighValue                 	1887         	0.5057       	2.806         	2.806        	5.157           	0.3257        	0.09118      	0.4059       	0.4275       	0            	1.031        	0.08015      	0.4255       	0.5057       	0.5057       	0.3402       	0.2708         	0.3347         	0.9218        
NooneTriesHighValue                   	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1743         	0.5744       	2.82          	2.82         	5.312           	0.3257        	0.09058      	0.4394       	0.4275       	0            	1.044        	0.1137       	0.4607       	0.5744       	0.5744       	0.3683       	0.2708         	0.3353         	0.928         
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1743         	0.5744       	2.82          	2.82         	5.312           	0.3257        	0.09058      	0.4394       	0.4275       	0            	1.044        	0.1137       	0.4607       	0.5744       	0.5744       	0.3683       	0.2708         	0.3353         	0.928         
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1743         	0.5744       	2.82          	2.82         	5.312           	0.3257        	0.09058      	0.4394       	0.4275       	0            	1.044        	0.1137       	0.4607       	0.5744       	0.5744       	0.3683       	0.2708         	0.3353         	0.928         
