                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.229        	10            	4.986        	1.4             	0.6361        	--           	0.1976       	--           	0            	1.003        	0.02969      	0.1993       	0.229        	0.229        	0.0627       	0.06323        	--             	--            
FirstTries                            	5006         	0.1893       	10            	8.398        	2.797           	0.8872        	0.07777      	0.3088       	--           	0            	0.9877       	-0.1228      	0.3122       	0.1893       	0.1893       	0.1252       	0.06323        	--             	--            
SomeoneTries                          	7300         	0.2259       	10            	6.83         	1.918           	0.7789        	0.07996      	0.2707       	--           	0            	0.9953       	-0.04717     	0.273        	0.2259       	0.2259       	0.08589      	0.06323        	--             	--            
NooneTries                            	2700         	0.2375       	10            	0            	0               	0.25          	--           	0            	--           	0            	1.024        	0.2375       	0            	0.2375       	0.2375       	0            	0.06323        	--             	--            
InventionOccurs                       	6379         	0.2549       	10            	7.489        	2.147           	0.826         	0.0792       	0.3098       	--           	0            	0.9942       	-0.05751     	0.3125       	0.2549       	0.2549       	0.09829      	0.06323        	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	6379         	0.2549       	10            	7.489        	2.147           	0.826         	0.0792       	0.3098       	--           	0            	0.9942       	-0.05751     	0.3125       	0.2549       	0.2549       	0.09829      	0.06323        	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	6379         	0.2549       	10            	7.489        	2.147           	0.826         	0.0792       	0.3098       	--           	0            	0.9942       	-0.05751     	0.3125       	0.2549       	0.2549       	0.09829      	0.06323        	--             	--            
AllHighValue                          	1960         	0.2426       	10            	8.334        	2.352           	1.068         	0.1016       	0.4264       	--           	0            	0.9805       	-0.1952      	0.4378       	0.2426       	0.2426       	0.09898      	0.06323        	--             	--            
FirstTriesHighValue                   	1644         	0.2134       	10            	8.968        	2.805           	1.113         	0.0983       	0.434        	--           	0            	0.9766       	-0.2342      	0.4476       	0.2134       	0.2134       	0.118        	0.06323        	--             	--            
SomeoneTriesHighValue                 	1960         	0.2426       	10            	8.334        	2.352           	1.068         	0.1016       	0.4264       	--           	0            	0.9805       	-0.1952      	0.4378       	0.2426       	0.2426       	0.09898      	0.06323        	--             	--            
NooneTriesHighValue                   	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1882         	0.2658       	10            	8.493        	2.425           	1.08          	0.1008       	0.4441       	--           	0            	0.981        	-0.1901      	0.4559       	0.2658       	0.2658       	0.1031       	0.06323        	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1882         	0.2658       	10            	8.493        	2.425           	1.08          	0.1008       	0.4441       	--           	0            	0.981        	-0.1901      	0.4559       	0.2658       	0.2658       	0.1031       	0.06323        	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1882         	0.2658       	10            	8.493        	2.425           	1.08          	0.1008       	0.4441       	--           	0            	0.981        	-0.1901      	0.4559       	0.2658       	0.2658       	0.1031       	0.06323        	--             	--            
