                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1127       	1             	0.5928       	2.269           	0.1111        	--           	0.1196       	0.3657       	0            	1.009        	0.008563     	0.1041       	0.1127       	0.1127       	0.3363       	0.3362         	--             	--            
FirstTries                            	5928         	0.2073       	1             	1            	3.827           	0.1702        	0.1452       	0.2018       	0.3657       	0            	1.032        	0.03162      	0.1757       	0.2073       	0.2073       	0.5673       	0.3362         	0.5571         	0.5571        
SomeoneTries                          	5928         	0.2073       	1             	1            	3.827           	0.1702        	0.1452       	0.2018       	0.3657       	0            	1.032        	0.03162      	0.1757       	0.2073       	0.2073       	0.5673       	0.3362         	0.5571         	0.5571        
NooneTries                            	4072         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.3362         	--             	--            
InventionOccurs                       	3363         	0.4944       	1             	1            	4.495           	0.171         	0.146        	0.3557       	0.3657       	0            	1.185        	0.1847       	0.3097       	0.4944       	0.4944       	1            	0.3362         	0.5986         	0.5986        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3356         	0.4957       	1             	1            	4.5             	0.1712        	0.1462       	0.3565       	0.3659       	0            	1.185        	0.1853       	0.3103       	0.4957       	0.4957       	1            	0.3362         	0.5989         	0.5989        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	3356         	0.4957       	1             	1            	4.5             	0.1712        	0.1462       	0.3565       	0.3659       	0            	1.185        	0.1853       	0.3103       	0.4957       	0.4957       	1            	0.3362         	0.5989         	0.5989        
AllHighValue                          	1958         	0.291        	1             	0.9867       	4.334           	0.228         	--           	0.2611       	0.456        	0            	1.033        	0.0331       	0.2579       	0.291        	0.291        	0.5735       	0.3362         	--             	--            
FirstTriesHighValue                   	1932         	0.2953       	1             	1            	4.392           	0.2307        	0.2057       	0.2646       	0.456        	0            	1.034        	0.03389      	0.2614       	0.2953       	0.2953       	0.5813       	0.3362         	0.5912         	0.5912        
SomeoneTriesHighValue                 	1932         	0.2953       	1             	1            	4.392           	0.2307        	0.2057       	0.2646       	0.456        	0            	1.034        	0.03389      	0.2614       	0.2953       	0.2953       	0.5813       	0.3362         	0.5912         	0.5912        
NooneTriesHighValue                   	26           	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.3362         	--             	--            
InventionOccursHighValue              	1123         	0.6782       	1             	1            	5.209           	0.2267        	0.2017       	0.4552       	0.456        	0            	1.229        	0.2285       	0.4497       	0.6782       	0.6782       	1            	0.3362         	0.6408         	0.6408        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1123         	0.6782       	1             	1            	5.209           	0.2267        	0.2017       	0.4552       	0.456        	0            	1.229        	0.2285       	0.4497       	0.6782       	0.6782       	1            	0.3362         	0.6408         	0.6408        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1123         	0.6782       	1             	1            	5.209           	0.2267        	0.2017       	0.4552       	0.456        	0            	1.229        	0.2285       	0.4497       	0.6782       	0.6782       	1            	0.3362         	0.6408         	0.6408        
