                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.07866      	1.451         	0.7254       	1.369           	0.09221       	--           	0.08488      	--           	0            	1            	-0.007332    	0.08599      	0.07866      	0.07866      	0.1982       	0.2003         	--             	--            
FirstTries                            	4997         	0.1824       	1.452         	1.371        	2.739           	0.1413        	0.07686      	0.1608       	--           	0            	1.025        	0.01944      	0.163        	0.1824       	0.1824       	0.3966       	0.2003         	--             	--            
SomeoneTries                          	5400         	0.1755       	1.493         	1.343        	2.534           	0.1409        	0.07752      	0.1572       	--           	0            	1.022        	0.01628      	0.1592       	0.1755       	0.1755       	0.367        	0.2003         	--             	--            
NooneTries                            	4600         	-0.03505     	1.402         	0            	0               	0.03505       	--           	0            	--           	0            	0.975        	-0.03505     	0            	-0.03505     	-0.03505     	0            	0.2003         	0              	0             
InventionOccurs                       	2657         	0.5039       	1.499         	1.381        	3.109           	0.1392        	0.07423      	0.3194       	--           	0            	1.146        	0.1803       	0.3236       	0.5039       	0.5039       	0.746        	0.2003         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2655         	0.5044       	1.499         	1.381        	3.11            	0.1392        	0.07426      	0.3197       	--           	0            	1.146        	0.1805       	0.3239       	0.5044       	0.5044       	0.7458       	0.2003         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2655         	0.5044       	1.499         	1.381        	3.11            	0.1392        	0.07426      	0.3197       	--           	0            	1.146        	0.1805       	0.3239       	0.5044       	0.5044       	0.7458       	0.2003         	--             	--            
AllHighValue                          	2087         	0.2293       	1.453         	1.132        	2.216           	0.1494        	--           	0.1849       	--           	0            	1.037        	0.03551      	0.1938       	0.2293       	0.2293       	0.3115       	0.2003         	--             	--            
FirstTriesHighValue                   	1616         	0.2919       	1.452         	1.399        	2.862           	0.1746        	0.09968      	0.2275       	--           	0            	1.053        	0.05294      	0.239        	0.2919       	0.2919       	0.4022       	0.2003         	--             	--            
SomeoneTriesHighValue                 	1719         	0.2854       	1.485         	1.375        	2.69            	0.1744        	0.101        	0.2245       	--           	0            	1.05         	0.05011      	0.2353       	0.2854       	0.2854       	0.3781       	0.2003         	--             	--            
NooneTriesHighValue                   	368          	-0.03268     	1.307         	0            	0               	0.03268       	--           	0            	--           	0            	0.975        	-0.03268     	0            	-0.03268     	-0.03268     	0            	0.2003         	0              	0             
InventionOccursHighValue              	874          	0.7331       	1.487         	1.403        	3.341           	0.1711        	0.09654      	0.4415       	--           	0            	1.217        	0.2704       	0.4628       	0.7331       	0.7331       	0.7437       	0.2003         	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	874          	0.7331       	1.487         	1.403        	3.341           	0.1711        	0.09654      	0.4415       	--           	0            	1.217        	0.2704       	0.4628       	0.7331       	0.7331       	0.7437       	0.2003         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	874          	0.7331       	1.487         	1.403        	3.341           	0.1711        	0.09654      	0.4415       	--           	0            	1.217        	0.2704       	0.4628       	0.7331       	0.7331       	0.7437       	0.2003         	--             	--            
