                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.2455       	10            	4.817        	1.359           	0.6258        	--           	0.2          	--           	0            	1.004        	0.04294      	0.2025       	0.2455       	0.2455       	0.065        	0.06608        	--             	--            
FirstTries                            	4844         	0.2083       	10            	8.124        	2.806           	0.881         	0.07783      	0.3141       	--           	0            	0.9889       	-0.1109      	0.3192       	0.2083       	0.2083       	0.1342       	0.06608        	--             	--            
SomeoneTries                          	7469         	0.2482       	10            	6.449        	1.82            	0.7531        	0.07739      	0.2678       	--           	0            	0.9977       	-0.02298     	0.2712       	0.2482       	0.2482       	0.08703      	0.06608        	--             	--            
NooneTries                            	2531         	0.2375       	10            	0            	0               	0.25          	--           	0            	--           	0            	1.024        	0.2375       	0            	0.2375       	0.2375       	0            	0.06608        	--             	--            
InventionOccurs                       	6476         	0.278        	10            	7.097        	2.054           	0.8035        	0.07794      	0.3089       	--           	0            	0.9965       	-0.03476     	0.3127       	0.278        	0.278        	0.1004       	0.06608        	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	6476         	0.278        	10            	7.097        	2.054           	0.8035        	0.07794      	0.3089       	--           	0            	0.9965       	-0.03476     	0.3127       	0.278        	0.278        	0.1004       	0.06608        	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	6476         	0.278        	10            	7.097        	2.054           	0.8035        	0.07794      	0.3089       	--           	0            	0.9965       	-0.03476     	0.3127       	0.278        	0.278        	0.1004       	0.06608        	--             	--            
AllHighValue                          	2011         	0.2163       	10            	8.364        	2.366           	1.098         	--           	0.4277       	--           	0            	0.9775       	-0.2248      	0.4411       	0.2163       	0.2163       	0.0905       	0.06608        	--             	--            
FirstTriesHighValue                   	1692         	0.1841       	10            	9.007        	2.813           	1.147         	0.1014       	0.4365       	--           	0            	0.9732       	-0.2683      	0.4525       	0.1841       	0.1841       	0.1076       	0.06608        	--             	--            
SomeoneTriesHighValue                 	2008         	0.2163       	10            	8.376        	2.37            	1.099         	0.1041       	0.4283       	--           	0            	0.9774       	-0.2255      	0.4418       	0.2163       	0.2163       	0.09064      	0.06608        	--             	--            
NooneTriesHighValue                   	3            	0.2375       	10            	0            	0               	0.25          	--           	0            	--           	0            	1.024        	0.2375       	0            	0.2375       	0.2375       	0            	0.06608        	--             	--            
InventionOccursHighValue              	1934         	0.2356       	10            	8.534        	2.441           	1.112         	0.1035       	0.4447       	--           	0            	0.9777       	-0.223       	0.4587       	0.2356       	0.2356       	0.09411      	0.06608        	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1934         	0.2356       	10            	8.534        	2.441           	1.112         	0.1035       	0.4447       	--           	0            	0.9777       	-0.223       	0.4587       	0.2356       	0.2356       	0.09411      	0.06608        	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1934         	0.2356       	10            	8.534        	2.441           	1.112         	0.1035       	0.4447       	--           	0            	0.9777       	-0.223       	0.4587       	0.2356       	0.2356       	0.09411      	0.06608        	--             	--            
