"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 2 Dam 1",0.0743,0.166667,0.350877,0.482456,0,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 2 Dam 2",0.1317,0.272277,0.321782,0.40099,0.0049505,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 2 Dam 3",0.1956,0.05,0.356667,0.546667,0.0433333,0.00333333
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 2 Dam 4",0.0776,0.184874,0.0252101,0.630252,0.0756303,0.0840336
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 2 Dam 5",0.0033,0.8,0,0,0,0.2
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 3 Dam 1",0.2471,0.0158311,0.358839,0.593668,0.0316623,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 3 Dam 2",0.1213,0,0.182796,0.741935,0.0591398,0.016129
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 3 Dam 3",0.002,0,0,0,1,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 3 Dam 4",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 3 Dam 5",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 4 Dam 1",0.0026,0,0,0,1,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 4 Dam 2",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 4 Dam 3",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 4 Dam 4",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 4 Dam 5",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 5 Dam 1",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 5 Dam 2",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 5 Dam 3",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 5 Dam 4",0,,,,,
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 5 Dam 5",0,,,,,
