"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 2 Dam 3",0.0825,0.998551,0.00144928,0,0,0
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 2 Dam 4",0.0864,0.66759,0.331025,0,0.00138504,0
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 2 Dam 5",0.0848,0.00423131,0.992948,0,0.00141044,0.00141044
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 3 Dam 1",0.107,0.945251,0.0536313,0,0,0.00111732
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 3 Dam 2",0.1106,0.914595,0.0832432,0,0.00108108,0.00108108
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 3 Dam 3",0.1208,0,0.99505,0.0029703,0.0019802,0
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 3 Dam 4",0,,,,,
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 3 Dam 5",0.0324,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 4 Dam 1",0.1146,0.00313152,0,0.996868,0,0
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 4 Dam 2",0.0005,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 4 Dam 3",0.0002,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 4 Dam 4",0.0001,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 4 Dam 5",0.0001,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 5 Dam 1",0.0002,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 5 Dam 2",0,,,,,
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 5 Dam 3",0.0001,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 5 Dam 4",0.0001,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","DSignal Liab 5 Dam 5",0.0001,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","All",1,0.613341,0.249399,0.101923,0,0.0353365
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 1 Dam 1",0.0151,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 1 Dam 2",0.028,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 1 Dam 3",0.0299,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 1 Dam 4",0.0326,0.99631,0.00369004,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 1 Dam 5",0.0341,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 2 Dam 1",0.0564,1,0,0,0,0
