"OptionSet","Exploit","Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"liabbasecosts","0.006821990425059434","All",1,1,0.498,0.502,49800,1014800,915200,0.2024,1,0.15872,1,0.28128,1,0.1586,1,0.199,1,0.19272,0.19548,0.22808,0.19264,0.19108,0.18976,0.19792,0.23072,0.19176,0.18984
"liabbasecosts","0.006821990425059434","PLiabilitySignal 1",0.1927,1,0.041511,0.958489,4151.1,969151,960849,0.820672,0.781423,0.170818,0.207409,0.00850976,0.00583049,0,0,0,0,1,0,0,0,0,0.672271,0.280614,0.0442092,0.00249066,0.00041511
"liabbasecosts","0.006821990425059434","PLiabilitySignal 2",0.1955,1,0.217107,0.782893,21710.7,986711,943289,0.219357,0.211858,0.487416,0.600302,0.288316,0.20037,0.00491099,0.00605296,0,0,0,1,0,0,0,0.273174,0.399427,0.271946,0.0525885,0.00286474
"liabbasecosts","0.006821990425059434","PLiabilitySignal 3",0.2281,1,0.498948,0.501052,49894.8,1014890,915105,0.00596282,0.00671937,0.13013,0.186996,0.722203,0.585609,0.136093,0.195712,0.00561207,0.00643216,0,0,1,0,0,0.0280603,0.23483,0.478078,0.222553,0.0364784
"liabbasecosts","0.006821990425059434","PLiabilitySignal 4",0.1926,1,0.779693,0.220307,77969.3,1042970,887031,0,0,0.00436047,0.00529234,0.293397,0.200939,0.482766,0.586381,0.219477,0.212462,0,0,0,1,0,0.00207641,0.059593,0.262251,0.393688,0.282392
"liabbasecosts","0.006821990425059434","PLiabilitySignal 5",0.1911,1,0.960645,0.0393552,96064.5,1061060,868936,0,0,0,0,0.0106762,0.00725256,0.175843,0.211854,0.813481,0.781106,0,0,0,0,1,0,0.00376806,0.0496127,0.284698,0.661922
"liabbasecosts","0.006821990425059434","DLiabilitySignal 1",0.1898,1,0.0373103,0.96269,3731.03,968731,961269,0.840219,0.787747,0.152403,0.182208,0.00737774,0.00497725,0,0,0,0,0.682757,0.281408,0.0337268,0.00210793,0,1,0,0,0,0
"liabbasecosts","0.006821990425059434","DLiabilitySignal 2",0.1979,1,0.217664,0.782336,21766.4,986766,943234,0.21059,0.205929,0.48848,0.609123,0.295069,0.207622,0.00586095,0.007314,0,0,0.273242,0.394503,0.270614,0.0580032,0.00363783,0,1,0,0,0
"liabbasecosts","0.006821990425059434","DLiabilitySignal 3",0.2307,1,0.503814,0.496186,50381.4,1015380,914619,0.00554785,0.00632411,0.140257,0.203881,0.704404,0.577787,0.142857,0.207818,0.00693481,0.0080402,0.0369279,0.230409,0.472607,0.218967,0.0410888,0,0,1,0,0
"liabbasecosts","0.006821990425059434","DLiabilitySignal 4",0.1918,1,0.776387,0.223613,77638.7,1042640,887361,0,0,0.00396329,0.00478831,0.298498,0.203498,0.478932,0.579067,0.218607,0.210653,0.00250313,0.0536087,0.264706,0.395494,0.283688,0,0,0,1,0
"liabbasecosts","0.006821990425059434","DLiabilitySignal 5",0.1898,1,0.962495,0.0375053,96249.5,1061250,868751,0,0,0,0,0.00906026,0.0061149,0.171934,0.205801,0.819005,0.781307,0.000421408,0.00294985,0.0438264,0.286557,0.666245,0,0,0,0,1
"liabbasecosts","0.006821990425059434","LitQual 1",0.2024,1,0.0152174,0.984783,1521.74,966522,963478,1,1,0,0,0,0,0,0,0,0,0.781423,0.211858,0.00671937,0,0,0.787747,0.205929,0.00632411,0,0
"liabbasecosts","0.006821990425059434","LitQual 2",0.1587,1,0.137097,0.862903,13709.7,978710,951290,0,0,1,1,0,0,0,0,0,0,0.207409,0.600302,0.186996,0.00529234,0,0.182208,0.609123,0.203881,0.00478831,0
"liabbasecosts","0.006821990425059434","LitQual 3",0.2813,1,0.497582,0.502418,49758.2,1014760,915242,0,0,0,0,1,1,0,0,0,0,0.00583049,0.20037,0.585609,0.200939,0.00725256,0.00497725,0.207622,0.577787,0.203498,0.0061149
"liabbasecosts","0.006821990425059434","LitQual 4",0.1586,1,0.863052,0.136948,86305.2,1051310,878695,0,0,0,0,0,0,1,1,0,0,0,0.00605296,0.195712,0.586381,0.211854,0,0.007314,0.207818,0.579067,0.205801
"liabbasecosts","0.006821990425059434","LitQual 5",0.199,1,0.986533,0.0134673,98653.3,1063650,866347,0,0,0,0,0,0,0,0,1,1,0,0,0.00643216,0.212462,0.781106,0,0,0.0080402,0.210653,0.781307
"liabhighcosts","0.0019149311919882243","All",1,1,0.50412,0.49588,50412,945412,844588,0.19692,1,0.16312,1,0.27488,1,0.16712,1,0.19796,1,0.1936,0.1918,0.22196,0.20252,0.19012,0.18848,0.19656,0.2294,0.1954,0.19016
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 1",0.1936,1,0.0376033,0.962397,3760.33,898760,891240,0.804959,0.791387,0.186364,0.221187,0.00867769,0.00611176,0,0,0,0,1,0,0,0,0,0.662603,0.289256,0.0458678,0.00227273,0
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 2",0.1918,1,0.221064,0.778936,22106.4,917106,872894,0.209176,0.203738,0.494682,0.581658,0.290302,0.202561,0.00563087,0.00646242,0.000208551,0.000202061,0,1,0,0,0,0.27341,0.392492,0.27633,0.055683,0.00208551
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 3",0.222,1,0.510903,0.489097,51090.3,946090,843910,0.0043251,0.00487508,0.139845,0.190289,0.714183,0.576688,0.13552,0.17999,0.00612723,0.00687007,0,0,1,0,0,0.0326185,0.239142,0.470715,0.225626,0.0318976
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 4",0.2025,1,0.783725,0.216275,78372.5,973373,816627,0,0,0.00533281,0.00662089,0.285996,0.21071,0.499901,0.605792,0.20877,0.213579,0,0,0,1,0,0.00217262,0.0570808,0.267035,0.397985,0.275726
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 5",0.1901,1,0.958973,0.0410267,95897.3,990897,799103,0,0,0.000210393,0.000245218,0.00568062,0.00392899,0.182622,0.207755,0.811487,0.779349,0,0,0,0,1,0.000420787,0.00336629,0.0471281,0.281927,0.667158
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 1",0.1885,1,0.0382003,0.9618,3820.03,898820,891180,0.824278,0.78895,0.165959,0.191761,0.00955008,0.00654831,0.000212224,0.000239349,0,0,0.680603,0.278226,0.0384126,0.00233447,0.000424448,1,0,0,0,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 2",0.1966,1,0.225682,0.774318,22568.2,917568,872432,0.205128,0.204753,0.497965,0.600049,0.289174,0.206781,0.00773301,0.00909526,0,0,0.2849,0.382987,0.270045,0.0588116,0.003256,0,1,0,0,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 3",0.2294,1,0.502005,0.497995,50200.5,945201,844799,0.00540541,0.00629697,0.142807,0.200834,0.700087,0.584255,0.146818,0.201532,0.0048823,0.00565771,0.0387097,0.231037,0.455449,0.235745,0.0390584,0,0,1,0,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 4",0.1954,1,0.791402,0.208598,79140.2,974140,815860,0,0,0.00593654,0.00711133,0.277584,0.197322,0.510542,0.596936,0.205937,0.203273,0.00225179,0.0546571,0.256295,0.412487,0.274309,0,0,0,1,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 5",0.1902,1,0.961085,0.0389146,96108.5,991109,798891,0,0,0.000210349,0.000245218,0.00736222,0.00509313,0.16891,0.192197,0.823517,0.791069,0,0.00210349,0.0372318,0.293647,0.667017,0,0,0,0,1
"liabhighcosts","0.0019149311919882243","LitQual 1",0.1969,1,0.0125939,0.987406,1259.39,896259,893741,1,1,0,0,0,0,0,0,0,0,0.791387,0.203738,0.00487508,0,0,0.78895,0.204753,0.00629697,0,0
"liabhighcosts","0.0019149311919882243","LitQual 2",0.1631,1,0.133154,0.866846,13315.4,908315,881685,0,0,1,1,0,0,0,0,0,0,0.221187,0.581658,0.190289,0.00662089,0.000245218,0.191761,0.600049,0.200834,0.00711133,0.000245218
"liabhighcosts","0.0019149311919882243","LitQual 3",0.2749,1,0.511059,0.488941,51105.9,946106,843894,0,0,0,0,1,1,0,0,0,0,0.00611176,0.202561,0.576688,0.21071,0.00392899,0.00654831,0.206781,0.584255,0.197322,0.00509313
"liabhighcosts","0.0019149311919882243","LitQual 4",0.1671,1,0.864528,0.135472,86452.8,981453,808547,0,0,0,0,0,0,1,1,0,0,0,0.00646242,0.17999,0.605792,0.207755,0.000239349,0.00909526,0.201532,0.596936,0.192197
"liabhighcosts","0.0019149311919882243","LitQual 5",0.198,1,0.984845,0.0151546,98484.5,993485,796515,0,0,0,0,0,0,0,0,1,1,0,0.000202061,0.00687007,0.213579,0.779349,0,0,0.00565771,0.203273,0.791069
