"OptionSet","Exploit","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"liablowcosts","0.0004570264838987787","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","Truly Liable",0.5,0,0.5,0.654387,0.98072,0.62336,0.15776,0.31384,0.67143,0.394953,0.0537154,0.0439465,0.00704,,,,,0.00016,0.00024,0.34808,0.49528,0.615512,0.423542,0.0234831,0.0208214,0.0216,,,,,0.00024,0,0.59408,0.648802,1067470,917025,1067470,917025,15503.9,4498.2,32528.9,0,0,0.02864,52886.4,0.0004,0.00024,0,1,0,0.0072,0.98072,0.62336,0.01928,0.35736,0.00704,0.00016,0.00024,0.0216,0.00024,0,0.20864,0.38544
"liablowcosts","0.0004570264838987787","Truly Not Liable",0.5,0,0.5,0.347027,0.64032,0.6144,0.31216,0.15656,0.629624,0.354642,0.0606029,0.0365524,0.00984,,,,,0.00024,0.00016,0.4812,0.3388,0.594621,0.392891,0.029939,0.0223844,0.01928,,,,,8E-05,0.00024,0.58456,0.360613,1018050,967780,1018050,967780,14172.3,32219.6,0,0,0,0.02912,50297.6,0.00032,0.0004,0,0,0,0.0036,0.64032,0.6144,0.35968,0.02592,0.00984,0.00024,0.00016,0.01928,8E-05,0.00024,0.37376,0.2108
"liablowcosts","0.0004570264838987787","AllCount",25000,0,25000,0.500707,20263,15472,5874,5880,0.650817,0.375077,0.0571114,0.0403007,211,,,,,5,5,10366,10426,0.604359,0.407179,0.0269296,0.0216558,511,,,,,4,3,14733,7453,1042760,942403,1042760,942403,14838.1,18358.9,16264.4,0,0,722,51581.3,9,8,0,12500,0,0.0054,20263,15472,4737,4791,211,5,5,511,4,3,7280,7453
"liablowcosts","0.0004570264838987787","Liability Strength1",0.2024,0,0.2024,0.166667,0.222134,0.222134,0.202372,0.00118577,0.494792,0.182292,0.0745066,0.0124182,0,,,,,0.000395257,0.000197628,0.21502,0.0118577,0.666667,0.333333,0.12195,0.0339033,0,,,,,0,0,0.221542,0.0133809,997728,997096,997728,997096,5176.22,2815.55,2776.52,0,0,0,,0.000395257,0.000197628,0,0.0268775,0,0.00335968,0.222134,0.222134,0.777866,0,0,0.000395257,0.000197628,0,0,0,0.218577,0.0029644
"liablowcosts","0.0004570264838987787","Liability Strength2",0.1557,0,0.15572,0.333333,0.801695,0.801182,0.605189,0.051888,0.530192,0.266392,0.0727065,0.0226415,0.00513743,,,,,0.000256871,0,0.746468,0.288466,0.507508,0.31982,0.0396555,0.0166914,0.0169535,,,,,0.000256871,0.000256871,0.77832,0.140924,1002600,978884,1002600,978884,18516.6,15701.7,23580.1,0,0,0.0220909,36821.7,0.000513743,0.000256871,0,0.244798,0,-0.00770614,0.801695,0.801182,0.198305,0.000513743,0.00513743,0.000256871,0,0.0169535,0.000256871,0.000256871,0.668636,0.109684
"liablowcosts","0.0004570264838987787","Liability Strength3",0.2777,0,0.27772,0.5,0.995967,0.99035,0.330261,0.31917,0.655646,0.372165,0.0607239,0.0390726,0.0253493,,,,,0.00014403,0.00014403,0.749532,0.739738,0.613442,0.408702,0.027029,0.0235073,0.0498344,,,,,0.00014403,0.00028806,0.914446,0.502599,1039140,938371,1039140,938371,22492.7,33466.3,30463.7,0,0,0.0751836,50910,0.00028806,0.00043209,0,0.50036,0,0.0118105,0.995967,0.99035,0.00403284,0.00561717,0.0253493,0.00014403,0.00014403,0.0498344,0.00014403,0.00028806,0.454847,0.4596
"liablowcosts","0.0004570264838987787","Liability Strength4",0.1636,0,0.16356,0.666667,1,0.80313,0.0474444,0.607483,0.754078,0.498923,0.0286876,0.062841,0.00366838,,,,,0.000244559,0.000244559,0.272438,0.75055,0.666667,0.490826,0.0127071,0.0193118,0.0237222,,,,,0.000489117,0,0.774762,0.873422,1079260,901553,1079260,901553,19186,30360.9,15428.4,0,0,0.0273906,65773.8,0.000733676,0.000244559,0,0.750795,0,0.0217657,1,0.80313,0,0.19687,0.00366838,0.000244559,0.000244559,0.0237222,0.000489117,0,0.098068,0.676694
