"OptionSet","Exploit","Filter","All","P2 0.17  ","P2 0.33  ","P2 0.5  ","P2 0.67  ","P2 0.83  "
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 2",0,,,,,
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 3",0,,,,,
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 4",0.0327,0.98,0.02,0,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 5",0.0261,0.95,0.05,0,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 1",0.0314,0.145833,0.541667,0.25,0.0208333,0.0416667
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 2",0.1385,0,0.349057,0.575472,0.0613208,0.0141509
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 3",0.1999,0.0163399,0.153595,0.69281,0.0849673,0.0522876
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 4",0.1248,0.0575916,0.0104712,0.465969,0.125654,0.340314
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 5",0.0614,0.0744681,0.0425532,0,0.0106383,0.87234
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 1",0.1502,0,0.0434783,0.808696,0.0956522,0.0521739
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 2",0.0986,0,0.390728,0.291391,0.0662252,0.251656
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 3",0.0725,0,0.00900901,0.0900901,0.0810811,0.81982
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 4",0.015,0,0,0,0.0434783,0.956522
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 5",0.0144,0,0,0,0,1
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 1",0.0183,0,0,0.392857,0.214286,0.392857
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 2",0.0105,0,0,0,0.125,0.875
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 3",0.0039,0,0,0,0,1
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 4",0,,,,,
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 5",0.002,0,0,0,0,1
"soallroundshighcosts","0.0010150671057617044","All",1,0.0588616,0.139069,0.496119,0.0756792,0.230272
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 1 Dam 1",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 1 Dam 2",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 1 Dam 3",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 1 Dam 4",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 1 Dam 5",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 2 Dam 1",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 2 Dam 2",0.0006,0,1,0,0,0
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 2 Dam 3",0,,,,,
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 2 Dam 4",0.0323,1,0,0,0,0
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 2 Dam 5",0.0188,1,0,0,0,0
