"OptionSet","Exploit","Filter","All","P2 0.17  ","P2 0.33  ","P2 0.5  ","P2 0.67  ","P2 0.83  "
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 3 Dam 1",0.0356,0,0.509091,0.472727,0.0181818,0
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 3 Dam 2",0.1423,0.00454545,0.286364,0.663636,0.0454545,0
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 3 Dam 3",0.2186,0.0118343,0.12426,0.769231,0.0828402,0.0118343
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 3 Dam 4",0.1003,0.0387097,0.0387097,0.554839,0.135484,0.232258
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 3 Dam 5",0.0498,0.012987,0,0.012987,0.012987,0.961039
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 4 Dam 1",0.1514,0,0.0598291,0.82906,0.106838,0.0042735
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 4 Dam 2",0.0983,0,0.401316,0.210526,0.0986842,0.289474
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 4 Dam 3",0.0666,0,0,0.0194175,0.116505,0.864078
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 4 Dam 4",0.0246,0,0,0.0263158,0.0526316,0.921053
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 4 Dam 5",0.0129,0,0,0,0,1
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 5 Dam 1",0.0213,0,0,0.575758,0.0606061,0.363636
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 5 Dam 2",0.0155,0,0,0,0,1
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 5 Dam 3",0.0078,0,0,0,0,1
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 5 Dam 4",0.0026,0,0,0,0,1
"soallroundshighcosts","0.0010150671057617044","PSignal Liab 5 Dam 5",0.0006,0,0,0,0,1
