"OptionSet","Exploit","Filter","All","P1 0.17  ","P1 0.33  ","P1 0.5  ","P1 0.67  ","P1 0.83  "
"liablowcosts","0.0004570264838987787","All",1,0.00194477,0.0181512,0.106962,0.185077,0.10787
"liablowcosts","0.0004570264838987787","PLiabilitySignal 1",0,,,,,
"liablowcosts","0.0004570264838987787","PLiabilitySignal 2",0.033,0,0.0314342,0.950884,0.0176817,0
"liablowcosts","0.0004570264838987787","PLiabilitySignal 3",0.0257,0,0,0,0.934343,0.0656566
"liablowcosts","0.0004570264838987787","PLiabilitySignal 4",0.0016,0,0,0,0.08,0.92
"liablowcosts","0.0004570264838987787","PLiabilitySignal 5",0.0004,0,0,0,0.333333,0.666667
"damlowcosts","0.00030823996875044995","All",1,0,0.000240038,0.0700512,0.134742,0.184269
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 1",0.0689,0,0.00058072,0.986063,0.00522648,0.00813008
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 2",0.1284,0,0.000623247,0.000311624,0.987223,0.0118417
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 3",0.1769,0,0.00067858,0,0.000226193,0.999095
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 4",0.0002,0,0,0,0,1
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 5",4E-05,0,0,0,0,1
"liabbasecosts","0.006821990425059434","All",1,0.202917,0.0156686,0.123953,0.0596494,0.472464
"liabbasecosts","0.006821990425059434","PLiabilitySignal 1",7.8E-5,0,0,1,0,0
"liabbasecosts","0.006821990425059434","PLiabilitySignal 2",0.2173,0.930764,0.0314061,0.0356888,0.000356888,0.00178444
"liabbasecosts","0.006821990425059434","PLiabilitySignal 3",0.3066,0.000505945,0.0177081,0.161649,0.0199848,0.800152
"liabbasecosts","0.006821990425059434","PLiabilitySignal 4",0.1627,0.000476872,0.000476872,0.00381497,0.0476872,0.947544
"liabbasecosts","0.006821990425059434","PLiabilitySignal 5",0.0653,0,0,0.00118765,0.0023753,0.996437
"dambasecosts","0.006203528529013135","All",1,0.000256663,0.000213885,0.419472,0.0686572,0.494118
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 1",0.2052,0,0,0.999375,0.000416927,0.000208464
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 2",0.2139,0.0004,0.0002,0.9994,0,0
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 3",0.2106,0,0.000203087,0.000203087,0.313566,0.686028
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 4",0.1324,0.000323102,0,0,0.000323102,0.999354
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 5",0.1193,0.000716846,0.000358423,0,0.000716846,0.998208
"bothlowcosts","0.00027113918896466433","All",1,0.38015,0.000320026,0.243219,0.000400032,0.37591
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 1",0.0353,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 2",0.0376,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 3",0.0379,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 4",0.0395,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 5",0.0377,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 1",0.0416,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 2",0.0401,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 3",0.0372,0.998924,0,0.00107643,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 4",0.0374,0.996791,0.00106952,0.00106952,0,0.00106952
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 5",0.0358,0.998881,0,0,0.00111857,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 1",0.0447,0.00536673,0.00178891,0.99195,0.000894454,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 2",0.0484,0.000825764,0.00247729,0.995045,0.00165153,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 3",0.0436,0,0.00091659,0,0,0.999083
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 4",0.0464,0,0,0,0.00258844,0.997412
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 5",0.0454,0,0,0,0.000881834,0.999118
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 1",0.034,0,0.00117509,0.998825,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 2",0.0354,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 3",0.0409,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 4",0.0446,0,0,0,0.000896861,0.999103
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 5",0.0434,0,0,0,0.000922509,0.999077
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 1",0.0412,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 2",0.04,0,0,0.998999,0,0.001001
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 3",0.0391,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 4",0.0379,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 5",0.0349,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","All",1,0.234816,0.000200048,0.000200048,0.000440106,0.764343
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 1 Dam 1",0.035,0.998856,0,0.00114416,0,0
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 1 Dam 2",0.0372,0.998925,0,0,0.00107527,0
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 1 Dam 3",0.0357,0.99888,0,0.00111982,0,0
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 1 Dam 4",0.0401,0.999002,0.000998004,0,0,0
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 1 Dam 5",0.0396,0.925253,0.0010101,0.0010101,0.0010101,0.0717172
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 2 Dam 1",0.0397,0.998992,0,0,0.00100806,0
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 2 Dam 2",0.0422,0.252133,0.000947867,0.000947867,0.00189573,0.744076
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 2 Dam 3",0.0411,0,0,0,0.000972763,0.999027
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 2 Dam 4",0.0352,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 2 Dam 5",0.0373,0,0.00107296,0,0,0.998927
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 3 Dam 1",0.0442,0,0,0,0.000905797,0.999094
