"OptionSet","Exploit","Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 4",0.046,1,0.473501,0.526499,56407.5,1039740,926926,0.00521286,0.00122399,0.122502,0.0346437,0.7298,0.120327,0.138141,0.040111,0.00434405,0.000983671,0,0.00955691,0.168549,0.596872,0.225022,0,0,1,0,0,0.0417029,0.227628,0.463076,0.232841,0.0347524
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 5",0.0464,1,0.488352,0.511648,65789.5,1049120,917544,0.00603969,0.00142799,0.142364,0.0405405,0.69629,0.115599,0.147541,0.0431382,0.00776531,0.00177061,0,0,0.0069025,0.194133,0.798965,0,0,1,0,0,0.0388266,0.219154,0.456428,0.240725,0.0448663
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 1",0.0346,1,0.803468,0.196532,51589.6,1034920,931744,0,0,0.0104046,0.0022113,0.234682,0.0290789,0.542197,0.118315,0.212717,0.0361991,0.80578,0.184971,0.00924855,0,0,0,0,0,1,0,0.00346821,0.0647399,0.276301,0.376879,0.278613
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 2",0.0341,1,0.806565,0.193435,63804.2,1047140,919529,0.00117233,0.000203998,0.0128957,0.0027027,0.245018,0.0299384,0.518171,0.111504,0.222743,0.0373795,0.174678,0.580305,0.236811,0.00820633,0,0,0,0,1,0,0.007034,0.066823,0.257913,0.40211,0.26612
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 3",0.0382,1,0.776963,0.223037,79424.1,1062760,903909,0,0,0.00104712,0.0002457,0.291099,0.0398224,0.499476,0.120333,0.208377,0.0391501,0.00209424,0.161257,0.604188,0.219895,0.0125654,0,0,0,1,0,0.0052356,0.0701571,0.272251,0.384293,0.268063
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 4",0.0438,1,0.750457,0.249543,89556.7,1072890,893777,0,0,0.0109689,0.0029484,0.326325,0.0511388,0.449726,0.124117,0.21298,0.0458391,0,0.00639854,0.171846,0.633455,0.1883,0,0,0,1,0,0.00457038,0.0914077,0.274223,0.369287,0.260512
"bothlowcosts","0.00027113918896466433","PSignal Liab 4 Dam 5",0.0423,1,0.786389,0.213611,106167,1089500,877166,0,0,0.00661626,0.0017199,0.318526,0.0482739,0.457467,0.122099,0.217391,0.0452489,0,0,0.00378072,0.232514,0.763705,0,0,0,1,0,0.00189036,0.0850662,0.299622,0.340265,0.273157
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 1",0.0413,1,0.96515,0.03485,61060,1044390,922273,0,0,0,0,0.00968054,0.00143246,0.148112,0.0385974,0.842207,0.171159,0.817038,0.178122,0.00484027,0,0,0,0,0,0,1,0,0.00290416,0.0464666,0.244918,0.705712
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 2",0.0406,1,0.965551,0.0344488,75689,1059020,907644,0,0,0,0,0.00688976,0.00100272,0.143701,0.0368315,0.849409,0.169782,0.23622,0.575787,0.182087,0.00590551,0,0,0,0,0,1,0,0.0019685,0.0344488,0.239173,0.724409
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 3",0.0378,1,0.960847,0.0391534,95952.4,1079290,887381,0,0,0,0,0.00846561,0.00114597,0.162963,0.0388496,0.828571,0.154043,0.00634921,0.198942,0.596825,0.193651,0.0042328,0,0,0,0,1,0,0.0021164,0.0539683,0.275132,0.668783
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 4",0.0373,1,0.954984,0.0450161,114416,1097750,868917,0,0,0,0,0.00750268,0.00100272,0.184352,0.0433905,0.808146,0.148338,0,0.0096463,0.221865,0.561629,0.20686,0,0,0,0,1,0.00107181,0.00428725,0.0600214,0.250804,0.683816
"bothlowcosts","0.00027113918896466433","PSignal Liab 5 Dam 5",0.0369,1,0.96208,0.0379198,130553,1113890,852781,0,0,0,0,0.0140845,0.0018622,0.177681,0.0413724,0.808234,0.146764,0,0,0.0119177,0.200433,0.787649,0,0,0,0,1,0,0.00325027,0.056338,0.276273,0.664139
"bothlowcosts","0.00027113918896466433","DSignal Liab 1 Dam 1",0.0363,1,0.0363436,0.963656,2092.51,985426,981241,0.818282,0.151571,0.172907,0.0385749,0.00881057,0.00114597,0,0,0,0,0.796256,0.196035,0.00770925,0,0,0.667401,0.276432,0.0517621,0.00440529,0,1,0,0,0,0
