                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.09108      	1.112         	0.5542       	2.116           	0.1041        	--           	0.1023       	--           	0            	1            	-0.001722    	0.09281      	0.09108      	0.09108      	0.2797       	0.2808         	--             	--            
FirstTries                            	4966         	0.2087       	1.116         	1.092        	4.261           	0.1782        	0.1377       	0.203        	--           	0            	1.026        	0.02489      	0.1839       	0.2087       	0.2087       	0.5632       	0.2808         	--             	--            
SomeoneTries                          	5084         	0.2054       	1.136         	1.09         	4.162           	0.1784        	0.1378       	0.2013       	--           	0            	1.025        	0.02288      	0.1825       	0.2054       	0.2054       	0.5502       	0.2808         	--             	--            
NooneTries                            	4916         	-0.02716     	1.086         	0            	0               	0.02716       	--           	0            	--           	0            	0.975        	-0.02716     	0            	-0.02716     	-0.02716     	0            	0.2808         	--             	--            
InventionOccurs                       	3024         	0.4608       	1.164         	1.127        	4.82            	0.1845        	0.1382       	0.3384       	--           	0            	1.149        	0.1539       	0.3069       	0.4608       	0.4608       	0.9249       	0.2808         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2964         	0.4733       	1.166         	1.128        	4.844           	0.1851        	0.1385       	0.3453       	--           	0            	1.155        	0.1602       	0.3131       	0.4733       	0.4733       	0.9238       	0.2808         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2964         	0.4733       	1.166         	1.128        	4.844           	0.1851        	0.1385       	0.3453       	--           	0            	1.155        	0.1602       	0.3131       	0.4733       	0.4733       	0.9238       	0.2808         	--             	--            
AllHighValue                          	2030         	0.2655       	1.115         	0.9246       	3.851           	0.1951        	--           	0.2218       	--           	0            	1.027        	0.02675      	0.2387       	0.2655       	0.2655       	0.4729       	0.2808         	--             	--            
FirstTriesHighValue                   	1688         	0.3223       	1.113         	1.098        	4.632           	0.2263        	0.1815       	0.2642       	--           	0            	1.038        	0.03784      	0.2845       	0.3223       	0.3223       	0.5687       	0.2808         	--             	--            
SomeoneTriesHighValue                 	1712         	0.3197       	1.126         	1.096        	4.567           	0.2264        	0.1815       	0.263        	--           	0            	1.037        	0.03662      	0.283        	0.3197       	0.3197       	0.5607       	0.2808         	--             	--            
NooneTriesHighValue                   	318          	-0.02642     	1.057         	0            	0               	0.02642       	--           	0            	--           	0            	0.975        	-0.02642     	0            	-0.02642     	-0.02642     	0            	0.2808         	--             	--            
InventionOccursHighValue              	1037         	0.6674       	1.156         	1.136        	5.261           	0.2341        	0.1815       	0.4343       	--           	0            	1.193        	0.2001       	0.4673       	0.6674       	0.6674       	0.9257       	0.2808         	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1037         	0.6674       	1.156         	1.136        	5.261           	0.2341        	0.1815       	0.4343       	--           	0            	1.193        	0.2001       	0.4673       	0.6674       	0.6674       	0.9257       	0.2808         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1037         	0.6674       	1.156         	1.136        	5.261           	0.2341        	0.1815       	0.4343       	--           	0            	1.193        	0.2001       	0.4673       	0.6674       	0.6674       	0.9257       	0.2808         	--             	--            
