                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1013       	1             	0.4838       	2.193           	0.09707       	--           	0.1046       	0.3634       	0            	1.008        	0.007565     	0.09374      	0.1013       	0.1013       	0.2959       	0.2967         	0.2914         	0.2914        
FirstTries                            	4838         	0.2361       	1             	1            	4.532           	0.174         	0.149        	0.2163       	0.3634       	0            	1.042        	0.04231      	0.1937       	0.2361       	0.2361       	0.6116       	0.2967         	0.6024         	0.6024        
SomeoneTries                          	4838         	0.2361       	1             	1            	4.532           	0.174         	0.149        	0.2163       	0.3634       	0            	1.042        	0.04231      	0.1937       	0.2361       	0.2361       	0.6116       	0.2967         	0.6024         	0.6024        
NooneTries                            	5162         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2967         	0              	0             
InventionOccurs                       	2959         	0.4967       	1             	1            	5.183           	0.1737        	0.1487       	0.3536       	0.3634       	0            	1.18         	0.1799       	0.3168       	0.4967       	0.4967       	1            	0.2967         	0.6412         	0.6412        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2957         	0.4971       	1             	1            	5.185           	0.1737        	0.1487       	0.3539       	0.3634       	0            	1.18         	0.1801       	0.317        	0.4971       	0.4971       	1            	0.2967         	0.6413         	0.6413        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2957         	0.4971       	1             	1            	5.185           	0.1737        	0.1487       	0.3539       	0.3634       	0            	1.18         	0.1801       	0.317        	0.4971       	0.4971       	1            	0.2967         	0.6413         	0.6413        
AllHighValue                          	2065         	0.278        	1             	0.8368       	4.153           	0.1997        	--           	0.2428       	0.4595       	0            	1.043        	0.04311      	0.2349       	0.278        	0.278        	0.5308       	0.2967         	0.5256         	0.5256        
FirstTriesHighValue                   	1728         	0.3371       	1             	1            	4.963           	0.2338        	0.2088       	0.2902       	0.4595       	0            	1.056        	0.05639      	0.2807       	0.3371       	0.3371       	0.6343       	0.2967         	0.6281         	0.6281        
SomeoneTriesHighValue                 	1728         	0.3371       	1             	1            	4.963           	0.2338        	0.2088       	0.2902       	0.4595       	0            	1.056        	0.05639      	0.2807       	0.3371       	0.3371       	0.6343       	0.2967         	0.6281         	0.6281        
NooneTriesHighValue                   	337          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2967         	0              	0             
InventionOccursHighValue              	1096         	0.6707       	1             	1            	5.539           	0.2293        	0.2043       	0.4575       	0.4595       	0            	1.228        	0.2282       	0.4426       	0.6707       	0.6707       	1            	0.2967         	0.6622         	0.6622        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1096         	0.6707       	1             	1            	5.539           	0.2293        	0.2043       	0.4575       	0.4595       	0            	1.228        	0.2282       	0.4426       	0.6707       	0.6707       	1            	0.2967         	0.6622         	0.6622        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1096         	0.6707       	1             	1            	5.539           	0.2293        	0.2043       	0.4575       	0.4595       	0            	1.228        	0.2282       	0.4426       	0.6707       	0.6707       	1            	0.2967         	0.6622         	0.6622        
