                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1081       	1             	0.5136       	2.307           	0.1061        	--           	0.1175       	0.38         	0            	1.011        	0.01138      	0.09668      	0.1081       	0.1081       	0.3148       	0.3156         	--             	--            
FirstTries                            	5136         	0.2341       	1             	1            	4.492           	0.1829        	0.1579       	0.2288       	0.38         	0            	1.046        	0.04584      	0.1882       	0.2341       	0.2341       	0.6129       	0.3156         	0.5986         	0.5986        
SomeoneTries                          	5136         	0.2341       	1             	1            	4.492           	0.1829        	0.1579       	0.2288       	0.38         	0            	1.046        	0.04584      	0.1882       	0.2341       	0.2341       	0.6129       	0.3156         	0.5986         	0.5986        
NooneTries                            	4864         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.3156         	--             	--            
InventionOccurs                       	3148         	0.4943       	1             	1            	5.176           	0.186         	0.161        	0.3732       	0.38         	0            	1.187        	0.1872       	0.3071       	0.4943       	0.4943       	1            	0.3156         	0.6396         	0.6396        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3140         	0.4959       	1             	1            	5.179           	0.1861        	0.1611       	0.3742       	0.3802       	0            	1.188        	0.188        	0.3079       	0.4959       	0.4959       	1            	0.3156         	0.6398         	0.6398        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	3140         	0.4959       	1             	1            	5.179           	0.1861        	0.1611       	0.3742       	0.3802       	0            	1.188        	0.188        	0.3079       	0.4959       	0.4959       	1            	0.3156         	0.6398         	0.6398        
AllHighValue                          	2013         	0.2961       	1             	0.8847       	4.375           	0.2171        	--           	0.2704       	0.474        	0            	1.053        	0.05338      	0.2427       	0.2961       	0.2961       	0.5708       	0.3156         	--             	--            
FirstTriesHighValue                   	1781         	0.3379       	1             	1            	4.945           	0.2421        	0.2171       	0.3057       	0.474        	0            	1.064        	0.06359      	0.2744       	0.3379       	0.3379       	0.6451       	0.3156         	0.6262         	0.6262        
SomeoneTriesHighValue                 	1781         	0.3379       	1             	1            	4.945           	0.2421        	0.2171       	0.3057       	0.474        	0            	1.064        	0.06359      	0.2744       	0.3379       	0.3379       	0.6451       	0.3156         	0.6262         	0.6262        
NooneTriesHighValue                   	232          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.3156         	--             	--            
InventionOccursHighValue              	1149         	0.6567       	1             	1            	5.548           	0.2423        	0.2173       	0.4738       	0.474        	0            	1.231        	0.2315       	0.4253       	0.6567       	0.6567       	1            	0.3156         	0.6618         	0.6618        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1149         	0.6567       	1             	1            	5.548           	0.2423        	0.2173       	0.4738       	0.474        	0            	1.231        	0.2315       	0.4253       	0.6567       	0.6567       	1            	0.3156         	0.6618         	0.6618        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1149         	0.6567       	1             	1            	5.548           	0.2423        	0.2173       	0.4738       	0.474        	0            	1.231        	0.2315       	0.4253       	0.6567       	0.6567       	1            	0.3156         	0.6618         	0.6618        
