                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.09807      	1.002         	0.4891       	1.413           	0.06356       	--           	0.08298      	--           	0.008044     	1.017        	0.01691      	0.08117      	0.09807      	0.09807      	0.2522       	0.253          	--             	--            
FirstTries                            	4879         	0.2274       	1.002         	1.002        	2.896           	0.1039        	0.07873      	0.1701       	--           	0.01649      	1.061        	0.06101      	0.1664       	0.2274       	0.2274       	0.5169       	0.253          	--             	--            
SomeoneTries                          	4881         	0.2272       	1.003         	1.002        	2.895           	0.104         	0.07875      	0.17         	--           	0.01648      	1.061        	0.0609       	0.1663       	0.2272       	0.2272       	0.5167       	0.253          	--             	--            
NooneTries                            	5119         	-0.02504     	1.002         	0            	0               	0.02504       	--           	0            	--           	0            	0.975        	-0.02504     	0            	-0.02504     	-0.02504     	0            	0.253          	--             	--            
InventionOccurs                       	2527         	0.5392       	1.004         	1.003        	3.543           	0.1004        	0.07514      	0.3284       	--           	0.03183      	1.218        	0.218        	0.3212       	0.5392       	0.5392       	0.998        	0.253          	--             	--            
InadvertentInfringement               	251          	0.3508       	1.008         	1.008        	3.621           	0.09768       	0.07201      	0.3205       	0.3205       	0.3205       	1.123        	0.1228       	0.228        	0.3508       	0.3508       	0.992        	0.253          	0.5401         	0.5428        
AgreementReached                      	2274         	0.5605       	1.003         	1.003        	3.534           	0.1008        	0.07551      	0.3295       	--           	0            	1.229        	0.2288       	0.3318       	0.5605       	0.5605       	0.9987       	0.253          	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2525         	0.5397       	1.004         	1.003        	3.543           	0.1005        	0.07517      	0.3286       	--           	0.03186      	1.218        	0.2182       	0.3214       	0.5397       	0.5397       	0.998        	0.253          	--             	--            
AllHighValue                          	2033         	0.2681       	1.003         	0.818        	2.382           	0.1075        	--           	0.1866       	0.4283       	0.01657      	1.075        	0.0753       	0.1928       	0.2681       	0.2681       	0.4235       	0.253          	--             	--            
FirstTriesHighValue                   	1658         	0.3346       	1.003         	1.002        	2.921           	0.126         	0.1007       	0.2288       	0.4283       	0.02032      	1.098        	0.09813      	0.2364       	0.3346       	0.3346       	0.5193       	0.253          	--             	--            
SomeoneTriesHighValue                 	1659         	0.3342       	1.004         	1.002        	2.919           	0.126         	0.1007       	0.2287       	0.4283       	0.02031      	1.098        	0.09791      	0.2363       	0.3342       	0.3342       	0.519        	0.253          	--             	--            
NooneTriesHighValue                   	374          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.253          	--             	--            
InventionOccursHighValue              	864          	0.761        	1.003         	1.003        	3.592           	0.1227        	0.09727      	0.439        	0.4283       	0.039        	1.307        	0.3073       	0.4537       	0.761        	0.761        	0.9965       	0.253          	0.5387         	0.54          
InadvertentHighValue                  	78           	0.5932       	1.013         	1.013        	4.068           	0.1125        	0.08644      	0.432        	0.432        	0.432        	1.219        	0.2195       	0.3736       	0.5932       	0.5932       	0.9872       	0.253          	0.5653         	0.5699        
AgreementReachedHighValue             	786          	0.7777       	1.003         	1.003        	3.545           	0.1237        	0.09834      	0.4397       	0.428        	0            	1.316        	0.316        	0.4617       	0.7777       	0.7777       	0.9975       	0.253          	0.5361         	0.5371        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	864          	0.761        	1.003         	1.003        	3.592           	0.1227        	0.09727      	0.439        	0.4283       	0.039        	1.307        	0.3073       	0.4537       	0.761        	0.761        	0.9965       	0.253          	0.5387         	0.54          
