                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1068       	1.254         	0.7236       	2.384           	0.1416        	--           	0.134        	--           	0            	0.9998       	-0.007578    	0.1144       	0.1068       	0.1068       	0.314        	0.367          	--             	--            
FirstTries                            	5776         	0.2053       	1.261         	1.225        	4.128           	0.2192        	0.1522       	0.2293       	--           	0            	1.018        	0.01007      	0.1953       	0.2053       	0.2053       	0.5436       	0.367          	--             	--            
SomeoneTries                          	5936         	0.2007       	1.281         	1.219        	4.016           	0.2177        	0.1512       	0.2257       	--           	0            	1.017        	0.008014     	0.1927       	0.2007       	0.2007       	0.529        	0.367          	--             	--            
NooneTries                            	4064         	-0.03035     	1.214         	0            	0               	0.03035       	--           	0            	--           	0            	0.975        	-0.03035     	0            	-0.03035     	-0.03035     	0            	0.367          	--             	--            
InventionOccurs                       	3722         	0.4349       	1.323         	1.281        	4.655           	0.2324        	0.1546       	0.36         	--           	0            	1.125        	0.1276       	0.3073       	0.4349       	0.4349       	0.8436       	0.367          	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3715         	0.4362       	1.323         	1.28         	4.659           	0.2323        	0.1547       	0.3607       	--           	0            	1.125        	0.1284       	0.3078       	0.4362       	0.4362       	0.8439       	0.367          	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	3715         	0.4362       	1.323         	1.28         	4.659           	0.2323        	0.1547       	0.3607       	--           	0            	1.125        	0.1284       	0.3078       	0.4362       	0.4362       	0.8439       	0.367          	--             	--            
AllHighValue                          	2018         	0.2947       	1.255         	1.19         	4.465           	0.2838        	--           	0.3005       	--           	0            	1.026        	0.01667      	0.278        	0.2947       	0.2947       	0.554        	0.367          	--             	--            
FirstTriesHighValue                   	1920         	0.3105       	1.255         	1.243        	4.693           	0.2952        	0.2119       	0.3146       	--           	0            	1.029        	0.01946      	0.291        	0.3105       	0.3105       	0.5823       	0.367          	--             	--            
SomeoneTriesHighValue                 	1935         	0.3085       	1.261         	1.241        	4.657           	0.2948        	0.2118       	0.3134       	--           	0            	1.028        	0.01857      	0.29         	0.3085       	0.3085       	0.5778       	0.367          	--             	--            
NooneTriesHighValue                   	83           	-0.02771     	1.108         	0            	0               	0.02771       	--           	0            	--           	0            	0.975        	-0.02771     	0            	-0.02771     	-0.02771     	0            	0.367          	--             	--            
InventionOccursHighValue              	1299         	0.5926       	1.309         	1.296        	5.237           	0.3062        	0.2105       	0.4668       	--           	0            	1.157        	0.1607       	0.4319       	0.5926       	0.5926       	0.8607       	0.367          	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1299         	0.5926       	1.309         	1.296        	5.237           	0.3062        	0.2105       	0.4668       	--           	0            	1.157        	0.1607       	0.4319       	0.5926       	0.5926       	0.8607       	0.367          	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1299         	0.5926       	1.309         	1.296        	5.237           	0.3062        	0.2105       	0.4668       	--           	0            	1.157        	0.1607       	0.4319       	0.5926       	0.5926       	0.8607       	0.367          	--             	--            
