                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.109        	1             	0.5468       	2.341           	0.1136        	--           	0.124        	0.3893       	0            	1.01         	0.01033      	0.09863      	0.109        	0.109        	0.322        	0.323          	--             	--            
FirstTries                            	5468         	0.22         	1             	1            	4.281           	0.1871        	0.1621       	0.2267       	0.3893       	0            	1.04         	0.03962      	0.1804       	0.22         	0.22         	0.5889       	0.323          	0.5848         	0.5848        
SomeoneTries                          	5468         	0.22         	1             	1            	4.281           	0.1871        	0.1621       	0.2267       	0.3893       	0            	1.04         	0.03962      	0.1804       	0.22         	0.22         	0.5889       	0.323          	0.5848         	0.5848        
NooneTries                            	4532         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.323          	--             	--            
InventionOccurs                       	3220         	0.5028       	1             	1            	5.021           	0.1884        	0.1634       	0.385        	0.3893       	0            	1.197        	0.1965       	0.3063       	0.5028       	0.5028       	1            	0.323          	0.6297         	0.6297        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3220         	0.5028       	1             	1            	5.021           	0.1884        	0.1634       	0.385        	0.3893       	0            	1.197        	0.1965       	0.3063       	0.5028       	0.5028       	1            	0.323          	0.6297         	0.6297        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	3220         	0.5028       	1             	1            	5.021           	0.1884        	0.1634       	0.385        	0.3893       	0            	1.197        	0.1965       	0.3063       	0.5028       	0.5028       	1            	0.323          	0.6297         	0.6297        
AllHighValue                          	1946         	0.2923       	1             	0.9707       	4.647           	0.2475        	--           	0.2961       	0.4948       	0            	1.049        	0.04853      	0.2437       	0.2923       	0.2923       	0.5987       	0.323          	--             	--            
FirstTriesHighValue                   	1889         	0.3018       	1             	1            	4.787           	0.2542        	0.2292       	0.305        	0.4948       	0            	1.051        	0.05075      	0.2511       	0.3018       	0.3018       	0.6167       	0.323          	0.6162         	0.6162        
SomeoneTriesHighValue                 	1889         	0.3018       	1             	1            	4.787           	0.2542        	0.2292       	0.305        	0.4948       	0            	1.051        	0.05075      	0.2511       	0.3018       	0.3018       	0.6167       	0.323          	0.6162         	0.6162        
NooneTriesHighValue                   	57           	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.323          	--             	--            
InventionOccursHighValue              	1165         	0.6481       	1             	1            	5.467           	0.2535        	0.2285       	0.4945       	0.4948       	0            	1.241        	0.241        	0.4071       	0.6481       	0.6481       	1            	0.323          	0.6575         	0.6575        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1165         	0.6481       	1             	1            	5.467           	0.2535        	0.2285       	0.4945       	0.4948       	0            	1.241        	0.241        	0.4071       	0.6481       	0.6481       	1            	0.323          	0.6575         	0.6575        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1165         	0.6481       	1             	1            	5.467           	0.2535        	0.2285       	0.4945       	0.4948       	0            	1.241        	0.241        	0.4071       	0.6481       	0.6481       	1            	0.323          	0.6575         	0.6575        
