                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.0689       	1.109         	0.3282       	1.815           	0.07245       	--           	0.07043      	--           	0            	1            	-0.00202     	0.07092      	0.0689       	0.0689       	0.205        	0.2061         	--             	--            
FirstTries                            	2955         	0.2944       	1.107         	1.087        	6.143           	0.175         	0.1367       	0.2339       	--           	0            	1.06         	0.0589       	0.2355       	0.2944       	0.2944       	0.6937       	0.2061         	--             	--            
SomeoneTries                          	3025         	0.2912       	1.128         	1.085        	6               	0.176         	0.1375       	0.2328       	--           	0            	1.058        	0.05678      	0.2344       	0.2912       	0.2912       	0.6777       	0.2061         	--             	--            
NooneTries                            	6975         	-0.02752     	1.101         	0            	0               	0.02752       	--           	0            	--           	0            	0.975        	-0.02752     	0            	-0.02752     	-0.02752     	0            	0.2061         	--             	--            
InventionOccurs                       	2209         	0.463        	1.142         	1.108        	6.251           	0.1768        	0.1352       	0.3188       	--           	0            	1.14         	0.142        	0.321        	0.463        	0.463        	0.928        	0.2061         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2208         	0.4633       	1.142         	1.108        	6.251           	0.1768        	0.1352       	0.319        	--           	0            	1.14         	0.1421       	0.3212       	0.4633       	0.4633       	0.928        	0.2061         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2208         	0.4633       	1.142         	1.108        	6.251           	0.1768        	0.1352       	0.319        	--           	0            	1.14         	0.1421       	0.3212       	0.4633       	0.4633       	0.928        	0.2061         	--             	--            
AllHighValue                          	2001         	0.1942       	1.107         	0.5197       	2.972           	0.1255        	--           	0.1561       	--           	0            	1.032        	0.03052      	0.1637       	0.1942       	0.1942       	0.3303       	0.2061         	--             	--            
FirstTriesHighValue                   	939          	0.4397       	1.106         	1.089        	6.333           	0.2322        	0.1885       	0.3278       	--           	0            	1.095        	0.09561      	0.3441       	0.4397       	0.4397       	0.7039       	0.2061         	--             	--            
SomeoneTriesHighValue                 	956          	0.4364       	1.122         	1.088        	6.221           	0.2329        	0.1891       	0.3267       	--           	0            	1.094        	0.09376      	0.3427       	0.4364       	0.4364       	0.6914       	0.2061         	--             	--            
NooneTriesHighValue                   	1045         	-0.02734     	1.094         	0            	0               	0.02734       	--           	0            	--           	0            	0.975        	-0.02734     	0            	-0.02734     	-0.02734     	0            	0.2061         	--             	--            
InventionOccursHighValue              	710          	0.6674       	1.139         	1.111        	6.471           	0.2338        	0.1858       	0.4398       	--           	0            	1.202        	0.206        	0.4614       	0.6674       	0.6674       	0.931        	0.2061         	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	710          	0.6674       	1.139         	1.111        	6.471           	0.2338        	0.1858       	0.4398       	--           	0            	1.202        	0.206        	0.4614       	0.6674       	0.6674       	0.931        	0.2061         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	710          	0.6674       	1.139         	1.111        	6.471           	0.2338        	0.1858       	0.4398       	--           	0            	1.202        	0.206        	0.4614       	0.6674       	0.6674       	0.931        	0.2061         	--             	--            
