                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.21         	2.794         	2.323        	3.508           	0.2159        	--           	0.2121       	--           	0            	1            	-0.003765    	0.2138       	0.21         	0.21         	0.2746       	0.2757         	--             	--            
FirstTries                            	8326         	0.2613       	2.797         	2.687        	4.213           	0.241         	0.06285      	0.2502       	--           	0            	1.005        	0.009175     	0.2521       	0.2613       	0.2613       	0.3298       	0.2757         	--             	--            
SomeoneTries                          	8989         	0.2413       	2.799         	2.585        	3.903           	0.2324        	0.06123      	0.236        	--           	0            	1.003        	0.003546     	0.2378       	0.2413       	0.2413       	0.3055       	0.2757         	--             	--            
NooneTries                            	1011         	-0.06877     	2.751         	0            	0               	0.06877       	--           	0            	--           	0            	0.975        	-0.06877     	0            	-0.06877     	-0.06877     	0            	0.2757         	--             	--            
InventionOccurs                       	7475         	0.3286       	2.811         	2.686        	4.342           	0.2411        	0.06265      	0.2838       	--           	0            	1.018        	0.04268      	0.286        	0.3286       	0.3286       	0.3674       	0.2757         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	7474         	0.3287       	2.811         	2.686        	4.342           	0.2411        	0.06265      	0.2838       	--           	0            	1.018        	0.0427       	0.286        	0.3287       	0.3287       	0.3673       	0.2757         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	7474         	0.3287       	2.811         	2.686        	4.342           	0.2411        	0.06265      	0.2838       	--           	0            	1.018        	0.0427       	0.286        	0.3287       	0.3287       	0.3673       	0.2757         	--             	--            
AllHighValue                          	2009         	0.5007       	2.793         	2.79         	5.248           	0.3215        	0.09023      	0.4003       	--           	0            	1.031        	0.07876      	0.4219       	0.5007       	0.5007       	0.334        	0.2757         	--             	--            
FirstTriesHighValue                   	2008         	0.501        	2.793         	2.791        	5.251           	0.3216        	0.09023      	0.4005       	--           	0            	1.031        	0.07892      	0.4221       	0.501        	0.501        	0.3342       	0.2757         	--             	--            
SomeoneTriesHighValue                 	2009         	0.5007       	2.793         	2.79         	5.248           	0.3215        	0.09023      	0.4003       	--           	0            	1.031        	0.07876      	0.4219       	0.5007       	0.5007       	0.334        	0.2757         	--             	--            
NooneTriesHighValue                   	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1833         	0.5789       	2.805         	2.804        	5.474           	0.3223        	0.08997      	0.4387       	--           	0            	1.046        	0.1164       	0.4624       	0.5789       	0.5789       	0.3661       	0.2757         	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1833         	0.5789       	2.805         	2.804        	5.474           	0.3223        	0.08997      	0.4387       	--           	0            	1.046        	0.1164       	0.4624       	0.5789       	0.5789       	0.3661       	0.2757         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1833         	0.5789       	2.805         	2.804        	5.474           	0.3223        	0.08997      	0.4387       	--           	0            	1.046        	0.1164       	0.4624       	0.5789       	0.5789       	0.3661       	0.2757         	--             	--            
