                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	-0.0183      	1             	0.0277       	0.03271         	0.02668       	--           	0.001672     	0.1429       	0.001672     	0.975        	-0.02501     	0.006712     	-0.0183      	-0.0183      	0.0117       	0.01123        	--             	--            
FirstTries                            	277          	0.2169       	1             	1            	1.181           	0.08581       	0.06081      	0.06036      	0.1429       	0.06036      	0.9746       	-0.02544     	0.2423       	0.2169       	0.2169       	0.4224       	0.01123        	0.3759         	0.3759        
SomeoneTries                          	277          	0.2169       	1             	1            	1.181           	0.08581       	0.06081      	0.06036      	0.1429       	0.06036      	0.9746       	-0.02544     	0.2423       	0.2169       	0.2169       	0.4224       	0.01123        	0.3759         	0.3759        
NooneTries                            	9723         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.01123        	--             	--            
InventionOccurs                       	117          	0.6316       	1             	1            	1.185           	0.08493       	0.05993      	0.1429       	0.1429       	0.1429       	1.058        	0.05798      	0.5736       	0.6316       	0.6316       	1            	0.01123        	0.3765         	0.3765        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringement               	117          	0.6316       	1             	1            	1.185           	0.08493       	0.05993      	0.1429       	0.1429       	0.1429       	1.058        	0.05798      	0.5736       	0.6316       	0.6316       	1            	0.01123        	0.3765         	0.3765        
InventionUsed                         	117          	0.6316       	1             	1            	1.185           	0.08493       	0.05993      	0.1429       	0.1429       	0.1429       	1.058        	0.05798      	0.5736       	0.6316       	0.6316       	1            	0.01123        	0.3765         	0.3765        
AllHighValue                          	1987         	-0.008831    	1             	0.05586      	0.06713         	0.02922       	--           	0.004274     	0.193        	0.004274     	0.9751       	-0.02495     	0.01611      	-0.008831    	-0.008831    	0.02214      	0.01123        	--             	--            
FirstTriesHighValue                   	111          	0.2644       	1             	1            	1.202           	0.1005        	0.07553      	0.07651      	0.193        	0.07651      	0.976        	-0.02402     	0.2885       	0.2644       	0.2644       	0.3964       	0.01123        	0.3784         	0.3784        
SomeoneTriesHighValue                 	111          	0.2644       	1             	1            	1.202           	0.1005        	0.07553      	0.07651      	0.193        	0.07651      	0.976        	-0.02402     	0.2885       	0.2644       	0.2644       	0.3964       	0.01123        	0.3784         	0.3784        
NooneTriesHighValue                   	1876         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.01123        	--             	--            
InventionOccursHighValue              	44           	0.816        	1             	1            	1.187           	0.1047        	0.07971      	0.193        	0.193        	0.193        	1.088        	0.0883       	0.7277       	0.816        	0.816        	1            	0.01123        	0.3767         	0.3767        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringementHighValue      	44           	0.816        	1             	1            	1.187           	0.1047        	0.07971      	0.193        	0.193        	0.193        	1.088        	0.0883       	0.7277       	0.816        	0.816        	1            	0.01123        	0.3767         	0.3767        
InventionUsedHighValue                	44           	0.816        	1             	1            	1.187           	0.1047        	0.07971      	0.193        	0.193        	0.193        	1.088        	0.0883       	0.7277       	0.816        	0.816        	1            	0.01123        	0.3767         	0.3767        
