                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.2442       	1             	0.3162       	2.427           	0.09907       	--           	0.08827      	0.4436       	0            	0.9892       	-0.0108      	0.08332      	0.07252      	0.2442       	0.2486       	0.248          	--             	--            
FirstTries                            	3162         	0.8263       	1             	1            	7.677           	0.2592        	0.2342       	0.2792       	0.4436       	0            	1.02         	0.01991      	0.2635       	0.2834       	0.8263       	0.7862       	0.248          	0.7855         	0.7855        
SomeoneTries                          	3162         	0.8263       	1             	1            	7.677           	0.2592        	0.2342       	0.2792       	0.4436       	0            	1.02         	0.01991      	0.2635       	0.2834       	0.8263       	0.7862       	0.248          	0.7855         	0.7855        
NooneTries                            	6838         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.248          	--             	--            
InventionOccurs                       	2486         	1.124        	1             	1            	7.713           	0.2566        	0.2316       	0.3551       	0.4436       	0            	1.099        	0.0985       	0.3351       	0.4336       	1.124        	1            	0.248          	0.7874         	0.7874        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2484         	1.125        	1             	1            	7.714           	0.2566        	0.2316       	0.3554       	0.4435       	0            	1.099        	0.0988       	0.3354       	0.4342       	1.125        	1            	0.248          	0.7874         	0.7874        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2484         	1.125        	1             	1            	7.714           	0.2566        	0.2316       	0.3554       	0.4435       	0            	1.099        	0.0988       	0.3354       	0.4342       	1.125        	1            	0.248          	0.7874         	0.7874        
AllHighValue                          	1990         	0.6787       	1             	0.6342       	4.762           	0.2226        	--           	0.2278       	0.5601       	0            	1.005        	0.005183     	0.2229       	0.2281       	0.6787       	0.5005       	0.248          	--             	--            
FirstTriesHighValue                   	1262         	1.085        	1             	1            	7.509           	0.3366        	0.3116       	0.3592       	0.5601       	0            	1.023        	0.02259      	0.3514       	0.374        	1.085        	0.7892       	0.248          	0.7768         	0.7768        
SomeoneTriesHighValue                 	1262         	1.085        	1             	1            	7.509           	0.3366        	0.3116       	0.3592       	0.5601       	0            	1.023        	0.02259      	0.3514       	0.374        	1.085        	0.7892       	0.248          	0.7768         	0.7768        
NooneTriesHighValue                   	728          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.248          	--             	--            
InventionOccursHighValue              	996          	1.466        	1             	1            	7.538           	0.3353        	0.3103       	0.4551       	0.5601       	0            	1.12         	0.1198       	0.4453       	0.5651       	1.466        	1            	0.248          	0.7784         	0.7784        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	996          	1.466        	1             	1            	7.538           	0.3353        	0.3103       	0.4551       	0.5601       	0            	1.12         	0.1198       	0.4453       	0.5651       	1.466        	1            	0.248          	0.7784         	0.7784        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	996          	1.466        	1             	1            	7.538           	0.3353        	0.3103       	0.4551       	0.5601       	0            	1.12         	0.1198       	0.4453       	0.5651       	1.466        	1            	0.248          	0.7784         	0.7784        
