                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.07078      	1             	0.4916       	0.784           	0.05808       	--           	0.04789      	0.2472       	0            	0.9898       	-0.01019     	0.08097      	0.07078      	0.07078      	0.1994       	0.2003         	--             	--            
FirstTries                            	4916         	0.1698       	1             	1            	1.595           	0.0923        	0.0673       	0.09742      	0.2472       	0            	1.005        	0.005117     	0.1647       	0.1698       	0.1698       	0.4056       	0.2003         	0.4101         	0.4101        
SomeoneTries                          	4916         	0.1698       	1             	1            	1.595           	0.0923        	0.0673       	0.09742      	0.2472       	0            	1.005        	0.005117     	0.1647       	0.1698       	0.1698       	0.4056       	0.2003         	0.4101         	0.4101        
NooneTries                            	5084         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2003         	--             	--            
InventionOccurs                       	1994         	0.554        	1             	1            	1.698           	0.0922        	0.0672       	0.2402       	0.2472       	0            	1.148        	0.148        	0.4061       	0.554        	0.554        	1            	0.2003         	0.417          	0.417         
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	1994         	0.554        	1             	1            	1.698           	0.0922        	0.0672       	0.2402       	0.2472       	0            	1.148        	0.148        	0.4061       	0.554        	0.554        	1            	0.2003         	0.417          	0.417         
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	1994         	0.554        	1             	1            	1.698           	0.0922        	0.0672       	0.2402       	0.2472       	0            	1.148        	0.148        	0.4061       	0.554        	0.554        	1            	0.2003         	0.417          	0.417         
AllHighValue                          	1905         	0.1864       	1             	0.7869       	1.182           	0.09235       	--           	0.09543      	0.3032       	0            	1.003        	0.003086     	0.1833       	0.1864       	0.1864       	0.3102       	0.2003         	--             	--            
FirstTriesHighValue                   	1499         	0.2436       	1             	1            	1.502           	0.1106        	0.08559      	0.1213       	0.3032       	0            	1.011        	0.01069      	0.2329       	0.2436       	0.2436       	0.3943       	0.2003         	0.4037         	0.4037        
SomeoneTriesHighValue                 	1499         	0.2436       	1             	1            	1.502           	0.1106        	0.08559      	0.1213       	0.3032       	0            	1.011        	0.01069      	0.2329       	0.2436       	0.2436       	0.3943       	0.2003         	0.4037         	0.4037        
NooneTriesHighValue                   	406          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2003         	--             	--            
InventionOccursHighValue              	591          	0.7872       	1             	1            	1.548           	0.1112        	0.08623      	0.3076       	0.3032       	0            	1.196        	0.1964       	0.5908       	0.7872       	0.7872       	1            	0.2003         	0.4069         	0.4069        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	591          	0.7872       	1             	1            	1.548           	0.1112        	0.08623      	0.3076       	0.3032       	0            	1.196        	0.1964       	0.5908       	0.7872       	0.7872       	1            	0.2003         	0.4069         	0.4069        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	591          	0.7872       	1             	1            	1.548           	0.1112        	0.08623      	0.3076       	0.3032       	0            	1.196        	0.1964       	0.5908       	0.7872       	0.7872       	1            	0.2003         	0.4069         	0.4069        
