                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1054       	1             	0.527        	1.477           	0.06765       	--           	0.08642      	0.3177       	0            	1.019        	0.01877      	0.08663      	0.1054       	0.1054       	0.266        	0.2669         	--             	--            
FirstTries                            	5270         	0.2224       	1             	1            	2.802           	0.1059        	0.08093      	0.164        	0.3177       	0            	1.058        	0.05805      	0.1644       	0.2224       	0.2224       	0.5047       	0.2669         	0.4889         	0.4889        
SomeoneTries                          	5270         	0.2224       	1             	1            	2.802           	0.1059        	0.08093      	0.164        	0.3177       	0            	1.058        	0.05805      	0.1644       	0.2224       	0.2224       	0.5047       	0.2669         	0.4889         	0.4889        
NooneTries                            	4730         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2669         	--             	--            
InventionOccurs                       	2660         	0.5475       	1             	1            	3.443           	0.1031        	0.07808      	0.3249       	0.3177       	0            	1.222        	0.2218       	0.3257       	0.5475       	0.5475       	1            	0.2669         	0.5291         	0.5291        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2660         	0.5475       	1             	1            	3.443           	0.1031        	0.07808      	0.3249       	0.3177       	0            	1.222        	0.2218       	0.3257       	0.5475       	0.5475       	1            	0.2669         	0.5291         	0.5291        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2660         	0.5475       	1             	1            	3.443           	0.1031        	0.07808      	0.3249       	0.3177       	0            	1.222        	0.2218       	0.3257       	0.5475       	0.5475       	1            	0.2669         	0.5291         	0.5291        
AllHighValue                          	1981         	0.2997       	1             	0.89         	2.53            	0.1184        	--           	0.2042       	0.4275       	0            	1.086        	0.08577      	0.214        	0.2997       	0.2997       	0.4639       	0.2669         	--             	--            
FirstTriesHighValue                   	1763         	0.3399       	1             	1            	2.842           	0.1299        	0.1049       	0.2294       	0.4275       	0            	1.099        	0.09946      	0.2404       	0.3399       	0.3399       	0.5213       	0.2669         	0.4897         	0.4897        
SomeoneTriesHighValue                 	1763         	0.3399       	1             	1            	2.842           	0.1299        	0.1049       	0.2294       	0.4275       	0            	1.099        	0.09946      	0.2404       	0.3399       	0.3399       	0.5213       	0.2669         	0.4897         	0.4897        
NooneTriesHighValue                   	218          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2669         	--             	--            
InventionOccursHighValue              	919          	0.7744       	1             	1            	3.511           	0.1269        	0.1019       	0.4401       	0.4275       	0            	1.313        	0.3132       	0.4612       	0.7744       	0.7744       	1            	0.2669         	0.5316         	0.5316        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	919          	0.7744       	1             	1            	3.511           	0.1269        	0.1019       	0.4401       	0.4275       	0            	1.313        	0.3132       	0.4612       	0.7744       	0.7744       	1            	0.2669         	0.5316         	0.5316        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	919          	0.7744       	1             	1            	3.511           	0.1269        	0.1019       	0.4401       	0.4275       	0            	1.313        	0.3132       	0.4612       	0.7744       	0.7744       	1            	0.2669         	0.5316         	0.5316        
