                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1377       	1             	0.4576       	1.363           	0.06125       	--           	0.0759       	0.3241       	0            	1.062        	0.06159      	0.0761       	0.1377       	0.1377       	0.2291       	0.2295         	--             	--            
FirstTries                            	4576         	0.2727       	1             	1            	2.979           	0.1042        	0.07922      	0.1659       	0.3241       	0            	1.106        	0.1064       	0.1663       	0.2727       	0.2727       	0.5007       	0.2295         	0.5011         	0.5011        
SomeoneTries                          	4576         	0.2727       	1             	1            	2.979           	0.1042        	0.07922      	0.1659       	0.3241       	0            	1.106        	0.1064       	0.1663       	0.2727       	0.2727       	0.5007       	0.2295         	0.5011         	0.5011        
NooneTries                            	5424         	0.02375      	1             	0            	0               	0.025         	--           	0            	--           	0            	1.024        	0.02375      	0            	0.02375      	0.02375      	0            	0.2295         	--             	--            
InventionOccurs                       	2291         	0.6072       	1             	1            	3.735           	0.1012        	0.07621      	0.3313       	0.3241       	0            	1.275        	0.275        	0.3322       	0.6072       	0.6072       	1            	0.2295         	0.5483         	0.5483        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2291         	0.6072       	1             	1            	3.735           	0.1012        	0.07621      	0.3313       	0.3241       	0            	1.275        	0.275        	0.3322       	0.6072       	0.6072       	1            	0.2295         	0.5483         	0.5483        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2291         	0.6072       	1             	1            	3.735           	0.1012        	0.07621      	0.3313       	0.3241       	0            	1.275        	0.275        	0.3322       	0.6072       	0.6072       	1            	0.2295         	0.5483         	0.5483        
AllHighValue                          	2049         	0.3015       	1             	0.817        	2.365           	0.1054        	--           	0.1766       	0.4254       	0            	1.116        	0.1159       	0.1856       	0.3015       	0.3015       	0.4021       	0.2295         	--             	--            
FirstTriesHighValue                   	1674         	0.3637       	1             	1            	2.894           	0.1234        	0.09845      	0.2161       	0.4254       	0            	1.137        	0.1365       	0.2272       	0.3637       	0.3637       	0.4922       	0.2295         	0.4939         	0.4939        
SomeoneTriesHighValue                 	1674         	0.3637       	1             	1            	2.894           	0.1234        	0.09845      	0.2161       	0.4254       	0            	1.137        	0.1365       	0.2272       	0.3637       	0.3637       	0.4922       	0.2295         	0.4939         	0.4939        
NooneTriesHighValue                   	375          	0.02375      	1             	0            	0               	0.025         	--           	0            	--           	0            	1.024        	0.02375      	0            	0.02375      	0.02375      	0            	0.2295         	--             	--            
InventionOccursHighValue              	824          	0.8246       	1             	1            	3.704           	0.12          	0.09502      	0.4391       	0.4254       	0            	1.363        	0.3631       	0.4616       	0.8246       	0.8246       	1            	0.2295         	0.5441         	0.5441        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	824          	0.8246       	1             	1            	3.704           	0.12          	0.09502      	0.4391       	0.4254       	0            	1.363        	0.3631       	0.4616       	0.8246       	0.8246       	1            	0.2295         	0.5441         	0.5441        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	824          	0.8246       	1             	1            	3.704           	0.12          	0.09502      	0.4391       	0.4254       	0            	1.363        	0.3631       	0.4616       	0.8246       	0.8246       	1            	0.2295         	0.5441         	0.5441        
