                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	-0.01082     	1.179         	0.2263       	0.4179          	0.03645       	--           	0.01279      	--           	0            	0.9802       	-0.02366     	0.01284      	-0.01082     	-0.01082     	0.0316       	0.03164        	--             	--            
FirstTries                            	1922         	0.06332      	1.173         	1.12         	2.174           	0.06351       	0.03077      	0.0633       	--           	0            	1.001        	-0.0002038   	0.06352      	0.06332      	0.06332      	0.1644       	0.03164        	--             	--            
SomeoneTries                          	2032         	0.0613       	1.218         	1.114        	2.057           	0.06483       	0.03116      	0.06297      	--           	0            	1.001        	-0.001869    	0.06317      	0.0613       	0.0613       	0.1555       	0.03164        	--             	--            
NooneTries                            	7968         	-0.02921     	1.169         	0            	0               	0.02921       	--           	0            	--           	0            	0.975        	-0.02921     	0            	-0.02921     	-0.02921     	0            	0.03164        	--             	--            
InventionOccurs                       	376          	0.6155       	1.263         	1.189        	2.306           	0.06617       	0.02959      	0.3403       	--           	0            	1.243        	0.2741       	0.3414       	0.6155       	0.6155       	0.8404       	0.03164        	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	376          	0.6155       	1.263         	1.189        	2.306           	0.06617       	0.02959      	0.3403       	--           	0            	1.243        	0.2741       	0.3414       	0.6155       	0.6155       	0.8404       	0.03164        	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	376          	0.6155       	1.263         	1.189        	2.306           	0.06617       	0.02959      	0.3403       	--           	0            	1.243        	0.2741       	0.3414       	0.6155       	0.6155       	0.8404       	0.03164        	--             	--            
AllHighValue                          	1977         	0.01766      	1.18          	0.4082       	0.763           	0.04561       	--           	0.031        	--           	0            	0.9884       	-0.01461     	0.03228      	0.01766      	0.01766      	0.05817      	0.03164        	--             	--            
FirstTriesHighValue                   	684          	0.1013       	1.18          	1.132        	2.205           	0.07367       	0.03951      	0.08564      	--           	0            	1.013        	0.01197      	0.08934      	0.1013       	0.1013       	0.1681       	0.03164        	--             	--            
SomeoneTriesHighValue                 	717          	0.09958      	1.218         	1.126        	2.104           	0.0749        	0.04001      	0.08548      	--           	0            	1.012        	0.01058      	0.089        	0.09958      	0.09958      	0.1604       	0.03164        	--             	--            
NooneTriesHighValue                   	1260         	-0.02895     	1.158         	0            	0               	0.02895       	--           	0            	--           	0            	0.975        	-0.02895     	0            	-0.02895     	-0.02895     	0            	0.03164        	--             	--            
InventionOccursHighValue              	138          	0.83         	1.254         	1.188        	2.356           	0.07652       	0.03895      	0.4441       	--           	0            	1.326        	0.3676       	0.4624       	0.83         	0.83         	0.8333       	0.03164        	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	138          	0.83         	1.254         	1.188        	2.356           	0.07652       	0.03895      	0.4441       	--           	0            	1.326        	0.3676       	0.4624       	0.83         	0.83         	0.8333       	0.03164        	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	138          	0.83         	1.254         	1.188        	2.356           	0.07652       	0.03895      	0.4441       	--           	0            	1.326        	0.3676       	0.4624       	0.83         	0.83         	0.8333       	0.03164        	--             	--            
