                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.08929      	1             	0.5086       	1.452           	0.06325       	--           	0.07573      	0.2976       	0.0002153    	1.012        	0.01236      	0.07693      	0.08929      	0.08929      	0.2521       	0.2532         	--             	--            
FirstTries                            	5086         	0.1997       	1             	1            	2.855           	0.1002        	0.0752       	0.1489       	0.2976       	0.0004233    	1.048        	0.04845      	0.1513       	0.1997       	0.1997       	0.4957       	0.2532         	0.493          	0.493         
SomeoneTries                          	5086         	0.1997       	1             	1            	2.855           	0.1002        	0.0752       	0.1489       	0.2976       	0.0004233    	1.048        	0.04845      	0.1513       	0.1997       	0.1997       	0.4957       	0.2532         	0.493          	0.493         
NooneTries                            	4914         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2532         	--             	--            
InventionOccurs                       	2521         	0.5072       	1             	1            	3.5             	0.09782       	0.07282      	0.3004       	0.2976       	0.0008539    	1.202        	0.2021       	0.3052       	0.5072       	0.5072       	1            	0.2532         	0.5334         	0.5334        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2460         	0.5214       	1             	1            	3.494           	0.09809       	0.07309      	0.307        	0.3027       	0            	1.209        	0.2089       	0.3125       	0.5214       	0.5214       	1            	0.2532         	0.533          	0.533         
IntentionalInfringement               	13           	-0.003037    	1             	1            	3.729           	0.1161        	0.09112      	0.1656       	0.1656       	0.1656       	0.9495       	-0.05053     	0.04749      	-0.003037    	-0.003037    	1            	0.2532         	0.5491         	0.5491        
InventionUsed                         	2473         	0.5186       	1             	1            	3.495           	0.09818       	0.07318      	0.3062       	0.302        	0.0008705    	1.208        	0.2075       	0.3111       	0.5186       	0.5186       	1            	0.2532         	0.5331         	0.5331        
AllHighValue                          	2028         	0.2393       	1             	0.7628       	2.225           	0.09658       	--           	0.1573       	0.4266       	0            	1.061        	0.06075      	0.1785       	0.2393       	0.2393       	0.3733       	0.2532         	--             	--            
FirstTriesHighValue                   	1547         	0.3214       	1             	1            	2.916           	0.1188        	0.09384      	0.2063       	0.4266       	0            	1.087        	0.08741      	0.234        	0.3214       	0.3214       	0.4893       	0.2532         	0.4954         	0.4954        
SomeoneTriesHighValue                 	1547         	0.3214       	1             	1            	2.916           	0.1188        	0.09384      	0.2063       	0.4266       	0            	1.087        	0.08741      	0.234        	0.3214       	0.3214       	0.4893       	0.2532         	0.4954         	0.4954        
NooneTriesHighValue                   	481          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2532         	--             	--            
InventionOccursHighValue              	757          	0.7843       	1             	1            	3.728           	0.1154        	0.09043      	0.4215       	0.4266       	0            	1.306        	0.3061       	0.4783       	0.7843       	0.7843       	1            	0.2532         	0.5459         	0.5459        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	757          	0.7843       	1             	1            	3.728           	0.1154        	0.09043      	0.4215       	0.4266       	0            	1.306        	0.3061       	0.4783       	0.7843       	0.7843       	1            	0.2532         	0.5459         	0.5459        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	757          	0.7843       	1             	1            	3.728           	0.1154        	0.09043      	0.4215       	0.4266       	0            	1.306        	0.3061       	0.4783       	0.7843       	0.7843       	1            	0.2532         	0.5459         	0.5459        
