                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.08889      	1             	0.3558       	2.022           	0.07595       	--           	0.08235      	0.3232       	0            	1.006        	0.006408     	0.08248      	0.08889      	0.08889      	0.2487       	0.2488         	--             	--            
FirstTries                            	3558         	0.2951       	1             	1            	5.684           	0.1682        	0.1432       	0.2315       	0.3232       	0            	1.063        	0.06327      	0.2318       	0.2951       	0.2951       	0.699        	0.2488         	0.674          	0.674         
SomeoneTries                          	3558         	0.2951       	1             	1            	5.684           	0.1682        	0.1432       	0.2315       	0.3232       	0            	1.063        	0.06327      	0.2318       	0.2951       	0.2951       	0.699        	0.2488         	0.674          	0.674         
NooneTries                            	6442         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2488         	--             	--            
InventionOccurs                       	2487         	0.4988       	1             	1            	6.002           	0.164         	0.139        	0.3311       	0.3232       	0            	1.167        	0.1671       	0.3317       	0.4988       	0.4988       	1            	0.2488         	0.6922         	0.6922        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2486         	0.499        	1             	1            	6.001           	0.1641        	0.1391       	0.3313       	0.3233       	0            	1.167        	0.1672       	0.3318       	0.499        	0.499        	1            	0.2488         	0.6922         	0.6922        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2486         	0.499        	1             	1            	6.001           	0.1641        	0.1391       	0.3313       	0.3233       	0            	1.167        	0.1672       	0.3318       	0.499        	0.499        	1            	0.2488         	0.6922         	0.6922        
AllHighValue                          	1967         	0.2636       	1             	0.6634       	3.542           	0.1473        	--           	0.2008       	0.4294       	0            	1.054        	0.0535       	0.2101       	0.2636       	0.2636       	0.455        	0.2488         	--             	--            
FirstTriesHighValue                   	1305         	0.41         	1             	1            	5.339           	0.2093        	0.1843       	0.3027       	0.4294       	0            	1.093        	0.09333      	0.3167       	0.41         	0.41         	0.6858       	0.2488         	0.6537         	0.6537        
SomeoneTriesHighValue                 	1305         	0.41         	1             	1            	5.339           	0.2093        	0.1843       	0.3027       	0.4294       	0            	1.093        	0.09333      	0.3167       	0.41         	0.41         	0.6858       	0.2488         	0.6537         	0.6537        
NooneTriesHighValue                   	662          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2488         	--             	--            
InventionOccursHighValue              	895          	0.6962       	1             	1            	5.659           	0.2068        	0.1818       	0.4413       	0.4294       	0            	1.235        	0.2345       	0.4617       	0.6962       	0.6962       	1            	0.2488         	0.6722         	0.6722        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	895          	0.6962       	1             	1            	5.659           	0.2068        	0.1818       	0.4413       	0.4294       	0            	1.235        	0.2345       	0.4617       	0.6962       	0.6962       	1            	0.2488         	0.6722         	0.6722        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	895          	0.6962       	1             	1            	5.659           	0.2068        	0.1818       	0.4413       	0.4294       	0            	1.235        	0.2345       	0.4617       	0.6962       	0.6962       	1            	0.2488         	0.6722         	0.6722        
