                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	-0.01009     	1.003         	0.1675       	0.438           	0.03015       	--           	0.01003      	1.091        	0            	0.98         	-0.02012     	0.01003      	-0.01009     	-0.01009     	0.0301       	0.02999        	--             	--            
FirstTries                            	1673         	0.06452      	1.002         	1.001        	2.618           	0.05541       	0.03032      	0.05996      	1.091        	0            	1.005        	0.004552     	0.05996      	0.06452      	0.06452      	0.1799       	0.02999        	--             	--            
SomeoneTries                          	1673         	0.06452      	1.002         	1.001        	2.618           	0.05541       	0.03032      	0.05996      	1.091        	0            	1.005        	0.004552     	0.05996      	0.06452      	0.06452      	0.1799       	0.02999        	--             	--            
NooneTries                            	8327         	-0.02508     	1.003         	0            	0               	0.02508       	--           	0            	--           	0            	0.975        	-0.02508     	0            	-0.02508     	-0.02508     	0            	0.02999        	--             	--            
InventionOccurs                       	301          	0.6126       	1             	1            	2.757           	0.05401       	0.02901      	0.3333       	1.091        	0            	1.279        	0.2793       	0.3333       	0.6126       	0.6126       	1            	0.02999        	0.1915         	0.1915        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	301          	0.6126       	1             	1            	2.757           	0.05401       	0.02901      	0.3333       	1.091        	0            	1.279        	0.2793       	0.3333       	0.6126       	0.6126       	1            	0.02999        	0.1915         	0.1915        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	301          	0.6126       	1             	1            	2.757           	0.05401       	0.02901      	0.3333       	1.091        	0            	1.279        	0.2793       	0.3333       	0.6126       	0.6126       	1            	0.02999        	0.1915         	0.1915        
AllHighValue                          	2115         	0.007822     	1.002         	0.2851       	0.8585          	0.03643       	--           	0.02213      	1.145        	0            	0.9858       	-0.01431     	0.02213      	0.007822     	0.007822     	0.04917      	0.02999        	--             	--            
FirstTriesHighValue                   	602          	0.09048      	1.002         	1.002        	3.016           	0.065         	0.0399       	0.07774      	1.145        	0            	1.013        	0.01274      	0.07774      	0.09048      	0.09048      	0.1728       	0.02999        	0.1954         	0.1957        
SomeoneTriesHighValue                 	602          	0.09048      	1.002         	1.002        	3.016           	0.065         	0.0399       	0.07774      	1.145        	0            	1.013        	0.01274      	0.07774      	0.09048      	0.09048      	0.1728       	0.02999        	0.1954         	0.1957        
NooneTriesHighValue                   	1513         	-0.02507     	1.003         	0            	0               	0.02507       	--           	0            	--           	0            	0.975        	-0.02507     	0            	-0.02507     	-0.02507     	0            	0.02999        	--             	--            
InventionOccursHighValue              	104          	0.836        	1             	1            	3.192           	0.06397       	0.03897      	0.45         	1.145        	0            	1.386        	0.386        	0.45         	0.836        	0.836        	1            	0.02999        	0.199          	0.199         
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	104          	0.836        	1             	1            	3.192           	0.06397       	0.03897      	0.45         	1.145        	0            	1.386        	0.386        	0.45         	0.836        	0.836        	1            	0.02999        	0.199          	0.199         
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	104          	0.836        	1             	1            	3.192           	0.06397       	0.03897      	0.45         	1.145        	0            	1.386        	0.386        	0.45         	0.836        	0.836        	1            	0.02999        	0.199          	0.199         
