                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	-0.03735     	2.277         	0.129        	0.06702         	0.06615       	--           	0.008427     	0.1738       	0.008427     	0.9747       	-0.05772     	0.02037      	-0.03735     	-0.03735     	0.022        	0.02101        	--             	--            
FirstTries                            	569          	0.1248       	2.295         	1.236        	1.178           	0.1477        	0.0731       	0.08286      	0.1786       	0.08286      	0.9716       	-0.0648      	0.1896       	0.1248       	0.1248       	0.3866       	0.02101        	--             	--            
SomeoneTries                          	1134         	0.1139       	2.345         	1.138        	0.591           	0.14          	0.07161      	0.07431      	0.1738       	0.07431      	0.972        	-0.06572     	0.1796       	0.1139       	0.1139       	0.194        	0.02101        	--             	--            
NooneTries                            	8866         	-0.0567      	2.268         	0            	0               	0.0567        	--           	0            	--           	0            	0.975        	-0.0567      	0            	-0.0567      	-0.0567      	0            	0.02101        	--             	--            
InventionOccurs                       	485          	0.4503       	2.355         	1.184        	0.6436          	0.1435        	0.07136      	0.1738       	0.1738       	0.1738       	1.015        	0.03028      	0.42         	0.4503       	0.4503       	0.4536       	0.02101        	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringement               	485          	0.4503       	2.355         	1.184        	0.6436          	0.1435        	0.07136      	0.1738       	0.1738       	0.1738       	1.015        	0.03028      	0.42         	0.4503       	0.4503       	0.4536       	0.02101        	--             	--            
InventionUsed                         	485          	0.4503       	2.355         	1.184        	0.6436          	0.1435        	0.07136      	0.1738       	0.1738       	0.1738       	1.015        	0.03028      	0.42         	0.4503       	0.4503       	0.4536       	0.02101        	--             	--            
AllHighValue                          	2004         	-0.02072     	2.288         	0.1682       	0.07628         	0.07338       	--           	0.01433      	0.2394       	0.01433      	0.9743       	-0.05904     	0.03832      	-0.02072     	-0.02072     	0.02595      	0.02101        	--             	--            
FirstTriesHighValue                   	132          	0.2335       	2.28          	1.265        	1.158           	0.1791        	0.09627      	0.1129       	0.2405       	0.1129       	0.9721       	-0.06612     	0.2996       	0.2335       	0.2335       	0.3939       	0.02101        	--             	--            
SomeoneTriesHighValue                 	297          	0.1871       	2.36          	1.135        	0.5147          	0.1682        	0.09605      	0.09672      	0.2394       	0.09672      	0.97         	-0.07145     	0.2586       	0.1871       	0.1871       	0.1751       	0.02101        	--             	--            
NooneTriesHighValue                   	1707         	-0.05688     	2.275         	0            	0               	0.05688       	--           	0            	--           	0            	0.975        	-0.05688     	0            	-0.05688     	-0.05688     	0            	0.02101        	--             	--            
InventionOccursHighValue              	120          	0.7051       	2.35          	1.167        	0.5998          	0.1743        	0.09793      	0.2394       	0.2394       	0.2394       	1.03         	0.06512      	0.64         	0.7051       	0.7051       	0.4333       	0.02101        	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringementHighValue      	120          	0.7051       	2.35          	1.167        	0.5998          	0.1743        	0.09793      	0.2394       	0.2394       	0.2394       	1.03         	0.06512      	0.64         	0.7051       	0.7051       	0.4333       	0.02101        	--             	--            
InventionUsedHighValue                	120          	0.7051       	2.35          	1.167        	0.5998          	0.1743        	0.09793      	0.2394       	0.2394       	0.2394       	1.03         	0.06512      	0.64         	0.7051       	0.7051       	0.4333       	0.02101        	--             	--            
