                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.08452      	1.002         	0.511        	0.7912          	0.06167       	--           	0.05225      	0.2434       	0            	0.9906       	-0.009421    	0.09394      	0.08452      	0.08452      	0.2177       	0.2184         	--             	--            
FirstTries                            	5097         	0.1898       	1.002         	1.002        	1.552           	0.09687       	0.07165      	0.1024       	0.2433       	0            	1.006        	0.005574     	0.1842       	0.1898       	0.1898       	0.4271       	0.2184         	--             	--            
SomeoneTries                          	5099         	0.1898       	1.003         	1.002        	1.552           	0.09688       	0.07165      	0.1025       	0.2434       	0            	1.006        	0.005582     	0.1842       	0.1898       	0.1898       	0.4269       	0.2184         	--             	--            
NooneTries                            	4901         	-0.02503     	1.001         	0            	0               	0.02503       	--           	0            	--           	0            	0.975        	-0.02503     	0            	-0.02503     	-0.02503     	0            	0.2184         	--             	--            
InventionOccurs                       	2182         	0.577        	1.004         	1.003        	1.645           	0.09291       	0.06758      	0.2394       	0.2434       	0            	1.146        	0.1465       	0.4305       	0.577        	0.577        	0.9977       	0.2184         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2182         	0.577        	1.004         	1.003        	1.645           	0.09291       	0.06758      	0.2394       	0.2434       	0            	1.146        	0.1465       	0.4305       	0.577        	0.577        	0.9977       	0.2184         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2182         	0.577        	1.004         	1.003        	1.645           	0.09291       	0.06758      	0.2394       	0.2434       	0            	1.146        	0.1465       	0.4305       	0.577        	0.577        	0.9977       	0.2184         	--             	--            
AllHighValue                          	1969         	0.239        	1.004         	0.9152       	1.344           	0.1082        	--           	0.1177       	0.3028       	0            	1.01         	0.009517     	0.2295       	0.239        	0.239        	0.3809       	0.2184         	--             	--            
FirstTriesHighValue                   	1795         	0.2646       	1.004         	1.004        	1.475           	0.1163        	0.09083      	0.1291       	0.3028       	0            	1.013        	0.01286      	0.2518       	0.2646       	0.2646       	0.4178       	0.2184         	0.4009         	0.4021        
SomeoneTriesHighValue                 	1795         	0.2646       	1.004         	1.004        	1.475           	0.1163        	0.09083      	0.1291       	0.3028       	0            	1.013        	0.01286      	0.2518       	0.2646       	0.2646       	0.4178       	0.2184         	0.4009         	0.4021        
NooneTriesHighValue                   	174          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.2184         	--             	--            
InventionOccursHighValue              	752          	0.7985       	1.005         	1.005        	1.542           	0.1108        	0.08511      	0.3083       	0.3028       	0            	1.197        	0.1975       	0.601        	0.7985       	0.7985       	0.9973       	0.2184         	0.4061         	0.4077        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	752          	0.7985       	1.005         	1.005        	1.542           	0.1108        	0.08511      	0.3083       	0.3028       	0            	1.197        	0.1975       	0.601        	0.7985       	0.7985       	0.9973       	0.2184         	0.4061         	0.4077        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	752          	0.7985       	1.005         	1.005        	1.542           	0.1108        	0.08511      	0.3083       	0.3028       	0            	1.197        	0.1975       	0.601        	0.7985       	0.7985       	0.9973       	0.2184         	0.4061         	0.4077        
