                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.1442       	1             	0.482        	2.132           	0.09872       	--           	0.1061       	0.3789       	0            	1.052        	0.05243      	0.09175      	0.1442       	0.1442       	0.2853       	0.2867         	--             	--            
FirstTries                            	4820         	0.2736       	1             	1            	4.423           	0.178         	0.153        	0.2201       	0.3789       	0            	1.083        	0.08326      	0.1904       	0.2736       	0.2736       	0.5919       	0.2867         	0.5944         	0.5944        
SomeoneTries                          	4820         	0.2736       	1             	1            	4.423           	0.178         	0.153        	0.2201       	0.3789       	0            	1.083        	0.08326      	0.1904       	0.2736       	0.2736       	0.5919       	0.2867         	0.5944         	0.5944        
NooneTries                            	5180         	0.02375      	1             	0            	0               	0.025         	--           	0            	--           	0            	1.024        	0.02375      	0            	0.02375      	0.02375      	0            	0.2867         	--             	--            
InventionOccurs                       	2853         	0.5574       	1             	1            	5.113           	0.1772        	0.1522       	0.3719       	0.3789       	0            	1.236        	0.2358       	0.3216       	0.5574       	0.5574       	1            	0.2867         	0.6364         	0.6364        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2849         	0.5583       	1             	1            	5.116           	0.1773        	0.1523       	0.3724       	0.3789       	0            	1.236        	0.2363       	0.322        	0.5583       	0.5583       	1            	0.2867         	0.6365         	0.6365        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2849         	0.5583       	1             	1            	5.116           	0.1773        	0.1523       	0.3724       	0.3789       	0            	1.236        	0.2363       	0.322        	0.5583       	0.5583       	1            	0.2867         	0.6365         	0.6365        
AllHighValue                          	1950         	0.3307       	1             	0.9277       	4.253           	0.2138        	--           	0.2607       	0.4665       	0            	1.086        	0.08625      	0.2444       	0.3307       	0.3307       	0.559        	0.2867         	--             	--            
FirstTriesHighValue                   	1809         	0.3546       	1             	1            	4.585           	0.2285        	0.2035       	0.2811       	0.4665       	0            	1.091        	0.09112      	0.2635       	0.3546       	0.3546       	0.6025       	0.2867         	0.6028         	0.6028        
SomeoneTriesHighValue                 	1809         	0.3546       	1             	1            	4.585           	0.2285        	0.2035       	0.2811       	0.4665       	0            	1.091        	0.09112      	0.2635       	0.3546       	0.3546       	0.6025       	0.2867         	0.6028         	0.6028        
NooneTriesHighValue                   	141          	0.02375      	1             	0            	0               	0.025         	--           	0            	--           	0            	1.024        	0.02375      	0            	0.02375      	0.02375      	0            	0.2867         	--             	--            
InventionOccursHighValue              	1090         	0.7146       	1             	1            	5.331           	0.2278        	0.2028       	0.4665       	0.4665       	0            	1.277        	0.2773       	0.4373       	0.7146       	0.7146       	1            	0.2867         	0.648          	0.648         
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1090         	0.7146       	1             	1            	5.331           	0.2278        	0.2028       	0.4665       	0.4665       	0            	1.277        	0.2773       	0.4373       	0.7146       	0.7146       	1            	0.2867         	0.648          	0.648         
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1090         	0.7146       	1             	1            	5.331           	0.2278        	0.2028       	0.4665       	0.4665       	0            	1.277        	0.2773       	0.4373       	0.7146       	0.7146       	1            	0.2867         	0.648          	0.648         
