                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	--           	1.015         	0.551        	2.304           	0.1112        	--           	--           	--           	--           	--           	--           	--           	--           	--           	0.3242       	0.3256         	--             	--            
FirstTries                            	5440         	0.2132       	1.014         	1.012        	4.235           	0.183         	0.1557       	0.2237       	--           	0.02226      	1.035        	0.03471      	0.1784       	0.2132       	0.2132       	0.596        	0.3256         	--             	--            
SomeoneTries                          	5446         	--           	1.015         	1.012        	4.231           	0.183         	0.1557       	--           	--           	--           	--           	--           	--           	--           	--           	0.5953       	0.3256         	--             	--            
NooneTries                            	4554         	-0.02538     	1.015         	0            	0               	0.02538       	--           	0            	--           	0            	0.975        	-0.02538     	0            	-0.02538     	-0.02538     	0            	0.3256         	--             	--            
InventionOccurs                       	3272         	--           	1.019         	1.016        	4.903           	0.1865        	0.1584       	--           	--           	--           	--           	--           	--           	--           	--           	0.9908       	0.3256         	--             	--            
InadvertentInfringement               	324          	--           	1.012         	1.009        	4.806           	0.1822        	0.1551       	--           	--           	--           	--           	--           	--           	--           	--           	0.9938       	0.3256         	--             	--            
AgreementReached                      	2944         	0.4937       	1.019         	1.017        	4.915           	0.1871        	0.1588       	0.3724       	--           	0            	1.185        	0.1853       	0.3084       	0.4937       	0.4937       	0.9905       	0.3256         	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	3268         	--           	1.019         	1.016        	4.904           	0.1866        	0.1584       	--           	--           	--           	--           	--           	--           	--           	--           	0.9908       	0.3256         	--             	--            
AllHighValue                          	1988         	0.2995       	1.015         	0.9779       	4.448           	0.2317        	--           	0.283        	--           	0.02872      	1.045        	0.0452       	0.2543       	0.2995       	0.2995       	0.5976       	0.3256         	--             	--            
FirstTriesHighValue                   	1915         	0.3116       	1.015         	1.015        	4.618           	0.2394        	0.2111       	0.2936       	0.4722       	0.02982      	1.048        	0.0478       	0.2638       	0.3116       	0.3116       	0.6204       	0.3256         	0.602          	0.6079        
SomeoneTriesHighValue                 	1916         	0.3117       	1.015         	1.015        	4.616           	0.2394        	0.2111       	0.2936       	--           	0.0298       	1.048        	0.04785      	0.2638       	0.3117       	0.3117       	0.62         	0.3256         	--             	--            
NooneTriesHighValue                   	72           	-0.02535     	1.014         	0            	0               	0.02535       	--           	0            	--           	0            	0.975        	-0.02535     	0            	-0.02535     	-0.02535     	0            	0.3256         	--             	--            
InventionOccursHighValue              	1199         	0.6401       	1.02          	1.019        	5.355           	0.2406        	0.2113       	0.4692       	--           	0.04762      	1.218        	0.2185       	0.4216       	0.6401       	0.6401       	0.9908       	0.3256         	--             	--            
InadvertentHighValue                  	121          	0.4519       	1.017         	1.017        	5.536           	0.2458        	0.2168       	0.4719       	0.4719       	0.4719       	1.125        	0.1261       	0.3258       	0.4519       	0.4519       	1            	0.3256         	0.6572         	0.6643        
AgreementReachedHighValue             	1078         	0.6613       	1.02          	1.019        	5.335           	0.24          	0.2107       	0.4689       	--           	0            	1.228        	0.2289       	0.4324       	0.6613       	0.6613       	0.9898       	0.3256         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1199         	0.6401       	1.02          	1.019        	5.355           	0.2406        	0.2113       	0.4692       	--           	0.04762      	1.218        	0.2185       	0.4216       	0.6401       	0.6401       	0.9908       	0.3256         	--             	--            
