                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.09941      	1.652         	0.8074       	1.442           	0.1012        	--           	0.09929      	--           	0.000166     	1.001        	-0.002044    	0.1015       	0.09941      	0.09941      	0.2085       	0.2085         	--             	--            
FirstTries                            	4896         	0.2243       	1.654         	1.494        	2.946           	0.1504        	0.07409      	0.1852       	--           	0.0003391    	1.026        	0.03463      	0.1897       	0.2243       	0.2243       	0.4259       	0.2085         	--             	--            
SomeoneTries                          	5657         	0.2062       	1.701         	1.427        	2.55            	0.1485        	0.0757       	0.1755       	--           	0.0002935    	1.021        	0.02686      	0.1793       	0.2062       	0.2062       	0.3686       	0.2085         	--             	--            
NooneTries                            	4343         	-0.0397      	1.588         	0            	0               	0.0397        	--           	0            	--           	0            	0.975        	-0.0397      	0            	-0.0397      	-0.0397      	0            	0.2085         	--             	--            
InventionOccurs                       	3335         	0.4454       	1.748         	1.557        	3.144           	0.1562        	0.07346      	0.2977       	--           	0.0004978    	1.096        	0.1412       	0.3042       	0.4454       	0.4454       	0.6252       	0.2085         	--             	--            
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3295         	0.4518       	1.75          	1.556        	3.145           	0.1567        	0.07374      	0.3008       	--           	0            	1.098        	0.1441       	0.3077       	0.4518       	0.4518       	0.6258       	0.2085         	--             	--            
IntentionalInfringement               	10           	-0.0272      	1.5           	1.5          	3.258           	0.1446        	0.07265      	0.166        	0.166        	0.166        	0.9461       	-0.07856     	0.05135      	-0.0272      	-0.0272      	0.5          	0.2085         	0.4262         	0.6799        
InventionUsed                         	3305         	0.4504       	1.749         	1.556        	3.145           	0.1567        	0.07374      	0.3004       	--           	0.0005024    	1.098        	0.1434       	0.307        	0.4504       	0.4504       	0.6254       	0.2085         	--             	--            
AllHighValue                          	1989         	0.2915       	1.654         	1.188        	2.209           	0.1536        	--           	0.2104       	--           	0            	1.039        	0.05673      	0.2348       	0.2915       	0.2915       	0.3082       	0.2085         	--             	--            
FirstTriesHighValue                   	1429         	0.3873       	1.654         	1.53         	3.075           	0.1845        	0.09472      	0.2689       	--           	0            	1.059        	0.0844       	0.3029       	0.3873       	0.3873       	0.429        	0.2085         	--             	--            
SomeoneTriesHighValue                 	1605         	0.3702       	1.692         	1.472        	2.738           	0.1814        	0.096        	0.2607       	--           	0            	1.054        	0.07926      	0.291        	0.3702       	0.3702       	0.3819       	0.2085         	--             	--            
NooneTriesHighValue                   	384          	-0.03743     	1.497         	0            	0               	0.03743       	--           	0            	--           	0            	0.975        	-0.03743     	0            	-0.03743     	-0.03743     	0            	0.2085         	--             	--            
InventionOccursHighValue              	984          	0.7102       	1.745         	1.59         	3.341           	0.1896        	0.09303      	0.4252       	--           	0            	1.157        	0.2356       	0.4746       	0.7102       	0.7102       	0.623        	0.2085         	--             	--            
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	984          	0.7102       	1.745         	1.59         	3.341           	0.1896        	0.09303      	0.4252       	--           	0            	1.157        	0.2356       	0.4746       	0.7102       	0.7102       	0.623        	0.2085         	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	984          	0.7102       	1.745         	1.59         	3.341           	0.1896        	0.09303      	0.4252       	--           	0            	1.157        	0.2356       	0.4746       	0.7102       	0.7102       	0.623        	0.2085         	--             	--            
