                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	5.252         	3.843        	1.339           	0.7301         	2.66         	0.3444         	0.5175       	0.5176       	4.636        	1.059         	--           	16.47        	17.12        	0.03235      	0             	4.134        	2.868        	2.848        	1.059        	1.475E-05     	0.9959         
FirstTries                       	7342         	5.24          	4.884        	1.339           	0.9007         	2.69         	0.4292         	0.6542       	0.7446       	5.918        	1.244         	0.2076       	16.95        	17.6         	0.03944      	0             	4.201        	2.908        	2.889        	1.335        	0.09032       	1.013          
SomeoneTries                     	8477         	5.252         	4.533        	1.339           	0.8613         	2.66         	0.4062         	0.6105       	0.6577       	5.516        	1.203         	0.2194       	16.47        	17.12        	0.03816      	0             	4.134        	2.868        	2.848        	1.25         	0.04717       	1.004          
NooneTries                       	1523         	5.25          	0            	--              	0              	--           	0              	0            	-0.2625      	-0.2625      	0.2625        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2625       	0.95           
InventionOccurs                  	7301         	5.253         	4.751        	1.359           	1              	2.66         	0.4716         	0.7089       	0.9268       	6.568        	1.233         	0.2135       	16.47        	17.12        	0.04431      	0             	4.134        	2.868        	2.848        	1.451        	0.2179        	1.037          
SomeUsersPay                     	6584         	5.255         	4.766        	1.35            	1              	2.804        	0.523          	0.8766       	1.005        	6.971        	1.281         	0.2228       	17.9         	18.88        	0            	0             	4.385        	2.804        	2.804        	1.409        	0.1281        	1.028          
SomeIntentionalInfringement      	653          	5.237         	4.639        	1.488           	1              	1.405        	0              	-0.9127      	0.3106       	3.189        	0.7932        	0.1265       	3.601        	0.9938       	0.4954       	0             	1.986        	3.701        	3.501        	2.016        	1.223         	1.144          
InventionUsed                    	7227         	5.253         	4.755        	1.362           	1              	2.681        	0.4765         	0.7159       	0.9442       	6.639        	1.238         	0.2143       	16.63        	17.29        	0.04409      	0             	4.174        	2.889        	2.871        	1.466        	0.2283        	1.039          
MainInventorLoses                	8683         	5.258         	3.702        	1.337           	0.6892         	2.629        	0.3219         	0.4743       	0.4385       	4.271        	1.027         	--           	16.22        	16.81        	0.03215      	0             	4.077        	2.846        	2.825        	0.9915       	-0.03578      	0.8076         
AllHighValue                     	2070         	5.254         	4.948        	1.51            	0.9106         	3.958        	0.4736         	0.9523       	1.698        	9.893        	1.566         	--           	31.15        	33.63        	0.03716      	0             	6.471        	4.635        	4.623        	2.312        	0.7455        	1.123          
InventionOccursHighValue         	1885         	5.259         	5.041        	1.527           	1              	3.958        	0.5201         	1.046        	2.011        	11.01        	1.573         	0.2654       	31.15        	33.63        	0.04081      	0             	6.471        	4.635        	4.623        	2.539        	0.9653        	1.163          
