                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	4.769         	3.4          	1.303           	0.6959         	2.685        	0.3335         	0.5367       	0.5584       	4.472        	0.928         	--           	17.45        	18.04        	0.02297      	0             	4.14         	2.758        	2.742        	0.9497       	0.02172       	0.9957         
FirstTries                       	7103         	4.772         	4.396        	1.303           	0.8671         	2.694        	0.4216         	0.6921       	0.8154       	5.771        	1.08          	0.2023       	17.73        	18.4         	0.02861      	0             	4.19         	2.776        	2.761        	1.203        	0.1233        	1.014          
SomeoneTries                     	8529         	4.776         	3.987        	1.303           	0.8159         	2.685        	0.391          	0.6292       	0.6955       	5.284        	1.047         	0.2242       	17.45        	18.04        	0.02693      	0             	4.14         	2.758        	2.742        	1.114        	0.06625       	1.004          
NooneTries                       	1471         	4.729         	0            	--              	0              	--           	0              	0            	-0.2364      	-0.2364      	0.2364        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2364       	0.95           
InventionOccurs                  	6959         	4.785         	4.252        	1.329           	1              	2.685        	0.4792         	0.7712       	1.064        	6.688        	1.072         	0.2111       	17.45        	18.04        	0.033        	0             	4.14         	2.758        	2.742        	1.365        	0.2928        	1.05           
SomeUsersPay                     	6405         	4.784         	4.253        	1.329           	1              	2.827        	0.5207         	0.8707       	1.174        	7.147        	1.1           	0.2177       	18.8         	19.54        	0            	0             	4.4          	2.827        	2.827        	1.404        	0.3034        	1.057          
SomeIntentionalInfringement      	489          	4.798         	4.237        	1.341           	1              	1.087        	0              	-0.43        	-0.1374      	1.631        	0.7411        	0.1332       	2.01         	0.6545       	0.4697       	0             	1.262        	2.11         	1.91         	1.034        	0.2927        	0.9777         
InventionUsed                    	6889         	4.785         	4.252        	1.33            	1              	2.706        	0.4841         	0.779        	1.082        	6.761        	1.075         	0.2118       	17.62        	18.22        	0.03302      	0             	4.18         	2.778        	2.764        	1.379        	0.3033        	1.052          
MainInventorLoses                	8696         	4.773         	3.269        	1.309           	0.6503         	2.639        	0.3096         	0.495        	0.4692       	4.073        	0.9004        	--           	17.07        	17.62        	0.02336      	0             	4.074        	2.721        	2.704        	0.8747       	-0.02573      	0.8183         
AllHighValue                     	1995         	4.757         	4.45         	1.347           	0.8867         	4.031        	0.476          	1.155        	1.808        	9.781        	1.339         	--           	33.33        	36.39        	0.01281      	0             	6.508        	4.213        	4.209        	1.993        	0.6534        	1.113          
InventionOccursHighValue         	1769         	4.769         	4.515        	1.373           	1              	4.031        	0.5368         	1.302        	2.214        	11.21        	1.335         	0.2496       	33.33        	36.39        	0.01445      	0             	6.508        	4.213        	4.209        	2.247        	0.9121        	1.166          
