                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	4.519         	3.473        	1.141           	0.7461         	2.449        	0.3451         	0.6412       	0.6469       	4.726        	0.9587        	--           	7.152        	7.28         	0.0523       	0             	3.94         	2.481        	2.451        	0.9643       	0.00565       	0.9898         
FirstTries                       	7751         	4.503         	4.133        	1.141           	0.8622         	2.503        	0.4057         	0.7879       	0.8715       	5.772        	1.074         	0.212        	7.355        	7.523        	0.06221      	0             	4.077        	2.537        	2.507        	1.158        	0.0836        	1.001          
SomeoneTries                     	9114         	4.524         	3.811        	1.141           	0.8186         	2.449        	0.3787         	0.7035       	0.7314       	5.207        	1.03          	0.2214       	7.152        	7.28         	0.05738      	0             	3.94         	2.481        	2.451        	1.058        	0.0279        	0.9937         
NooneTries                       	886          	4.464         	0            	--              	0              	--           	0              	0            	-0.2232      	-0.2232      	0.2232        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2232       	0.95           
InventionOccurs                  	7461         	4.53          	4.019        	1.147           	1              	2.449        	0.4626         	0.8594       	1.093        	6.56         	1.059         	0.2153       	7.152        	7.28         	0.0701       	0             	3.94         	2.481        	2.451        	1.292        	0.2333        	1.037          
SomeUsersPay                     	6331         	4.538         	4.029        	1.138           	1              	2.628        	0.5451         	0.9418       	1.193        	7.09         	1.133         	0.2325       	8.15         	8.38         	0            	0             	4.262        	2.628        	2.628        	1.385        	0.2515        	1.045          
SomeIntentionalInfringement      	1058         	4.491         	3.97         	1.21            	1              	1.522        	0              	0.4247       	0.6054       	3.871        	0.6483        	0.1197       	1.63         	1.193        	0.4943       	0             	2.28         	1.73         	1.53         	0.829        	0.1807        	1.006          
InventionUsed                    	7389         	4.531         	4.021        	1.148           	1              	2.47         	0.4671         	0.8678       	1.109        	6.629        	1.064         	0.2164       	7.217        	7.351        	0.07078      	0             	3.978        	2.499        	2.471        	1.305        	0.2414        	1.039          
MainInventorLoses                	8485         	4.526         	3.381        	1.14            	0.7008         	2.425        	0.3204         	0.5941       	0.552        	4.341        	0.9383        	--           	7.075        	7.194        	0.05112      	0             	3.896        	2.459        	2.426        	0.8963       	-0.04206      	0.7959         
AllHighValue                     	1905         	4.528         	4.425        	1.186           	0.8982         	3.71         	0.501          	1.384        	1.914        	9.985        	1.4           	0.2695       	12.96        	13.76        	0.0262       	0             	6.347        	3.789        	3.78         	1.929        	0.5292        	1.101          
InventionOccursHighValue         	1711         	4.535         	4.447        	1.19            	1              	3.71         	0.5578         	1.541        	2.302        	11.29        	1.387         	0.2647       	12.96        	13.76        	0.02917      	0             	6.347        	3.789        	3.78         	2.148        	0.7605        	1.152          
