                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.9893       	1.908           	0.7746         	1.833        	0.3648         	0.8226       	1.288        	5.227        	0.4007        	--           	2.263        	2.212        	0.1015       	0             	3.435        	1.855        	1.804        	0.8665       	0.4658        	1.466          
FirstTries                       	9893         	1             	1            	1.908           	0.783          	1.833        	0.3688         	0.8315       	1.303        	5.284        	0.4045        	0.3545       	2.263        	2.212        	0.1026       	0             	3.435        	1.855        	1.804        	0.8758       	0.4713        	1.471          
SomeoneTries                     	9893         	1             	1            	1.908           	0.783          	1.833        	0.3688         	0.8315       	1.303        	5.284        	0.4045        	0.3545       	2.263        	2.212        	0.1026       	0             	3.435        	1.855        	1.804        	0.8758       	0.4713        	1.471          
NooneTries                       	107          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	7746         	1             	1            	1.962           	1              	1.833        	0.471          	1.062        	1.778        	6.862        	0.4027        	0.3527       	2.263        	2.212        	0.131        	0             	3.435        	1.855        	1.804        	1.119        	0.7159        	1.716          
SomeUsersPay                     	5748         	1             	1            	1.948           	1              	1.912        	0.6347         	1.219        	2.01         	7.568        	0.4173        	0.3673       	2.495        	2.518        	0            	0             	3.735        	1.912        	1.912        	1.209        	0.7917        	1.792          
SomeIntentionalInfringement      	1891         	1             	1            	2.046           	1              	1.673        	0              	0.6461       	1.189        	5.117        	0.364         	0.314        	1.662        	1.405        	0.5367       	0             	2.716        	1.762        	1.562        	0.9069       	0.5428        	1.543          
InventionUsed                    	7639         	1             	1            	1.972           	1              	1.852        	0.4776         	1.077        	1.807        	6.961        	0.4041        	0.3541       	2.289        	2.242        	0.1328       	0             	3.483        	1.874        	1.825        	1.134        	0.7301        	1.73           
MainInventorLoses                	3206         	1             	0.9666       	1.534           	0.2969         	0.7046       	0.06429        	0.02605      	-0.308       	-0.02395     	0.3921        	--           	0.8678       	0.6038       	0.05074      	0             	0.7359       	0.6608       	0.54         	0.05807      	-0.3341       	0.6659         
AllHighValue                     	2002         	1             	1            	2.641           	0.8202         	2.854        	0.5164         	1.728        	2.784        	10.15        	0.5152        	0.4652       	3.014        	3.002        	0.04327      	0             	5.917        	2.843        	2.827        	1.57         	1.055         	2.055          
InventionOccursHighValue         	1642         	1             	1            	2.71            	1              	2.854        	0.6296         	2.107        	3.512        	12.5         	0.51          	0.46         	3.014        	3.002        	0.05276      	0             	5.917        	2.843        	2.827        	1.915        	1.405         	2.405          
