                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	5.611         	4.087        	1.4             	0.8881         	2.137        	0.4293         	0.6648       	0.6512       	5.101        	1.116         	--           	11.3         	11.33        	0.06167      	0             	3.551        	2.386        	2.358        	1.102        	-0.01358      	0.9992         
FirstTries                       	7311         	5.603         	5.023        	1.4             	0.991          	2.155        	0.4916         	0.8112       	0.8238       	6.005        	1.261         	0.2055       	11.3         	11.42        	0.07221      	0             	3.67         	2.425        	2.397        	1.273        	0.01269       	1.017          
SomeoneTries                     	9155         	5.61          	4.464        	1.4             	0.9701         	2.137        	0.469          	0.7261       	0.7372       	5.597        	1.193         	0.2215       	11.3         	11.33        	0.06736      	0             	3.551        	2.386        	2.358        	1.204        	0.01111       	1.004          
NooneTries                       	845          	5.622         	0            	--              	0              	--           	0              	0            	-0.2811      	-0.2811      	0.2811        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2811       	0.95           
InventionOccurs                  	8881         	5.611         	4.559        	1.403           	1              	2.137        	0.4834         	0.7485       	0.7805       	5.79         	1.209         	0.2197       	11.3         	11.33        	0.06943      	0             	3.551        	2.386        	2.358        	1.241        	0.03197       	1.007          
SomeUsersPay                     	7613         	5.606         	4.554        	1.411           	1              	2.253        	0.564          	0.9578       	0.9006       	6.233        	1.22          	0.2225       	12.66        	13.04        	0            	0             	3.793        	2.253        	2.253        	1.163        	-0.05721      	0.9972         
SomeIntentionalInfringement      	1184         	5.639         	4.61         	1.374           	1              	1.493        	0              	-0.5438      	0.1358       	3.41         	1.151         	0.2034       	3.258        	1.095        	0.5208       	0             	2.235        	3.358        	3.158        	1.831        	0.6796        	1.087          
InventionUsed                    	8779         	5.61          	4.563        	1.406           	1              	2.154        	0.4891         	0.757        	0.8014       	5.866        	1.211         	0.2199       	11.42        	11.46        	0.06935      	0             	3.59         	2.407        	2.38         	1.256        	0.04443       	1.01           
MainInventorLoses                	8566         	5.618         	4.007        	1.403           	0.8694         	2.092        	0.4158         	0.633        	0.5899       	4.847        	1.1           	--           	10.95        	10.95        	0.06324      	0             	3.469        	2.341        	2.311        	1.057        	-0.04306      	0.8141         
AllHighValue                     	1971         	5.623         	4.328        	1.77            	0.8529         	3.41         	0.4558         	1.059        	1.913        	9.592        	1.297         	--           	23.32        	23.93        	0.07688      	0             	6.189        	4.396        	4.369        	2.151        	0.8538        	1.119          
InventionOccursHighValue         	1681         	5.563         	5.048        	1.775           	1              	3.41         	0.5344         	1.242        	2.302        	11.31        	1.462         	0.2431       	23.32        	23.93        	0.09014      	0             	6.189        	4.396        	4.369        	2.522        	1.06          	1.149          
