                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.9298       	1.333           	0.7229         	2.654        	0.2365         	0.5322       	1.158        	4.986        	0.2913        	--           	2.636        	2.647        	0.1303       	0             	3.904        	2.533        	2.451        	0.9175       	0.6262        	1.626          
FirstTries                       	9298         	1             	1            	1.333           	0.7775         	2.654        	0.2544         	0.5724       	1.25         	5.366        	0.3095        	0.2595       	2.636        	2.647        	0.1402       	0             	3.904        	2.533        	2.451        	0.9868       	0.6773        	1.677          
SomeoneTries                     	9298         	1             	1            	1.333           	0.7775         	2.654        	0.2544         	0.5724       	1.25         	5.366        	0.3095        	0.2595       	2.636        	2.647        	0.1402       	0             	3.904        	2.533        	2.451        	0.9868       	0.6773        	1.677          
NooneTries                       	702          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	7229         	1             	1            	1.343           	1              	2.654        	0.3272         	0.7363       	1.697        	6.992        	0.3084        	0.2584       	2.636        	2.647        	0.1803       	0             	3.904        	2.533        	2.451        	1.269        	0.9608        	1.961          
SomeUsersPay                     	4246         	1             	1            	1.351           	1              	2.685        	0.557          	0.9085       	2.059        	8.02         	0.3083        	0.2583       	2.93         	2.98         	0            	0             	4.323        	2.685        	2.685        	1.459        	1.15          	2.15           
SomeIntentionalInfringement      	2882         	1             	1            	1.34            	1              	2.683        	0              	0.5083       	1.232        	5.728        	0.3111        	0.2611       	2.277        	2.248        	0.4522       	0             	3.422        	2.377        	2.177        	1.035        	0.7237        	1.724          
InventionUsed                    	7128         	1             	1            	1.346           	1              	2.684        	0.3318         	0.7467       	1.725        	7.093        	0.3094        	0.2594       	2.666        	2.684        	0.1828       	0             	3.959        	2.561        	2.48         	1.287        	0.9778        	1.978          
MainInventorLoses                	3440         	1             	0.7959       	1.237           	0.1945         	0.8745       	0.0201         	0.02427      	-0.2043      	-0.00748     	0.2619        	--           	0.6296       	0.506        	0.04439      	0             	0.7798       	0.6449       	0.4828       	0.03336      	-0.2286       	0.7714         
AllHighValue                     	1922         	1             	1            	1.544           	0.7908         	4.263        	0.3492         	1.001        	2.394        	9.486        	0.3426        	0.2926       	4.262        	4.483        	0.06782      	0             	6.6          	4.21         	4.175        	1.736        	1.393         	2.393          
InventionOccursHighValue         	1520         	1             	1            	1.566           	1              	4.263        	0.4415         	1.266        	3.121        	12.09        	0.3395        	0.2895       	4.262        	4.483        	0.08576      	0             	6.6          	4.21         	4.175        	2.195        	1.855         	2.855          
