                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	7.67          	3.883        	1.145           	0.6507         	2.654        	0.3074         	0.4945       	0.4945       	4.241        	0.956         	--           	16.03        	16.45        	0.03239      	0             	4.185        	2.87         	2.848        	0.9561       	2.104E-05     	1.006          
FirstTries                       	5105         	7.682         	6.759        	1.145           	0.9933         	2.751        	0.4727         	0.7442       	0.9388       	6.802        	1.322         	0.1481       	17.4         	17.94        	0.04419      	0             	4.308        	2.983        	2.964        	1.517        	0.1946        	1.06           
SomeoneTries                     	6702         	7.684         	5.793        	1.145           	0.9709         	2.654        	0.4587         	0.7378       	0.9259       	6.516        	1.239         	0.1674       	16.03        	16.45        	0.04833      	0             	4.185        	2.87         	2.848        	1.427        	0.188         	1.034          
NooneTries                       	3298         	7.64          	0            	--              	0              	--           	0              	0            	-0.382       	-0.382       	0.382         	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.382        	0.95           
InventionOccurs                  	6507         	7.687         	5.931        	1.146           	1              	2.654        	0.4724         	0.76         	0.9739       	6.732        	1.255         	0.1649       	16.03        	16.45        	0.04978      	0             	4.185        	2.87         	2.848        	1.469        	0.214         	1.038          
SomeUsersPay                     	5798         	7.687         	6.012        	1.144           	1              	2.799        	0.5302         	0.943        	1.057        	7.168        	1.311         	0.1724       	17.58        	18.34        	0            	0             	4.455        	2.799        	2.799        	1.425        	0.1142        	1.026          
SomeIntentionalInfringement      	663          	7.677         	5.276        	1.183           	1              	1.502        	0              	-0.7884      	0.3717       	3.401        	0.7943        	0.1032       	3.495        	1.057        	0.4885       	0             	2.093        	3.595        	3.395        	1.954        	1.16          	1.153          
InventionUsed                    	6447         	7.686         	5.939        	1.147           	1              	2.671        	0.4768         	0.7669       	0.9906       	6.797        	1.259         	0.1655       	16.17        	16.6         	0.0493       	0             	4.221        	2.887        	2.866        	1.483        	0.2237        	1.039          
MainInventorLoses                	9147         	7.67          	3.7          	1.15            	0.6181         	2.64         	0.29           	0.4671       	0.4399       	3.976        	0.9284        	--           	15.91        	16.34        	0.03207      	0             	4.158        	2.853        	2.83         	0.9013       	-0.02712      	0.8831         
AllHighValue                     	1962         	7.662         	5.702        	1.193           	0.8823         	3.839        	0.4617         	1.016        	1.703        	9.65         	1.499         	--           	29.27        	31.14        	0.04585      	0             	6.413        	4.473        	4.458        	2.186        	0.6869        	1.108          
InventionOccursHighValue         	1731         	7.652         	6.443        	1.194           	1              	3.839        	0.5233         	1.152        	1.988        	11           	1.642         	0.2096       	29.27        	31.14        	0.05197      	0             	6.413        	4.473        	4.458        	2.478        	0.8362        	1.13           
