                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.8756       	1.374           	0.3528         	2.796        	0.1155         	0.2737       	0.4707       	2.44         	0.2759        	--           	2.768        	2.792        	0.06372      	0             	4.118        	2.668        	2.586        	0.4729       	0.197         	1.197          
FirstTries                       	8756         	1             	1            	1.374           	0.4029         	2.796        	0.1319         	0.3126       	0.5447       	2.794        	0.308         	0.258        	2.768        	2.792        	0.07277      	0             	4.118        	2.668        	2.586        	0.54         	0.2321        	1.232          
SomeoneTries                     	8756         	1             	1            	1.374           	0.4029         	2.796        	0.1319         	0.3126       	0.5447       	2.794        	0.308         	0.258        	2.768        	2.792        	0.07277      	0             	4.118        	2.668        	2.586        	0.54         	0.2321        	1.232          
NooneTries                       	1244         	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	3528         	1             	1            	1.42            	1              	2.796        	0.3272         	0.7758       	1.813        	7.397        	0.3027        	0.2527       	2.768        	2.792        	0.1806       	0             	4.118        	2.668        	2.586        	1.34         	1.038         	2.038          
SomeUsersPay                     	2086         	1             	1            	1.423           	1              	2.861        	0.5535         	0.9562       	2.198        	8.521        	0.3077        	0.2577       	3.099        	3.161        	0            	0             	4.592        	2.861        	2.861        	1.549        	1.242         	2.242          
SomeIntentionalInfringement      	1395         	1             	1            	1.426           	1              	2.778        	0              	0.5322       	1.305        	5.968        	0.2994        	0.2494       	2.349        	2.331        	0.4568       	0             	3.547        	2.449        	2.249        	1.073        	0.7732        	1.773          
InventionUsed                    	3481         	1             	1            	1.424           	1              	2.828        	0.3317         	0.7863       	1.84         	7.498        	0.3044        	0.2544       	2.798        	2.829        	0.183        	0             	4.173        	2.696        	2.616        	1.358        	1.054         	2.054          
MainInventorLoses                	6714         	1             	0.8147       	1.331           	0.03604        	0.8672       	0.002632       	0.004462     	-0.2519      	-0.2183      	0.2613        	--           	0.5577       	0.4662       	0.008388     	0             	0.723        	0.6042       	0.4315       	0.004956     	-0.2563       	0.7437         
AllHighValue                     	1995         	1             	1            	1.537           	0.419          	4.269        	0.1884         	0.5359       	1.107        	4.88         	0.3524        	0.3024       	4.276        	4.503        	0.03304      	0             	6.624        	4.214        	4.182        	0.923        	0.5706        	1.571          
InventionOccursHighValue         	836          	1             	1            	1.587           	1              	4.269        	0.4495         	1.279        	3.135        	12.14        	0.346         	0.296        	4.276        	4.503        	0.07885      	0             	6.624        	4.214        	4.182        	2.203        	1.857         	2.857          
