                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.8831       	1.785           	0.3838         	2.566        	0.1832         	0.2656       	0.5199       	2.64         	0.2949        	--           	15.59        	15.96        	0.01788      	0             	4.026        	2.825        	2.806        	0.5492       	0.2543        	1.254          
FirstTries                       	8831         	1             	1            	1.785           	0.4346         	2.566        	0.2075         	0.3007       	0.5954       	2.996        	0.3273        	0.2773       	15.59        	15.96        	0.02024      	0             	4.026        	2.825        	2.806        	0.622        	0.2946        	1.295          
SomeoneTries                     	8831         	1             	1            	1.785           	0.4346         	2.566        	0.2075         	0.3007       	0.5954       	2.996        	0.3273        	0.2773       	15.59        	15.96        	0.02024      	0             	4.026        	2.825        	2.806        	0.622        	0.2946        	1.295          
NooneTries                       	1169         	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	3838         	1             	1            	1.921           	1              	2.566        	0.4774         	0.692        	1.801        	7.325        	0.3223        	0.2723       	15.59        	15.96        	0.04658      	0             	4.026        	2.825        	2.806        	1.431        	1.109         	2.109          
SomeUsersPay                     	3464         	1             	1            	1.908           	1              	2.677        	0.5289         	0.8837       	1.89         	7.673        	0.3323        	0.2823       	16.82        	17.56        	0            	0             	4.23         	2.677        	2.677        	1.339        	1.007         	2.007          
SomeIntentionalInfringement      	352          	1             	1            	2.083           	1              	1.574        	0              	-1.152       	1.049        	4.32         	0.2275        	0.1775       	4.269        	1.127        	0.5079       	0             	2.249        	4.369        	4.169        	2.428        	2.201         	3.201          
InventionUsed                    	3811         	1             	1            	1.925           	1              	2.578        	0.4808         	0.6968       	1.815        	7.374        	0.3228        	0.2728       	15.69        	16.07        	0.0463       	0             	4.052        	2.836        	2.818        	1.441        	1.118         	2.118          
MainInventorLoses                	6423         	1             	0.818        	1.671           	0.04064        	0.8649       	0.009787       	0.009244     	-0.2626      	-0.2101      	0.2773        	--           	1.08         	0.8094       	0.007486     	0             	0.9403       	0.7505       	0.6425       	0.005435     	-0.2719       	0.7281         
AllHighValue                     	1980         	1             	1            	2.129           	0.4596         	3.865        	0.2392         	0.4547       	1.268        	5.41         	0.3947        	0.3447       	30.26        	32.11        	0.02402      	0             	6.427        	4.765        	4.749        	1.208        	0.8129        	1.813          
InventionOccursHighValue         	910          	1             	1            	2.333           	1              	3.865        	0.5204         	0.9894       	3.23         	12.24        	0.3866        	0.3366       	30.26        	32.11        	0.05227      	0             	6.427        	4.765        	4.749        	2.628        	2.241         	3.241          
