                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	5.954         	4.229        	1.19            	0.836          	2.399        	0.4111         	0.6701       	0.6525       	5.151        	1.103         	--           	14.41        	14.59        	0.03696      	0             	3.871        	2.56         	2.54         	1.085        	-0.01764      	1.001          
FirstTries                       	7116         	5.947         	5.502        	1.19            	0.9927         	2.372        	0.5003         	0.8327       	0.8399       	6.263        	1.3           	0.1907       	14.14        	14.33        	0.04553      	0             	3.9          	2.554        	2.534        	1.307        	0.00717       	1.021          
SomeoneTries                     	8578         	5.95          	4.93         	1.19            	0.9746         	2.399        	0.4792         	0.7812       	0.8102       	6.054        	1.236         	0.2071       	14.41        	14.59        	0.04308      	0             	3.871        	2.56         	2.54         	1.265        	0.02896       	1.009          
NooneTries                       	1422         	5.975         	0            	--              	0              	--           	0              	0            	-0.2988      	-0.2988      	0.2988        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2988       	0.95           
InventionOccurs                  	8360         	5.949         	5.024        	1.191           	1              	2.399        	0.4917         	0.8016       	0.8489       	6.23         	1.25          	0.2052       	14.41        	14.59        	0.04421      	0             	3.871        	2.56         	2.54         	1.298        	0.04733       	1.012          
SomeUsersPay                     	7529         	5.949         	5.018        	1.195           	1              	2.514        	0.546          	0.9514       	0.9442       	6.635        	1.281         	0.2118       	15.69        	16.09        	0            	0             	4.102        	2.514        	2.514        	1.274        	-0.007183     	1.002          
SomeIntentionalInfringement      	758          	5.946         	5.082        	1.17            	1              	1.418        	0              	-0.6091      	0.0732       	2.847        	0.9752        	0.1458       	3.04         	0.9807       	0.4875       	0             	1.927        	3.14         	2.94         	1.658        	0.6823        	1.131          
InventionUsed                    	8279         	5.949         	5.023        	1.193           	1              	2.415        	0.4966         	0.8093       	0.8662       	6.295        	1.254         	0.2058       	14.54        	14.72        	0.04416      	0             	3.907        	2.573        	2.555        	1.311        	0.05695       	1.014          
MainInventorLoses                	8695         	5.956         	4.101        	1.193           	0.8114         	2.362        	0.397          	0.6431       	0.6039       	4.904        	1.074         	--           	14.16        	14.32        	0.03723      	0             	3.811        	2.521        	2.5          	1.035        	-0.03915      	0.8264         
AllHighValue                     	2077         	5.946         	4.583        	1.321           	0.8936         	3.681        	0.4875         	1.191        	2.055        	10.1         	1.222         	--           	28.1         	30.17        	0.04166      	0             	6.33         	4.204        	4.19         	2.086        	0.8639        	1.161          
InventionOccursHighValue         	1856         	5.94          	5.095        	1.323           	1              	3.681        	0.5456         	1.333        	2.345        	11.34        	1.323         	0.2136       	28.1         	30.17        	0.04662      	0             	6.33         	4.204        	4.19         	2.335        	1.012         	1.188          
