                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.9013       	2.173           	0.3821         	2.414        	0.1791         	0.2624       	0.499        	2.599        	0.3274        	--           	12.97        	13.26        	0.02923      	0             	3.931        	2.818        	2.788        	0.564        	0.2366        	1.237          
FirstTries                       	9013         	1             	1            	2.173           	0.4239         	2.414        	0.1987         	0.2912       	0.5591       	2.889        	0.3578        	0.3078       	12.97        	13.26        	0.03244      	0             	3.931        	2.818        	2.788        	0.6258       	0.268         	1.268          
SomeoneTries                     	9013         	1             	1            	2.173           	0.4239         	2.414        	0.1987         	0.2912       	0.5591       	2.889        	0.3578        	0.3078       	12.97        	13.26        	0.03244      	0             	3.931        	2.818        	2.788        	0.6258       	0.268         	1.268          
NooneTries                       	987          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	3821         	1             	1            	2.365           	1              	2.414        	0.4686         	0.6868       	1.81         	7.306        	0.3527        	0.3027       	12.97        	13.26        	0.07651      	0             	3.931        	2.818        	2.788        	1.476        	1.123         	2.123          
SomeUsersPay                     	3262         	1             	1            	2.374           	1              	2.507        	0.5489         	0.9584       	1.874        	7.578        	0.3643        	0.3143       	14.41        	15.29        	0            	0             	4.106        	2.507        	2.507        	1.28         	0.9156        	1.916          
SomeIntentionalInfringement      	537          	1             	1            	2.356           	1              	1.923        	0              	-0.9345      	1.505        	5.95         	0.2882        	0.2382       	4.688        	1.514        	0.5444       	0             	3.029        	4.788        	4.588        	2.728        	2.44          	3.44           
InventionUsed                    	3790         	1             	1            	2.374           	1              	2.429        	0.4725         	0.6921       	1.826        	7.364        	0.354         	0.304        	13.07        	13.37        	0.07599      	0             	3.962        	2.836        	2.808        	1.488        	1.134         	2.134          
MainInventorLoses                	6470         	1             	0.8474       	2.01            	0.04498        	0.7796       	0.01136        	0.01051      	-0.293       	-0.2368      	0.3099        	--           	0.9958       	0.7037       	0.008034     	0             	0.9125       	0.6678       	0.5599       	0.00634      	-0.3036       	0.6964         
AllHighValue                     	2054         	1             	1            	2.769           	0.4426         	3.626        	0.2179         	0.3946       	1.194        	5.182        	0.4445        	0.3945       	24.54        	25.22        	0.04832      	0             	6.296        	4.935        	4.902        	1.244        	0.7994        	1.799          
InventionOccursHighValue         	909          	1             	1            	2.968           	1              	3.626        	0.4924         	0.8916       	3.265        	12.28        	0.4378        	0.3878       	24.54        	25.22        	0.1092       	0             	6.296        	4.935        	4.902        	2.811        	2.373         	3.373          
