                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.983        	2.199           	0.7698         	2.266        	0.3469         	0.4216       	1.16         	5.053        	0.3614        	--           	11.89        	12           	0.06598      	0             	3.634        	2.743        	2.709        	1.1          	0.7386        	1.739          
FirstTries                       	9830         	1             	1            	2.199           	0.7831         	2.266        	0.3529         	0.4288       	1.181        	5.141        	0.3668        	0.3168       	11.89        	12           	0.06713      	0             	3.634        	2.743        	2.709        	1.119        	0.7522        	1.752          
SomeoneTries                     	9830         	1             	1            	2.199           	0.7831         	2.266        	0.3529         	0.4288       	1.181        	5.141        	0.3668        	0.3168       	11.89        	12           	0.06713      	0             	3.634        	2.743        	2.709        	1.119        	0.7522        	1.752          
NooneTries                       	170          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	7698         	1             	1            	2.311           	1              	2.266        	0.4506         	0.5476       	1.612        	6.668        	0.3645        	0.3145       	11.89        	12           	0.08572      	0             	3.634        	2.743        	2.709        	1.429        	1.064         	2.064          
SomeUsersPay                     	6370         	1             	1            	2.331           	1              	2.389        	0.5446         	0.8679       	1.705        	7.044        	0.3766        	0.3266       	13.46        	14.24        	0            	0             	3.864        	2.389        	2.389        	1.214        	0.8373        	1.837          
SomeIntentionalInfringement      	1238         	1             	1            	2.265           	1              	1.759        	0              	-1.061       	1.273        	5.226        	0.3062        	0.2562       	4.599        	1.357        	0.533        	0             	2.705        	4.699        	4.499        	2.639        	2.333         	3.333          
InventionUsed                    	7587         	1             	1            	2.323           	1              	2.291        	0.4572         	0.5554       	1.64         	6.766        	0.3654        	0.3154       	12.05        	12.18        	0.08584      	0             	3.685        	2.772        	2.74         	1.45         	1.084         	2.084          
MainInventorLoses                	3264         	1             	0.9479       	1.712           	0.2947         	0.7378       	0.0757         	0.04267      	-0.2563      	0.06605      	0.3506        	--           	1.217        	0.8082       	0.05212      	0             	0.8187       	0.7027       	0.5981       	0.05165      	-0.2989       	0.7011         
AllHighValue                     	1980         	1             	1            	2.799           	0.802          	3.686        	0.3762         	0.4082       	2.513        	9.723        	0.4341        	0.3841       	24.76        	24.4         	0.1014       	0             	6.307        	5.572        	5.533        	2.539        	2.105         	3.105          
InventionOccursHighValue         	1588         	1             	1            	2.91            	1              	3.686        	0.4691         	0.509        	3.241        	12.23        	0.4342        	0.3842       	24.76        	24.4         	0.1264       	0             	6.307        	5.572        	5.533        	3.166        	2.732         	3.732          
