                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	4.484         	3.534        	1.432           	0.8733         	2.543        	0.4154         	0.6536       	0.7612       	5.493        	1.046         	--           	15.55        	16           	0.03633      	0             	3.963        	2.663        	2.644        	1.153        	0.1075        	1.015          
FirstTries                       	7950         	4.434         	4.208        	1.432           	0.9918         	2.561        	0.4811         	0.775        	0.9396       	6.439        	1.179         	0.2354       	15.93        	16.45        	0.04182      	0             	4.038        	2.693        	2.675        	1.344        	0.1646        	1.032          
SomeoneTries                     	8915         	4.459         	3.964        	1.432           	0.9796         	2.543        	0.4659         	0.7332       	0.8824       	6.19         	1.145         	0.2447       	15.55        	16           	0.04076      	0             	3.963        	2.663        	2.644        	1.294        	0.1492        	1.023          
NooneTries                       	1085         	4.69          	0            	--              	0              	--           	0              	0            	-0.2345      	-0.2345      	0.2345        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2345       	0.95           
InventionOccurs                  	8733         	4.457         	4.014        	1.436           	1              	2.543        	0.4756         	0.7485       	0.9153       	6.333        	1.154         	0.2433       	15.55        	16           	0.04161      	0             	3.963        	2.663        	2.644        	1.321        	0.1669        	1.026          
SomeUsersPay                     	7905         	4.46          	4.02         	1.433           	1              	2.674        	0.5254         	0.8662       	1.005        	6.738        	1.188         	0.2509       	16.92        	17.58        	0            	0             	4.203        	2.674        	2.674        	1.327        	0.1387        	1.021          
SomeIntentionalInfringement      	759          	4.426         	3.955        	1.492           	1              	1.35         	0              	-0.4097      	0.1425       	2.738        	0.8294        	0.1704       	2.594        	0.911        	0.4787       	0             	1.803        	2.694        	2.494        	1.382        	0.5522        	1.107          
InventionUsed                    	8656         	4.457         	4.015        	1.438           	1              	2.56         	0.4798         	0.7551       	0.9309       	6.393        	1.157         	0.244        	15.68        	16.13        	0.04156      	0             	3.996        	2.678        	2.661        	1.333        	0.1758        	1.028          
MainInventorLoses                	8221         	4.5           	3.419        	1.431           	0.8459         	2.512        	0.3987         	0.621        	0.703        	5.213        	1.017         	--           	15.28        	15.71        	0.03667      	0             	3.902        	2.627        	2.607        	1.099        	0.08203       	0.7774         
AllHighValue                     	1983         	4.486         	4.275        	1.655           	0.9965         	3.92         	0.5219         	1.232        	2.163        	11.1         	1.399         	--           	31.24        	33.74        	0.03999      	0             	6.438        	4.312        	4.3          	2.329        	0.9306        	1.176          
InventionOccursHighValue         	1976         	4.484         	4.281        	1.656           	1              	3.92         	0.5238         	1.236        	2.174        	11.14        	1.4           	0.2816       	31.24        	33.74        	0.04013      	0             	6.438        	4.312        	4.3          	2.338        	0.9377        	1.178          
