                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	6.733         	3.438        	1.144           	0.6183         	2.44         	0.2849         	0.5301       	0.5262       	3.908        	0.8059        	--           	7.069        	7.178        	0.04463      	0             	3.937        	2.491        	2.46         	0.8019       	-0.003962     	1.006          
FirstTries                       	5126         	6.706         	6.175        	1.144           	0.9949         	2.35         	0.4657         	0.8957       	1.047        	6.488        	1.133         	0.1372       	6.386        	6.463        	0.08031      	0             	3.891        	2.414        	2.381        	1.285        	0.1516        	1.059          
SomeoneTries                     	6342         	6.689         	5.421        	1.144           	0.9749         	2.44         	0.4492         	0.8359       	1.026        	6.359        	1.074         	0.1542       	7.069        	7.178        	0.07037      	0             	3.937        	2.491        	2.46         	1.264        	0.1901        	1.038          
NooneTries                       	3658         	6.809         	0            	--              	0              	--           	0              	0            	-0.3405      	-0.3405      	0.3405        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.3405       	0.95           
InventionOccurs                  	6183         	6.693         	5.529        	1.145           	1              	2.44         	0.4607         	0.8574       	1.068        	6.538        	1.086         	0.1522       	7.069        	7.178        	0.07218      	0             	3.937        	2.491        	2.46         	1.297        	0.211         	1.042          
SomeUsersPay                     	5221         	6.695         	5.457        	1.135           	1              	2.619        	0.5456         	0.9557       	1.205        	7.115        	1.13          	0.1617       	8.059        	8.29         	0            	0             	4.264        	2.619        	2.619        	1.379        	0.2496        	1.046          
SomeIntentionalInfringement      	907          	6.684         	5.933        	1.197           	1              	1.533        	0              	0.3435       	0.4006       	3.665        	0.8453        	0.0992       	1.769        	1.208        	0.492        	0             	2.286        	1.869        	1.669        	0.9024       	0.05709       	1.028          
InventionUsed                    	6127         	6.693         	5.528        	1.145           	1              	2.459        	0.4649         	0.8652       	1.086        	6.605        	1.088         	0.1525       	7.129        	7.243        	0.0728       	0             	3.972        	2.508        	2.479        	1.309        	0.2212        	1.043          
MainInventorLoses                	9090         	6.739         	3.233        	1.146           	0.5801         	2.422        	0.2652         	0.4955       	0.4619       	3.609        	0.7773        	--           	6.984        	7.099        	0.04283      	0             	3.904        	2.464        	2.432        	0.7438       	-0.03354      	0.8886         
AllHighValue                     	1995         	6.728         	4.127        	1.178           	0.7203         	3.645        	0.4058         	1.122        	1.687        	8.167        	0.9911        	--           	12.46        	13.19        	0.02224      	0             	6.319        	3.778        	3.768        	1.556        	0.565         	1.101          
InventionOccursHighValue         	1437         	6.728         	5.691        	1.18            	1              	3.645        	0.5634         	1.558        	2.483        	11.48        	1.235         	0.1726       	12.46        	13.19        	0.03088      	0             	6.319        	3.778        	3.768        	2.16         	0.9251        	1.161          
