                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.941        	1.706           	0.3962         	2.422        	0.1843         	0.2679       	0.4862       	2.551        	0.3083        	--           	14.47        	14.73        	0.02234      	0             	3.795        	2.628        	2.603        	0.5267       	0.2183        	1.218          
FirstTries                       	9410         	1             	1            	1.706           	0.421          	2.422        	0.1959         	0.2847       	0.5199       	2.714        	0.3245        	0.2745       	14.47        	14.73        	0.02374      	0             	3.795        	2.628        	2.603        	0.5597       	0.2352        	1.235          
SomeoneTries                     	9410         	1             	1            	1.706           	0.421          	2.422        	0.1959         	0.2847       	0.5199       	2.714        	0.3245        	0.2745       	14.47        	14.73        	0.02374      	0             	3.795        	2.628        	2.603        	0.5597       	0.2352        	1.235          
NooneTries                       	590          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	3962         	1             	1            	1.839           	1              	2.422        	0.4652         	0.6762       	1.69         	6.902        	0.3154        	0.2654       	14.47        	14.73        	0.05638      	0             	3.795        	2.628        	2.603        	1.329        	1.014         	2.014          
SomeUsersPay                     	3473         	1             	1            	1.835           	1              	2.559        	0.5307         	0.8486       	1.806        	7.345        	0.3265        	0.2765       	16.08        	16.66        	0            	0             	4.05         	2.559        	2.559        	1.283        	0.957         	1.957          
SomeIntentionalInfringement      	453          	1             	1            	1.915           	1              	1.507        	0              	-0.5914      	0.9576       	4.05         	0.2369        	0.1869       	3.198        	1.082        	0.4931       	0             	2.137        	3.298        	3.098        	1.786        	1.549         	2.549          
InventionUsed                    	3919         	1             	1            	1.844           	1              	2.441        	0.4703         	0.6835       	1.711        	6.977        	0.3164        	0.2664       	14.62        	14.89        	0.05629      	0             	3.835        	2.649        	2.626        	1.344        	1.027         	2.027          
MainInventorLoses                	6442         	1             	0.9084       	1.592           	0.06271        	0.7513       	0.01562        	0.01159      	-0.283       	-0.2115      	0.3044        	--           	1.094        	0.6888       	0.01078      	0             	0.8392       	0.6641       	0.5581       	0.009811     	-0.2946       	0.7054         
AllHighValue                     	1974         	1             	1            	2.079           	0.4362         	3.886        	0.2205         	0.463        	1.199        	5.107        	0.3644        	0.3144       	29.66        	31.55        	0.02743      	0             	6.409        	4.589        	4.57         	1.1          	0.736         	1.736          
InventionOccursHighValue         	861          	1             	1            	2.221           	1              	3.886        	0.5056         	1.061        	3.228        	12.19        	0.3559        	0.3059       	29.66        	31.55        	0.06288      	0             	6.409        	4.589        	4.57         	2.523        	2.167         	3.167          
