                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.9365       	2.2             	0.402          	2.2          	0.1799         	0.2427       	0.5032       	2.617        	0.3474        	--           	9.523        	9.595        	0.04493      	0             	3.695        	2.78         	2.739        	0.6078       	0.2604        	1.26           
FirstTries                       	9365         	1             	1            	2.2             	0.4293         	2.2          	0.1921         	0.2592       	0.5407       	2.798        	0.3676        	0.3176       	9.523        	9.595        	0.04798      	0             	3.695        	2.78         	2.739        	0.649        	0.2815        	1.281          
SomeoneTries                     	9365         	1             	1            	2.2             	0.4293         	2.2          	0.1921         	0.2592       	0.5407       	2.798        	0.3676        	0.3176       	9.523        	9.595        	0.04798      	0             	3.695        	2.78         	2.739        	0.649        	0.2815        	1.281          
NooneTries                       	635          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	4020         	1             	1            	2.405           	1              	2.2          	0.4476         	0.6038       	1.753        	7.012        	0.3624        	0.3124       	9.523        	9.595        	0.1118       	0             	3.695        	2.78         	2.739        	1.512        	1.15          	2.15           
SomeUsersPay                     	3200         	1             	1            	2.454           	1              	2.247        	0.5623         	0.9713       	1.78         	7.149        	0.3705        	0.3205       	10.74        	11.64        	0            	0             	3.808        	2.247        	2.247        	1.179        	0.8086        	1.809          
SomeIntentionalInfringement      	784          	1             	1            	2.25            	1              	2.076        	0              	-0.8684      	1.737        	6.769        	0.3344        	0.2844       	4.935        	1.66         	0.5731       	0             	3.396        	5.035        	4.835        	2.94         	2.606         	3.606          
InventionUsed                    	3972         	1             	1            	2.418           	1              	2.218        	0.453          	0.6109       	1.777        	7.094        	0.3637        	0.3137       	9.63         	9.707        	0.1119       	0             	3.737        	2.804        	2.765        	1.53         	1.167         	2.167          
MainInventorLoses                	6315         	1             	0.8994       	1.998           	0.05305        	0.8028       	0.008635       	0.00284      	-0.3248      	-0.2774      	0.3355        	--           	1.073        	0.6721       	0.01234      	0             	0.7074       	0.7101       	0.5775       	0.007876     	-0.3277       	0.6723         
AllHighValue                     	1924         	1             	1            	2.989           	0.4418         	3.253        	0.1924         	0.2579       	1.221        	5.175        	0.4608        	0.4108       	15.8         	14.71        	0.09297      	0             	6.052        	5.398        	5.334        	1.424        	0.9632        	1.963          
InventionOccursHighValue         	850          	1             	1            	3.177           	1              	3.253        	0.4356         	0.5838       	3.353        	12.3         	0.4546        	0.4046       	15.8         	14.71        	0.2104       	0             	6.052        	5.398        	5.334        	3.223        	2.769         	3.769          
