                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.8953       	1.727           	0.3783         	2.31         	0.1802         	0.3573       	0.5355       	2.63         	0.3172        	--           	4.951        	4.856        	0.03088      	0             	3.904        	2.379        	2.344        	0.4954       	0.1782        	1.178          
FirstTries                       	8953         	1             	1            	1.727           	0.4225         	2.31         	0.2013         	0.3991       	0.6039       	2.943        	0.3485        	0.2985       	4.951        	4.856        	0.03449      	0             	3.904        	2.379        	2.344        	0.5534       	0.2049        	1.205          
SomeoneTries                     	8953         	1             	1            	1.727           	0.4225         	2.31         	0.2013         	0.3991       	0.6039       	2.943        	0.3485        	0.2985       	4.951        	4.856        	0.03449      	0             	3.904        	2.379        	2.344        	0.5534       	0.2049        	1.205          
NooneTries                       	1047         	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	3783         	1             	1            	1.829           	1              	2.31         	0.4764         	0.9444       	1.912        	7.448        	0.3422        	0.2922       	4.951        	4.856        	0.08163      	0             	3.904        	2.379        	2.344        	1.31         	0.9674        	1.967          
SomeUsersPay                     	3136         	1             	1            	1.757           	1              	2.446        	0.5746         	1.06         	2.072        	8.011        	0.3611        	0.3111       	5.569        	5.581        	0            	0             	4.192        	2.446        	2.446        	1.372        	1.011         	2.011          
SomeIntentionalInfringement      	606          	1             	1            	2.25            	1              	1.732        	0              	0.4079       	1.229        	5.052        	0.2517        	0.2017       	2.054        	1.43         	0.5096       	0             	2.676        	2.154        	1.954        	1.073        	0.8214        	1.821          
InventionUsed                    	3742         	1             	1            	1.836           	1              	2.33         	0.4816         	0.9548       	1.935        	7.532        	0.3434        	0.2934       	5            	4.909        	0.08253      	0             	3.947        	2.398        	2.366        	1.324        	0.9806        	1.981          
MainInventorLoses                	6474         	1             	0.8383       	1.628           	0.0397         	0.7947       	0.004884       	0.001734     	-0.2936      	-0.261       	0.301         	--           	0.7566       	0.5217       	0.007694     	0             	0.6735       	0.6753       	0.5282       	0.005598     	-0.2954       	0.7046         
AllHighValue                     	2050         	1             	1            	2.222           	0.4527         	3.453        	0.2569         	0.7373       	1.282        	5.365        	0.4451        	0.3951       	7.897        	7.425        	0.02248      	0             	6.233        	3.663        	3.647        	0.9898       	0.5447        	1.545          
InventionOccursHighValue         	928          	1             	1            	2.331           	1              	3.453        	0.5676         	1.629        	3.384        	12.4         	0.4317        	0.3817       	7.897        	7.425        	0.04965      	0             	6.233        	3.663        	3.647        	2.187        	1.755         	2.755          
