                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	3.873         	3.348        	1.104           	0.7489         	2.694        	0.2418         	0.5564       	0.5493       	4.565        	0.9701        	--           	2.66         	2.681        	0.1363       	0             	3.955        	2.57         	2.486        	0.9629       	-0.007189     	0.9972         
FirstTries                       	8658         	3.867         	3.741        	1.104           	0.8269         	2.727        	0.2719         	0.6262       	0.6641       	5.172        	1.044         	0.2323       	2.703        	2.726        	0.1467       	0             	4.02         	2.61         	2.528        	1.082        	0.03798       	1.005          
SomeoneTries                     	9291         	3.87          	3.604        	1.104           	0.806          	2.694        	0.2603         	0.5989       	0.6061       	4.928        	1.029         	0.2407       	2.66         	2.681        	0.1467       	0             	3.955        	2.57         	2.486        	1.036        	0.00718       	1.001          
NooneTries                       	709          	3.91          	0            	--              	0              	--           	0              	0            	-0.1955      	-0.1955      	0.1955        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.1955       	0.95           
InventionOccurs                  	7489         	3.883         	3.711        	1.109           	1              	2.694        	0.3229         	0.743        	0.9888       	6.35         	1.04          	0.2341       	2.66         	2.681        	0.1821       	0             	3.955        	2.57         	2.486        	1.286        	0.2457        	1.063          
SomeUsersPay                     	4346         	3.881         	3.773        	1.119           	1              	2.765        	0.5564         	0.9285       	1.354        	7.475        	1.073         	0.237        	2.992        	3.06         	0            	0             	4.443        	2.765        	2.765        	1.498        	0.4254        	1.107          
SomeIntentionalInfringement      	3012         	3.885         	3.626        	1.098           	1              	2.687        	0              	0.5076       	0.5378       	5.033        	1.005         	0.2331       	2.277        	2.248        	0.4527       	0             	3.421        	2.377        	2.177        	1.035        	0.03017       	1.012          
InventionUsed                    	7358         	3.883         	3.713        	1.11            	1              	2.733        	0.3287         	0.7562       	1.02         	6.475        	1.045         	0.2354       	2.699        	2.728        	0.1853       	0             	4.025        	2.607        	2.525        	1.309        	0.2636        	1.068          
MainInventorLoses                	8232         	3.879         	3.272        	1.101           	0.695          	2.637        	0.2208         	0.5043       	0.4224       	4.059        	0.9524        	--           	2.599        	2.616        	0.1263       	0             	3.861        	2.511        	2.426        	0.8705       	-0.08186      	0.759          
AllHighValue                     	1982         	3.873         	3.845        	1.175           	0.8481         	4.282        	0.3799         	1.081        	1.76         	9.412        	1.197         	0.2615       	4.278        	4.511        	0.06774      	0             	6.639        	4.235        	4.203        	1.876        	0.6792        	1.165          
InventionOccursHighValue         	1681         	3.883         	3.857        	1.177           	1              	4.282        	0.448          	1.274        	2.297        	11.32        	1.189         	0.2585       	4.278        	4.511        	0.07987      	0             	6.639        	4.235        	4.203        	2.212        	1.023         	1.252          
