                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.9207       	1.97            	0.3836         	2.515        	0.1798         	0.2578       	0.4755       	2.547        	0.3203        	--           	15.17        	15.57        	0.02077      	0             	3.937        	2.766        	2.743        	0.5381       	0.2177        	1.218          
FirstTries                       	9207         	1             	1            	1.97            	0.4166         	2.515        	0.1952         	0.28         	0.5207       	2.77         	0.3436        	0.2936       	15.17        	15.57        	0.02256      	0             	3.937        	2.766        	2.743        	0.5844       	0.2408        	1.241          
SomeoneTries                     	9207         	1             	1            	1.97            	0.4166         	2.515        	0.1952         	0.28         	0.5207       	2.77         	0.3436        	0.2936       	15.17        	15.57        	0.02256      	0             	3.937        	2.766        	2.743        	0.5844       	0.2408        	1.241          
NooneTries                       	793          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	3836         	1             	1            	2.165           	1              	2.515        	0.4686         	0.6719       	1.738        	7.137        	0.3369        	0.2869       	15.17        	15.57        	0.05414      	0             	3.937        	2.766        	2.743        	1.403        	1.066         	2.066          
SomeUsersPay                     	3401         	1             	1            	2.137           	1              	2.648        	0.5285         	0.8654       	1.844        	7.55         	0.3488        	0.2988       	16.66        	17.43        	0            	0             	4.177        	2.648        	2.648        	1.327        	0.9781        	1.978          
SomeIntentionalInfringement      	403          	1             	1            	2.438           	1              	1.529        	0              	-0.9077      	1.003        	4.203        	0.2422        	0.1922       	3.797        	1.106        	0.5154       	0             	2.203        	3.897        	3.697        	2.153        	1.911         	2.911          
InventionUsed                    	3797         	1             	1            	2.17            	1              	2.533        	0.4734         	0.6787       	1.758        	7.208        	0.3377        	0.2877       	15.32        	15.73        	0.05404      	0             	3.975        	2.785        	2.764        	1.417        	1.079         	2.079          
MainInventorLoses                	6470         	1             	0.8774       	1.812           	0.0473         	0.8219       	0.01138        	0.005145     	-0.297       	-0.2468      	0.3095        	--           	1.32         	0.8137       	0.008374     	0             	0.8224       	0.7393       	0.6328       	0.007326     	-0.3021       	0.6979         
AllHighValue                     	1991         	1             	1            	2.388           	0.4324         	3.893        	0.22           	0.4139       	1.158        	5.049        	0.4007        	0.3507       	29.97        	32.36        	0.02625      	0             	6.433        	4.795        	4.777        	1.144        	0.7437        	1.744          
InventionOccursHighValue         	861          	1             	1            	2.568           	1              	3.893        	0.5088         	0.9571       	3.205        	12.2         	0.3981        	0.3481       	29.97        	32.36        	0.0607       	0             	6.433        	4.795        	4.777        	2.646        	2.248         	3.248          
