sin,report,easy,inois00
1, 0.9591, 1.389, 0.7379, 2.621, 0.369, 0.4835, 1.137, 5.005,
1, 0.9985, 3.686, 0.816, 1.36, 0.5889, 1.173, 1.21, 5.412,
1, 0.9921, 3.829, 0.8112, 1.643, 0.5397, 1.008, 1.148, 5.324,
1, 0.9906, 3.679, 0.8089, 1.783, 0.5197, 0.909, 1.126, 5.237,
1, 0.9906, 3.679, 0.8089, 1.783, 0.5197, 0.909, 1.126, 5.237,
1, 0.9633, 3.355, 0.7874, 2.052, 0.4783, 0.8001, 1.139, 5.252,
1, 0.994, 3.148, 0.8053, 2.023, 0.4836, 0.7944, 1.16, 5.283,
1, 0.9678, 3.138, 0.7834, 2.132, 0.464, 0.764, 1.178, 5.293,
1, 0.9385, 3.105, 0.7569, 2.175, 0.4459, 0.7405, 1.175, 5.203,
1, 0.9772, 2.848, 0.7876, 2.181, 0.459, 0.7269, 1.191, 5.294,
1, 0.9637, 2.837, 0.7742, 2.232, 0.445, 0.6884, 1.161, 5.187,
1, 0.9555, 2.71, 0.7578, 2.304, 0.429, 0.6591, 1.163, 5.146,
1, 0.9291, 2.501, 0.741, 2.368, 0.4164, 0.6488, 1.195, 5.172,
1, 0.9542, 2.359, 0.7548, 2.356, 0.4196, 0.6134, 1.168, 5.101,
1, 0.947, 2.315, 0.7443, 2.426, 0.4084, 0.5925, 1.165, 5.087,

sin,report,hard,inois00
1, 0.863, 1.359, 0.3537, 2.813, 0.1769, 0.2488, 0.4736, 2.464,
1, 0.863, 1.359, 0.3537, 2.813, 0.1769, 0.2488, 0.4736, 2.464,
1, 0.9533, 2.547, 0.4272, 1.727, 0.2813, 0.5446, 0.577, 2.86,
1, 0.9116, 2.522, 0.3984, 1.878, 0.2561, 0.4936, 0.559, 2.745,
1, 0.8477, 2.54, 0.3686, 2.157, 0.2287, 0.4424, 0.5495, 2.687,
1, 0.8722, 2.603, 0.3816, 2.208, 0.2285, 0.4005, 0.5185, 2.629,
1, 0.87, 2.416, 0.3823, 2.362, 0.2222, 0.3816, 0.5326, 2.689,
1, 0.9328, 2.222, 0.4107, 2.314, 0.2362, 0.3859, 0.5375, 2.768,
1, 0.9162, 2.237, 0.3935, 2.419, 0.2214, 0.3506, 0.5054, 2.66,
1, 0.9639, 2.054, 0.4005, 2.308, 0.2266, 0.3466, 0.4804, 2.585,
1, 0.9107, 2.081, 0.3869, 2.403, 0.2184, 0.346, 0.5104, 2.622,
1, 0.8953, 2.059, 0.3818, 2.538, 0.2088, 0.3247, 0.51, 2.629,
1, 0.8717, 2.004, 0.3647, 2.574, 0.1989, 0.304, 0.4878, 2.517,
1, 0.8563, 1.985, 0.3614, 2.6, 0.1953, 0.2962, 0.4885, 2.501,
1, 0.8975, 1.791, 0.3828, 2.627, 0.2054, 0.3039, 0.516, 2.641,

sin,report,easy,inois10
1, 0.9298, 1.333, 0.7229, 2.654, 0.2365, 0.5322, 1.158, 4.986,
1, 0.9916, 3.941, 0.8174, 1.505, 0.4288, 0.8602, 1.107, 5.266,
1, 0.9987, 3.82, 0.8167, 1.693, 0.3785, 0.7336, 1.1, 5.267,
1, 0.992, 3.764, 0.8091, 1.857, 0.3604, 0.5223, 1.104, 5.271,
