                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	8.139         	2.133        	1.035           	0.4306         	3.049        	0.1281         	0.348        	0.3446       	2.91         	0.6198        	--           	2.933        	2.979        	0.08933      	0             	4.414        	2.875        	2.784        	0.6165       	-0.003359     	0.9999         
FirstTries                       	2592         	8.214         	6.296        	1.035           	0.99           	3.183        	0.3306         	0.8699       	1.436        	7.751        	0.9576        	0.09902      	3.117        	3.189        	0.1788       	0             	4.713        	3.047        	2.969        	1.524        	0.5662        	1.142          
SomeoneTries                     	4517         	8.173         	4.722        	1.035           	0.9533         	3.049        	0.2836         	0.7703       	1.255        	6.935        	0.88          	0.1208       	2.933        	2.979        	0.1978       	0             	4.414        	2.875        	2.784        	1.365        	0.4848        	1.06           
NooneTries                       	5483         	8.111         	0            	--              	0              	--           	0              	0            	-0.4055      	-0.4055      	0.4055        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.4055       	0.95           
InventionOccurs                  	4306         	8.179         	4.894        	1.035           	1              	3.049        	0.2975         	0.8081       	1.346        	7.304        	0.8938        	0.119        	2.933        	2.979        	0.2075       	0             	4.414        	2.875        	2.784        	1.432        	0.5379        	1.067          
SomeUsersPay                     	2350         	8.179         	5.49         	1.038           	1              	3.146        	0.5451         	1.011        	1.739        	8.596        	0.9614        	0.118        	3.335        	3.429        	0            	0             	5.002        	3.146        	3.146        	1.689        	0.7279        	1.093          
SomeIntentionalInfringement      	1928         	8.177         	4.191        	1.03            	1              	2.965        	0              	0.5724       	0.8938       	5.841        	0.8171        	0.1214       	2.479        	2.474        	0.4633       	0             	3.761        	2.579        	2.379        	1.138        	0.3214        	1.037          
InventionUsed                    	4278         	8.178         	4.904        	1.035           	1              	3.065        	0.2995         	0.8134       	1.358        	7.355        	0.8963        	0.1196       	2.95         	2.998        	0.2088       	0             	4.442        	2.89         	2.8          	1.441        	0.5447        	1.068          
MainInventorLoses                	9497         	8.138         	1.988        	1.037           	0.4004         	3.036        	0.1186         	0.3222       	0.2868       	2.66         	0.6051        	--           	2.919        	2.963        	0.08331      	0             	4.389        	2.858        	2.767        	0.5696       	-0.03547      	0.9293         
AllHighValue                     	1915         	8.147         	3.514        	1.036           	0.6188         	4.294        	0.2738         	0.7808       	1.279        	6.852        	0.87          	--           	4.286        	4.504        	0.0515       	0             	6.637        	4.247        	4.213        	1.368        	0.4979        	1.071          
InventionOccursHighValue         	1185         	8.181         	5.647        	1.036           	1              	4.294        	0.4424         	1.262        	2.321        	11.33        	1.151         	0.1583       	4.286        	4.504        	0.08322      	0             	6.637        	4.247        	4.213        	2.21         	1.06          	1.145          
