                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.9405       	3.21            	0.7644         	2.103        	0.3251         	0.3312       	1.119        	5.113        	0.5068        	--           	7.839        	7.587        	0.1184       	0             	3.621        	3.053        	2.999        	1.295        	0.7879        	1.788          
FirstTries                       	9405         	1             	1            	3.21            	0.8128         	2.103        	0.3456         	0.3521       	1.193        	5.44         	0.5357        	0.4857       	7.839        	7.587        	0.1259       	0             	3.621        	3.053        	2.999        	1.377        	0.8409        	1.841          
SomeoneTries                     	9405         	1             	1            	3.21            	0.8128         	2.103        	0.3456         	0.3521       	1.193        	5.44         	0.5357        	0.4857       	7.839        	7.587        	0.1259       	0             	3.621        	3.053        	2.999        	1.377        	0.8409        	1.841          
NooneTries                       	595          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	7644         	1             	1            	3.34            	1              	2.103        	0.4253         	0.4332       	1.589        	6.814        	0.538         	0.488        	7.839        	7.587        	0.1549       	0             	3.621        	3.053        	2.999        	1.694        	1.156         	2.156          
SomeUsersPay                     	5592         	1             	1            	3.567           	1              	2.083        	0.5813         	1.021        	1.576        	6.796        	0.5403        	0.4903       	8.662        	9.728        	0            	0             	3.652        	2.083        	2.083        	1.096        	0.5552        	1.555          
SomeIntentionalInfringement      	1984         	1             	1            	2.759           	1              	2.207        	0              	-1.207       	1.69         	7.096        	0.5401        	0.4901       	5.757        	1.798        	0.5966       	0             	3.652        	5.857        	5.657        	3.438        	2.898         	3.898          
InventionUsed                    	7556         	1             	1            	3.361           	1              	2.12         	0.4302         	0.4382       	1.611        	6.892        	0.5411        	0.4911       	7.922        	7.672        	0.1554       	0             	3.661        	3.079        	3.027        	1.713        	1.172         	2.172          
MainInventorLoses                	3069         	1             	0.8061       	2.313           	0.2323         	0.8738       	0.04558        	0.015        	-0.3349      	-0.09457     	0.3889        	--           	1.29         	0.8776       	0.04411      	0             	0.8368       	0.8109       	0.6979       	0.03907      	-0.3499       	0.6501         
AllHighValue                     	1937         	1             	1            	4.551           	0.8467         	3.211        	0.3459         	-0.09919     	2.474        	10.11        	0.7919        	0.7419       	14.95        	11.44        	0.2115       	0             	6.043        	6.668        	6.591        	3.365        	2.573         	3.573          
InventionOccursHighValue         	1640         	1             	1            	4.654           	1              	3.211        	0.4086         	-0.1172      	3.069        	12.08        	0.7882        	0.7382       	14.95        	11.44        	0.2498       	0             	6.043        	6.668        	6.591        	3.974        	3.186         	4.186          
