                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	4.114         	3.284        	1.532           	0.7288         	2.618        	0.3522         	0.5667       	0.5671       	4.7          	1.024         	--           	16.07        	16.55        	0.03061      	0             	4.128        	2.801        	2.783        	1.025        	0.0003975     	1.008          
FirstTries                       	7995         	4.108         	3.927        	1.532           	0.858          	2.659        	0.4221         	0.6936       	0.7634       	5.76         	1.172         	0.2496       	16.63        	17.16        	0.03549      	0             	4.227        	2.851        	2.834        	1.242        	0.06979       	1.023          
SomeoneTries                     	8813         	4.111         	3.726        	1.532           	0.827          	2.618        	0.3996         	0.643        	0.6713       	5.361        	1.134         	0.2557       	16.07        	16.55        	0.03473      	0             	4.128        	2.801        	2.783        	1.163        	0.0283        	1.016          
NooneTries                       	1187         	4.135         	0            	--              	0              	--           	0              	0            	-0.2067      	-0.2067      	0.2067        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2067       	0.95           
InventionOccurs                  	7288         	4.117         	3.874        	1.573           	1              	2.618        	0.4832         	0.7775       	1.031        	6.703        	1.152         	0.2487       	16.07        	16.55        	0.042        	0             	4.128        	2.801        	2.783        	1.406        	0.2538        	1.073          
SomeUsersPay                     	6626         	4.117         	3.892        	1.555           	1              	2.722        	0.5315         	0.917        	1.085        	7.001        	1.192         	0.2579       	17.33        	18.08        	0            	0             	4.319        	2.722        	2.722        	1.36         	0.1678        	1.037          
SomeIntentionalInfringement      	602          	4.113         	3.708        	1.801           	1              	1.675        	0              	-0.6801      	0.608        	4.127        	0.7644        	0.1588       	3.741        	1.234        	0.5085       	0             	2.426        	3.841        	3.641        	2.053        	1.288         	1.489          
InventionUsed                    	7222         	4.117         	3.877        	1.575           	1              	2.636        	0.4876         	0.7846       	1.047        	6.767        	1.157         	0.2498       	16.21        	16.7         	0.04208      	0             	4.164        	2.817        	2.801        	1.419        	0.2619        	1.075          
MainInventorLoses                	8317         	4.118         	3.161        	1.518           	0.6739         	2.587        	0.3242         	0.5292       	0.4575       	4.232        	0.9946        	--           	15.99        	16.43        	0.02874      	0             	4.076        	2.738        	2.719        	0.923        	-0.07162      	0.7619         
AllHighValue                     	1990         	4.11          	4.105        	1.7             	0.8879         	3.887        	0.4596         	1.012        	1.769        	9.761        	1.432         	0.2991       	30.36        	32.67        	0.04674      	0             	6.432        	4.514        	4.498        	2.188        	0.7565        	1.222          
InventionOccursHighValue         	1767         	4.117         	4.113        	1.727           	1              	3.887        	0.5176         	1.14         	2.184        	11.18        	1.42          	0.2955       	30.36        	32.67        	0.05264      	0             	6.432        	4.514        	4.498        	2.464        	1.044         	1.298          
