                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1             	0.9887       	2.497           	0.4465        	--           	1.738        	5.099        	4.843        	0.2185         	0.05827      	0             	3.431        	2.061        	2.015        	0.5313       	0.08487       	1.085          	0.4485       	0.5334       	2.808        
FirstTries                       	9887         	1             	1            	2.497           	0.451         	0.401        	1.738        	5.099        	4.843        	0.221          	0.05893      	0             	3.431        	2.061        	2.015        	0.5374       	0.08642       	1.086          	0.4536       	0.54         	2.841        
SomeoneTries                     	9887         	1             	1            	2.497           	0.451         	0.401        	1.738        	5.099        	4.843        	0.221          	0.05893      	0             	3.431        	2.061        	2.015        	0.5374       	0.08642       	1.086          	0.4536       	0.54         	2.841        
NooneTries                       	113          	1             	0            	--              	0.05          	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.05         	0.95           	0            	-0.05        	-0.05        
InventionOccurs                  	4388         	1             	1            	2.703           	0.4495        	0.3995       	1.738        	5.099        	4.843        	0.498          	0.1328       	0             	3.431        	2.061        	2.015        	1.211        	0.7614        	1.761          	1.022        	1.783        	6.967        
SomeUsersPay                     	3386         	1             	1            	2.92            	0.4481        	0.3981       	1.712        	5.679        	5.84         	0.6454         	0            	0             	3.493        	1.712        	1.712        	1.015        	0.5666        	1.567          	1.273        	1.84         	7.114        
SomeIntentionalInfringement      	964          	1             	1            	2.001           	0.4575        	0.4075       	1.876        	3.241        	1.525        	0              	0.6044       	0             	3.345        	3.341        	3.141        	1.948        	1.49          	2.49           	0.1797       	1.67         	6.735        
InventionUsed                    	4345         	1             	1            	2.718           	0.4504        	0.4004       	1.75         	5.145        	4.889        	0.5029         	0.1336       	0             	3.464        	2.075        	2.031        	1.223        	0.7725        	1.772          	1.032        	1.805        	7.038        
MainInventorLoses                	6136         	1             	0.9816       	2.282           	0.4359        	--           	0.6423       	1.072        	0.6734       	0.02876        	0.01353      	0             	0.9477       	0.6232       	0.5323       	0.01525      	-0.4207       	0.5793         	0.02932      	-0.3913      	-0.2702      
AllHighValue                     	1983         	1             	1            	3.484           	0.6009        	0.5509       	2.44         	6.577        	4.955        	0.2473         	0.0956       	0             	5.7          	3.453        	3.394        	1.058        	0.4568        	1.457          	0.8548       	1.312        	5.52         
InventionOccursHighValue         	925          	1             	1            	3.749           	0.5913        	0.5413       	2.44         	6.577        	4.955        	0.5302         	0.2049       	0             	5.7          	3.453        	3.394        	2.268        	1.676         	2.676          	1.833        	3.509        	12.53        
