                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1             	0.9736       	3.616           	0.6039        	--           	1.995        	6.999        	6.812        	0.3425         	0.1344       	0             	3.555        	2.92         	2.863        	1.31         	0.7058        	1.706          	0.4006       	1.106        	5.247        
FirstTries                       	9736         	1             	1            	3.616           	0.6189        	0.5689       	1.995        	6.999        	6.812        	0.3518         	0.1381       	0             	3.555        	2.92         	2.863        	1.345        	0.7263        	1.726          	0.4114       	1.138        	5.39         
SomeoneTries                     	9736         	1             	1            	3.616           	0.6189        	0.5689       	1.995        	6.999        	6.812        	0.3518         	0.1381       	0             	3.555        	2.92         	2.863        	1.345        	0.7263        	1.726          	0.4114       	1.138        	5.39         
NooneTries                       	264          	1             	0            	--              	0.05          	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.05         	0.95           	0            	-0.05        	-0.05        
InventionOccurs                  	7961         	1             	1            	3.774           	0.6199        	0.5699       	1.995        	6.999        	6.812        	0.4302         	0.1689       	0             	3.555        	2.92         	2.863        	1.645        	1.025         	2.025          	0.5032       	1.528        	6.729        
SomeUsersPay                     	5667         	1             	1            	4.083           	0.6172        	0.5672       	1.957        	7.728        	8.881        	0.6043         	0            	0             	3.577        	1.957        	1.957        	1.05         	0.4331        	1.433          	1.094        	1.527        	6.724        
SomeIntentionalInfringement      	2212         	1             	1            	3.062           	0.6369        	0.5869       	2.143        	5.37         	1.758        	0              	0.6078       	0             	3.627        	5.47         	5.27         	3.23         	2.593         	3.593          	-0.9926      	1.6          	6.997        
InventionUsed                    	7867         	1             	1            	3.798           	0.6233        	0.5733       	2.012        	7.077        	6.892        	0.4353         	0.1702       	0             	3.596        	2.948        	2.892        	1.665        	1.042         	2.042          	0.5091       	1.551        	6.81         
MainInventorLoses                	3186         	1             	0.9171       	2.717           	0.4701        	--           	0.6996       	1.065        	0.8179       	0.1236         	0.0544       	0             	1.025        	0.6601       	0.5755       	0.06664      	-0.4035       	0.5965         	0.124        	-0.2795      	0.2602       
AllHighValue                     	2115         	1             	1            	5.122           	0.9141        	0.8641       	3.082        	13.49        	10.74        	0.3549         	0.2108       	0             	5.97         	6.231        	6.154        	3.156        	2.242         	3.242          	0.1136       	2.356        	9.939        
InventionOccursHighValue         	1785         	1             	1            	5.255           	0.9077        	0.8577       	3.082        	13.49        	10.74        	0.4205         	0.2498       	0             	5.97         	6.231        	6.154        	3.74         	2.832         	3.832          	0.1346       	2.967        	11.95        
