                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1.51          	0.7972       	1.62            	0.2135        	--           	6.805        	6.486        	6.664        	0.08789        	0.02064      	0             	3.4          	5.776        	5.682        	0.19         	-0.02353      	0.9865         	0.2298       	0.2062       	1.484        
FirstTries                       	5306         	1.5           	1.442        	1.62            	0.3191        	0.1734       	6.714        	6.428        	6.605        	0.1624         	0.03739      	0             	3.394        	5.725        	5.633        	0.3443       	0.02524       	1.019          	0.4244       	0.4496       	2.778        
SomeoneTries                     	5628         	1.528         	1.416        	1.62            	0.3217        	0.1787       	6.805        	6.486        	6.664        	0.1562         	0.03667      	0             	3.4          	5.776        	5.682        	0.3376       	0.01589       	1.015          	0.4083       	0.4242       	2.695        
NooneTries                       	4372         	1.486         	0            	--              	0.07428       	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.07428      	0.95           	0            	-0.07428     	-0.07428     
InventionOccurs                  	2219         	1.601         	1.539        	1.771           	0.3348        	0.17         	6.805        	6.486        	6.664        	0.3961         	0.093        	0             	3.4          	5.776        	5.682        	0.8562       	0.5214        	1.369          	1.035        	1.557        	7.317        
SomeUsersPay                     	1182         	1.475         	1.428        	2.123           	0.2682        	0.1435       	1.426        	2.847        	2.742        	0.7436         	0            	0             	3.863        	1.426        	1.426        	0.9925       	0.7242        	1.541          	1.941        	2.665        	8.964        
SomeIntentionalInfringement      	368          	1.622         	1.554        	1.467           	0.3197        	0.1618       	6.241        	3.356        	1.583        	0              	0.5608       	0             	3.269        	3.456        	3.256        	1.975        	1.656         	1.955          	0.01079      	1.666        	6.521        
InventionUsed                    	1546         	1.51          	1.459        	1.971           	0.2808        	0.148        	2.574        	2.976        	2.473        	0.5685         	0.1322       	0             	3.731        	1.912        	1.865        	1.229        	0.9482        	1.641          	1.486        	2.434        	8.406        
MainInventorLoses                	8908         	1.531         	0.7357       	1.528           	0.2081        	--           	11.18        	10.17        	10.87        	0.02345        	0.009092     	0             	2.995        	9.667        	9.52         	0.06911      	-0.139        	0.8657         	0.05264      	-0.08633     	0.5902       
AllHighValue                     	1959         	1.494         	1.055        	1.827           	0.3113        	--           	8.108        	7.467        	7.053        	0.156          	0.03878      	0             	5.318        	6.915        	6.849        	0.4772       	0.1659        	1.103          	0.5668       	0.7327       	3.295        
InventionOccursHighValue         	560          	1.559         	1.496        	2.026           	0.3914        	0.2145       	8.108        	7.467        	7.053        	0.5457         	0.1357       	0             	5.318        	6.915        	6.849        	1.669        	1.278         	1.838          	1.983        	3.261        	12.22        
