                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	2.539         	2.335        	1.558           	0.7732        	--           	8.979        	8.783        	8.832        	0.2281         	0.09711      	0             	3.043        	8.089        	7.964        	0.7539       	-0.01922      	1.016          	0.393        	0.3738       	5.137        
FirstTries                       	9221         	2.532         	2.492        	1.558           	0.8103        	0.2791       	9.02         	8.838        	8.892        	0.243          	0.1031       	0             	3.065        	8.143        	8.018        	0.8066       	-0.003666     	1.021          	0.4201       	0.4164       	5.49         
SomeoneTries                     	9507         	2.536         	2.456        	1.558           	0.8065        	0.2835       	8.979        	8.783        	8.832        	0.2399         	0.1022       	0             	3.043        	8.089        	7.964        	0.793        	-0.01351      	1.019          	0.4134       	0.3999       	5.41         
NooneTries                       	493          	2.584         	0            	--              	0.1292        	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.1292       	0.95           	0            	-0.1292      	-0.1292      
InventionOccurs                  	9178         	2.544         	2.478        	1.564           	0.8096        	0.2813       	8.979        	8.783        	8.832        	0.2485         	0.1058       	0             	3.043        	8.089        	7.964        	0.8215       	0.0119        	1.031          	0.4282       	0.4401       	5.63         
SomeUsersPay                     	3417         	2.431         	2.377        	2.087           	0.615         	0.217        	1.548        	3.58         	3.414        	0.6675         	0            	0             	3.521        	1.548        	1.548        	0.9562       	0.3412        	1.148          	1.495        	1.836        	7.329        
SomeIntentionalInfringement      	1893         	2.522         	2.441        	1.45            	0.712         	0.2492       	5.737        	4.03         	1.454        	0              	0.513        	0             	2.851        	4.13         	3.93         	2.257        	1.545         	1.681          	-0.6219      	0.9229       	5.07         
InventionUsed                    	5297         	2.463         	2.399        	1.863           	0.6495        	0.2285       	3.046        	3.749        	2.722        	0.4306         	0.1823       	0             	3.289        	2.474        	2.403        	1.423        	0.7739        	1.339          	0.7417       	1.516        	6.541        
MainInventorLoses                	8123         	2.584         	2.342        	1.443           	0.8084        	--           	10.42        	9.98         	10.35        	0.1687         	0.0788       	0             	2.863        	9.445        	9.303        	0.537        	-0.2713       	0.6925         	0.2812       	0.009856     	4.532        
AllHighValue                     	2001         	2.527         	2.497        	1.943           	0.9381        	0.3308       	14.18        	13.91        	13.37        	0.3636         	0.1549       	0             	5.338        	13.22        	13.11        	2.124        	1.186         	1.514          	0.7646       	1.951        	10.74        
InventionOccursHighValue         	1952         	2.537         	2.507        	1.946           	0.94          	0.3299       	14.18        	13.91        	13.37        	0.3727         	0.1588       	0             	5.338        	13.22        	13.11        	2.178        	1.238         	1.538          	0.7838       	2.021        	11.03        
